language_name,file_name,mac_address,city,language_code,country,latitude,longitude,time,timezone,date,iso8601,hostname,date_time,random_number,pricetag,company
Divehi,lassen.odt,8b:df:2b:2f:5e:35,Weimar,st,Schweiz,-68.0082545,50.167277,00:35:22,Asia/Karachi,1987-05-06,2007-11-15T01:43:21,lt-47.loos.com,2007-12-22 17:55:57,61649,"98.664,71 €",Tschentscher Wieloch GmbH & Co. KGaA
Cornish,sagen.mp4,7b:5f:d6:62:0c:be,Calw,ta,Malawi,52.8232715,-70.964670,10:12:59,Europe/Tirane,1973-07-13,1982-07-29T22:20:54,lt-15.hein.de,1975-02-08 08:45:18,50,"47,56 €",Lindner Zimmer GmbH & Co. OHG
Limburgan,gleich.mp3,4d:2c:f9:2f:62:9d,Fürstenfeldbruck,el,Guam,-3.3662985,167.385984,15:11:35,Pacific/Guadalcanal,2016-12-04,2012-10-21T11:24:43,db-71.hauffer.de,1971-10-22 02:11:20,3305478,"5.939,54 €",Jockel
Xhosa,ihm.js,9e:85:56:89:10:e5,Tuttlingen,sv,Litauen,55.708494,-134.589330,23:47:19,America/Yakutat,2020-03-21,2019-04-20T01:21:04,email-30.hahn.com,2011-12-29 23:15:48,95742367,"6,25 €",Kambs e.G.
Afar,vom.jpeg,db:43:31:9e:df:63,Gunzenhausen,tcy,Französisch-Guayana,-51.5430735,-57.661896,19:23:38,Europe/Vatican,1992-05-12,1987-06-10T03:20:59,email-94.krebs.de,1977-03-22 07:01:52,9518,"27,21 €",Radisch KG
Russian,für.docx,ac:c4:be:39:ea:e3,Siegen,ru,Israel,-86.693257,110.428524,20:27:49,Europe/Helsinki,2006-04-11,1981-06-01T11:30:20,email-07.bloch.com,2023-02-17 22:36:47,721752504,"227,20 €",Rose
Kashmiri,Schnee.mp3,ae:3b:5e:18:9b:82,Burglengenfeld,ik,Dschibuti,34.600188,138.402771,04:32:42,Asia/Tbilisi,1998-04-09,1981-05-03T05:30:32,desktop-52.junken.de,1981-03-06 04:55:08,78512,"4.743,58 €",Wende
Twi,Boden.ods,d7:6e:eb:4c:e7:db,Bamberg,tl,Slowakei,-64.2041135,-145.594591,00:55:46,Africa/Ouagadougou,1991-09-27,2022-07-19T14:04:30,laptop-28.tintzmann.com,1980-06-22 18:29:10,281378,"7.037,22 €",Karz Stiftung & Co. KGaA
Urdu,wünschen.avi,d8:b4:7b:8a:f7:cf,Stendal,nds,Sonderverwaltungszone Hongkong,-55.9146425,-28.341896,01:29:22,America/Cuiaba,2020-01-10,1991-03-18T12:54:48,desktop-94.striebitz.org,2002-03-27 16:47:42,59879,"78,18 €",Lübs
Swati,gar.gif,58:7f:24:21:65:43,Waldmünchen,es,Kamerun,3.817374,117.465683,02:48:29,Africa/Accra,2012-01-04,2018-01-13T19:02:05,web-12.lachmann.com,1976-01-22 16:07:40,2,"3,79 €",Renner Heydrich KGaA
