language_code,date,time,bank_country,file_name,language_name,latitude,company,iso8601,mac_address,longitude
kl,1978-09-14,07:00:35,CH,a.mp3,Bihari languages,-89.3407015,Stöckli Inc,1970-08-22T02:48:19,99:60:07:a8:a5:74,-157.661689
nds,1990-04-07,13:21:34,CH,cumque.js,Afar,63.2020735,"Eichenberger, Jenni and Ernst",1998-01-01T12:16:13,71:c5:99:ff:c6:1d,16.641203
ks,1999-03-09,19:15:35,CH,sequi.jpg,German,86.823669,"Pfister, Stauffer and Furrer",2016-11-26T13:34:04,7a:e7:20:81:28:b5,-84.837845
fil,1987-07-25,01:59:45,CH,natus.avi,Galician,74.1838015,Braun-Hofmann,1974-05-02T08:55:06,65:91:37:1d:13:04,150.891651
tk,1995-08-21,22:41:20,CH,cumque.html,Igbo,16.457185,"Fehr, Bär and Gfeller",2010-06-05T02:55:42,14:bb:66:da:db:4e,-5.371359
nso,1996-02-03,21:24:05,CH,dolorum.wav,Luba-Katanga,-26.3311835,Albrecht LLC,1993-06-27T21:52:55,08:52:a2:b6:06:16,-98.028527
ce,2013-11-01,14:25:10,CH,earum.webm,Marathi,-73.903468,"Weibel, Sidler and Sigrist",1982-08-19T19:39:25,5c:49:cf:20:58:02,-81.756690
fur,2015-11-26,10:13:28,CH,sequi.odp,Swedish,75.899093,Schmid Group,1980-08-22T20:07:12,11:93:ec:c1:4f:86,-67.413053
fa,2011-02-03,17:27:50,CH,eveniet.key,Kazakh,38.9234975,Schmidt-Weber,1999-08-26T03:49:18,bb:a4:86:18:38:bd,24.230460
ca,1970-12-02,23:53:01,CH,perferendis.txt,Ossetian,5.9162955,Lüthi-Felber,1972-09-20T12:08:20,38:af:22:c7:fb:86,22.373219
byn,1974-02-27,02:53:35,CH,commodi.png,Bashkir,-77.182974,"Eichenberger, Näf and Hasler",1986-06-15T09:30:29,c2:11:4f:83:75:9f,-8.348527
ps,2012-12-23,15:34:43,CH,voluptates.jpg,Mongolian,72.5377715,Roos-Jäggi,2009-04-14T01:21:16,3d:79:04:11:32:20,-1.857637
