language_code,time,language_name,company,pricetag,longitude,random_number,country,hostname,timezone,date_time
ms,10:06:50,Russian,"Fischer, Stöckli and Keller",$49.37,-100.004980,867503472,Armenia,email-40.suter.com,Asia/Karachi,1981-04-28 14:01:11
fa,21:51:10,Sanskrit,Zürcher-Hess,"$4,142.27",100.804382,720976,Bhutan,laptop-30.baumgartner.com,Asia/Bahrain,2011-04-02 07:45:55
ln,00:53:24,Northern Sami,Staub PLC,"$26,905.82",145.377406,46,Hungary,web-75.stutz.biz,Africa/Dakar,1988-11-23 10:55:01
zh,05:55:58,Tigrinya,Meister-Stettler,$647.66,34.396624,8,Cyprus,desktop-85.probst.biz,Europe/Lisbon,1981-02-10 17:04:28
or,15:21:11,Chuvash,"Kern, Walder and Martin",$73.11,150.788789,286,South Korea,email-09.luthi-hofer.info,Africa/Lubumbashi,1977-01-06 20:24:58
ckb,17:12:58,Ewe,"Siegrist, Zollinger and Hafner",$64.23,-58.297556,74,Paraguay,email-13.frey.biz,America/Port_of_Spain,1978-06-17 09:57:50
sw,20:29:21,Romanian,"Baumgartner, Fehr and Schärer",$699.78,112.206812,34697,India,lt-83.wettstein.info,Africa/Gaborone,1990-07-14 00:15:18
brx,01:42:29,Ojibwa,Ackermann-Vogel,$975.13,16.342617,19015,Somalia,lt-86.bernasconi-frei.com,America/Costa_Rica,1997-05-20 02:19:49
pa,07:32:46,Guarani,Wolf Ltd,"$8,620.02",-67.728324,552,Burkina Faso,srv-40.scheidegger.com,Europe/Prague,1972-10-29 06:44:50
wo,03:18:03,Church Slavic,Lang-Giger,$975.60,137.293668,705945,Nepal,email-73.luthi.com,Asia/Thimphu,2022-06-27 04:25:45
zh,04:46:58,Swedish,Hug-Huber,"$4,538.21",-56.017590,838474719,Jamaica,srv-52.huber.com,Asia/Hovd,2008-02-21 12:03:26
sk,01:21:34,Sardinian,"Amrein, Grob and Marti",$59.73,64.633892,162386,Maldives,email-85.brunner.com,Europe/Belgrade,2008-08-05 16:51:11
ur,14:55:56,Divehi,"Ritter, Grob and Lüthi",$87.99,-31.440024,4,Cameroon,laptop-70.wyss.info,Europe/Budapest,1991-04-15 11:10:02
mai,10:23:50,Mongolian,Geiger Ltd,"$83,902.49",128.298195,6940500,Nigeria,web-13.stettler.org,Europe/Uzhgorod,1992-10-04 18:13:59
th,12:29:09,Inupiaq,Scheidegger-Tobler,$40.27,20.204058,752,Venezuela,web-63.buhlmann.com,Atlantic/Cape_Verde,2002-01-28 06:17:46
tt,22:10:27,Tagalog,Hofstetter-Christen,$421.36,119.965522,5089712,United States,web-96.egger.com,Africa/Ceuta,1999-11-04 21:25:56
ti,08:56:19,Yoruba,Hofmann PLC,"$3,348.04",135.493504,311131,Switzerland,srv-83.bosshard.com,Europe/Zagreb,2019-02-20 11:02:51
lzh,16:00:37,Hungarian,Baumgartner Inc,$0.83,145.449697,4,Bosnia and Herzegovina,laptop-49.gfeller-kaufmann.org,Asia/Calcutta,2022-04-19 10:56:47
mg,07:20:41,Maltese,Hodel-Bolliger,$11.18,-129.460527,283313,Liberia,lt-37.graf.org,America/Guyana,1996-07-06 22:23:46
ff,21:24:50,Pali,Walter-Wenger,"$9,735.66",45.979314,346,Belize,web-44.hurlimann-wuthrich.com,Africa/Bangui,1974-12-15 06:06:42
et,13:56:10,Finnish,Schuler and Sons,$1.74,76.698182,1,Central African Republic,desktop-84.jost-burri.net,Pacific/Easter,1983-09-03 06:56:38
ff,03:38:59,Mongolian,Tobler-Forster,"$1,301.36",-153.906959,7432416,Albania,email-54.schafer-hermann.com,America/Santo_Domingo,1987-04-23 13:52:51
ks,00:13:31,Turkmen,Baumgartner Ltd,"$4,545.26",-37.050479,492991,Uganda,desktop-69.friedli.info,Indian/Mauritius,1995-03-12 06:09:09
af,22:34:57,Indonesian,Hofer-Schneider,"$47,074.36",-165.220248,5790402,Saint Vincent and the Grenadines,desktop-50.stalder-seiler.com,Pacific/Guadalcanal,1975-01-06 23:59:38
da,17:43:31,Basque,"Schmidt, Kälin and Häfliger",$3.97,44.761489,31576,Lesotho,desktop-40.bucher.com,Atlantic/Madeira,1998-09-24 17:50:25
fa,12:40:46,Zulu,Leunberger and Sons,"$1,482.56",12.936702,808677202,Azerbaijan,web-18.roth-wirz.com,Africa/Lome,1996-03-11 04:09:08
szl,15:47:39,Turkish,"Iten, Wettstein and Vogt",$349.85,-87.008733,816478389,Bangladesh,desktop-47.portmann.com,Africa/Gaborone,2019-06-10 22:47:44
pl,09:57:41,Samoan,Schneider-Zürcher,$87.15,153.837782,75735609,Canada,laptop-13.tanner.net,Europe/Oslo,1999-08-24 23:46:24
mni,06:35:00,Serbian,Arnold Group,"$8,730.87",97.104414,0,Slovenia,desktop-59.wenger.info,America/Belize,1975-04-04 08:41:10
hi,10:19:57,Avaric,Kuhn-Walder,$87.00,-162.292679,29,Guatemala,db-62.bucher.org,Indian/Mahe,1973-04-27 17:26:12
sc,01:34:06,Bislama,Grob-Leunberger,$377.63,35.173364,27910835,Costa Rica,desktop-82.lehmann-hauser.com,Africa/Nairobi,1987-06-17 06:04:00
szl,00:58:19,Oromo,Grob LLC,"$62,763.29",-12.785887,283,Guinea,desktop-94.roth.com,America/Paramaribo,1984-06-18 21:42:48
ht,04:08:00,Ganda,"Thommen, Bachmann and Baumgartner",$595.94,139.506440,5,Saint Kitts and Nevis,srv-47.kohler-seiler.com,Africa/Windhoek,2008-12-22 09:02:42
nso,10:57:38,Interlingua,Hauser Group,$984.05,-94.235839,5448952,Canada,web-48.portmann-baumgartner.info,Africa/Accra,2014-08-01 19:02:43
