time,bank_country,file_name,timezone,city,longitude,latitude,language_name,date,company,country,iso8601,mac_address
16:03:41,DE,denn.txt,Asia/Seoul,Füssen,44.381952,0.6772595,Breton,2005-03-17,Rädel Textor KG,Tansania,1986-08-16T11:25:01,e4:78:d1:4e:9f:8c
06:14:18,DE,mehr.gif,America/Tegucigalpa,Bremervörde,-112.646932,86.564607,Bislama,2009-02-18,Gröttner Renner Stiftung & Co. KG,Laos,1972-07-17T04:11:03,37:ab:d4:53:74:1b
21:24:41,DE,Gott.css,Asia/Tehran,Sömmerda,67.725605,84.539019,Maltese,1971-12-09,Haering GmbH & Co. KGaA,Nigeria,2021-08-28T00:26:03,f8:39:da:7f:f5:c7
22:41:37,DE,geben.mp4,America/Havana,Parsberg,-69.751045,11.478785,Persian,2021-01-06,Reuter Juncken AG & Co. OHG,Vereinigtes Königreich,2003-09-18T14:55:28,e6:5f:1f:4a:20:e8
07:20:51,DE,Vogel.flac,America/Havana,Wernigerode,-60.440429,28.416377,Luxembourgish,1987-11-02,Ditschlerin Trupp AG,Papua-Neuguinea,2022-10-17T07:09:49,bf:29:07:db:97:5e
23:45:45,DE,wohl.txt,Asia/Tokyo,Hohenstein-Ernstthal,50.714051,37.387292,Tswana,2023-03-14,Eberth Juncken e.V.,Bulgarien,2002-01-02T11:00:40,2b:c9:27:88:6b:4a
01:10:56,DE,verlieren.xlsx,Indian/Mauritius,Hagenow,175.514816,-43.354431,Northern Sami,2007-08-17,Stolze,Heard- und McDonald-Inseln,2010-09-01T14:20:33,f0:cc:e1:c0:93:12
07:18:41,DE,verstehen.bmp,Pacific/Fiji,Hohenmölsen,84.015749,-25.6563375,Marathi,2022-04-17,Stiffel,Palästinensische Gebiete,2017-01-30T03:10:40,ce:2e:bc:f4:4d:d5
03:49:27,DE,finden.odt,Africa/Dar_es_Salaam,Schrobenhausen,-67.447793,55.808330,Nauru,2004-02-21,Heidrich,Niederländische Antillen,1972-12-27T18:22:43,cf:9b:f7:83:78:72
19:37:52,DE,sagen.mov,Africa/Ndjamena,Schmölln,-159.400611,-80.364088,Bosnian,2009-05-03,Ehlert,Äquatorialguinea,1982-10-06T19:52:28,2e:23:6b:36:09:46
07:56:28,DE,können.flac,Africa/Malabo,Fallingbostel,104.547762,-47.511444,Persian,1981-02-21,Berger GmbH,Vereinigtes Königreich,2016-01-23T06:50:38,27:7b:38:df:6c:c9
01:53:25,DE,Berg.bmp,Africa/Ndjamena,Weißenfels,-52.581267,17.0390655,Navajo,1971-11-21,Grein Groth,Guyana,2015-06-10T14:51:30,fd:bb:e8:99:53:5a
17:04:39,DE,wie.jpeg,Asia/Hovd,Osterode am Harz,-61.203978,-31.6909055,Yiddish,2018-11-27,Winkler Pieper KG,Syrien,2001-04-23T15:41:03,63:0d:dd:0c:2e:a1
08:00:53,DE,Ball.odt,Africa/Tripoli,Pirmasens,78.108778,78.0220735,Polish,2004-10-19,Kobelt AG,Spanien,1974-08-24T21:01:15,da:dd:90:ea:4c:06
14:00:43,DE,Essen.wav,Asia/Bishkek,Rudolstadt,-5.638951,29.944114,Sanskrit,1993-10-17,Zorbach Christoph GmbH & Co. OHG,Tunesien,2014-03-12T17:41:07,36:e0:6e:0c:31:60
18:29:36,DE,richtig.xlsx,Africa/Cairo,Worbis,-41.579056,-62.442327,Ojibwa,1998-06-28,Preiß Nohlmans GmbH,Bermuda,1972-10-23T23:55:18,ec:63:ea:69:09:c6
08:13:48,DE,stark.mov,Asia/Baghdad,Ueckermünde,151.858157,-62.235815,Norwegian,1995-02-05,Stumpf GmbH & Co. OHG,Grönland,2007-09-19T04:53:34,1f:04:e6:6c:45:a2
16:37:04,DE,schenken.ods,Asia/Thimphu,Eggenfelden,37.214985,-65.7130545,Bengali,2017-04-20,Stiffel Beier GmbH & Co. OHG,Bulgarien,1973-11-26T09:20:14,e4:bc:37:e6:99:af
00:25:01,DE,Luft.json,Africa/Sao_Tome,Stadtsteinach,28.634690,-79.8843385,Lithuanian,1999-02-18,Zobel e.V.,Mali,1971-07-22T08:19:27,55:42:2e:92:7a:92
19:19:38,DE,Boden.ppt,Europe/Prague,Iserlohn,-82.884578,50.4618625,Manx,1980-01-03,Scholl Rust GmbH & Co. KG,Haiti,2023-01-10T17:19:02,2d:09:cc:a2:a9:b1
20:41:08,DE,Affe.css,Europe/Tallinn,Gräfenhainichen,-176.128446,79.315501,Chamorro,1995-10-22,Putz,Jordanien,2020-05-25T09:23:08,93:3f:01:0e:d5:87
07:46:14,DE,ein.css,Asia/Kabul,Rostock,-139.013808,26.690969,Italian,2006-09-26,Mielcarek KG,Russische Föderation,2005-05-23T13:31:15,dc:3f:32:47:5f:be
