country,random_number,timezone,pricetag,city
French Southern Territories,342001,Europe/Bucharest,$769.29,Port Paulfurt
Nicaragua,5,Asia/Bahrain,$17.44,Alexport
Panama,716,Europe/Paris,$3.57,South Mandyville
China,121163013,Europe/Vilnius,$782.71,Lucyview
Guyana,74828436,Africa/Addis_Ababa,"$3,347.69",South Marc
Malaysia,957004,Asia/Nicosia,"$4,136.88",Goughview
Timor-Leste,43,Asia/Tashkent,$71.64,Port Ian
Ireland,514632,Asia/Qatar,"$69,186.58",Henryview
American Samoa,18874234,Africa/Harare,$35.58,West Damienfurt
Slovenia,31901,America/Nassau,$4.33,New Melissabury
North Macedonia,531894617,America/La_Paz,$1.82,Garrychester
Gibraltar,404597,Europe/Bucharest,$1.47,Georginaville
Zimbabwe,9528,Pacific/Nauru,"$5,905.40",Sallyborough
Nigeria,14,America/Guatemala,$42.22,Lake Shannonshire
Congo,39299560,Asia/Dhaka,$869.05,Shepherdport
Lithuania,11,America/Montevideo,$0.77,Martinstad
Greenland,4718217,Pacific/Galapagos,$9.48,Greenwoodshire
Equatorial Guinea,156228904,Europe/Sofia,"$6,279.95",Georgemouth
United States Virgin Islands,66,Pacific/Apia,"$75,404.45",Holdenhaven
Guernsey,809,America/Barbados,$71.02,Byrneview
Ecuador,13436736,Asia/Dushanbe,$261.80,Jamesburgh
Marshall Islands,755105107,Asia/Damascus,"$6,374.37",Melissaland
Kuwait,4132,Africa/Bamako,$3.75,New Connor
Cayman Islands,397837,Africa/Djibouti,"$95,587.22",East Alicehaven
Cape Verde,3249,Europe/Sarajevo,"$80,781.68",West Kieran
Hungary,45625,Asia/Ashgabat,$883.09,East Nicoleshire
Seychelles,930246,America/St_Lucia,"$98,209.60",Jennaport
Barbados,91897,Africa/Monrovia,$950.42,Bethbury
Mozambique,5,Africa/Bujumbura,$0.74,Bibifort
Dominica,42,Pacific/Fiji,$263.75,Phillipshaven
Kyrgyz Republic,6411992,Africa/Lagos,"$96,894.61",Smithhaven
Sudan,7147,Pacific/Fiji,$14.07,Lake Harriet
Saint Vincent and the Grenadines,525,Europe/Berlin,"$67,654.68",South Denis
Kyrgyz Republic,7,Europe/Zagreb,$435.64,Scottland
Bouvet Island (Bouvetoya),7737,America/Guayaquil,"$57,988.20",Samside
Ukraine,602,Europe/Budapest,$9.19,Christopherfurt
Afghanistan,288,Indian/Antananarivo,"$2,183.40",Archerstad
Czech Republic,803705,Africa/Sao_Tome,"$3,630.48",Louisburgh
Tanzania,734,Pacific/Auckland,$304.94,Lake Geraldhaven
Mozambique,580100207,Africa/Banjul,$84.92,Lake Ellieberg
Sri Lanka,26,Africa/Kampala,$34.88,West Elliotfort
Guernsey,3577,Asia/Nicosia,$4.00,Williamsville
Antigua and Barbuda,3013388,America/Bogota,$8.05,South Geraldport
Turks and Caicos Islands,18509,Pacific/Apia,$877.43,South Adrian
Argentina,22534183,Europe/Amsterdam,$1.19,South Raymond
Puerto Rico,31,Africa/Maputo,"$4,686.69",Lake Joel
Nigeria,36077166,America/Paramaribo,$14.06,Mitchellland
Japan,7,Africa/Khartoum,"$19,704.31",South Carly
Somalia,732838,Asia/Beirut,"$4,704.57",West Toby
Luxembourg,2986,Asia/Karachi,"$49,861.60",East Stuart
Kenya,1,America/Nassau,"$5,728.59",Francesstad
Vanuatu,2371,Africa/Bissau,$52.08,West Benmouth
Tunisia,82563241,Europe/Belgrade,"$6,812.93",Powerchester
Germany,599,Asia/Katmandu,"$58,611.30",Nichollsburgh
Cuba,24694,America/St_Kitts,$867.81,Elliottburgh
Andorra,355,Africa/Bangui,$5.28,Lake Rickyside
Malawi,27851,Asia/Singapore,$2.31,West Jamieborough
Algeria,2,Pacific/Port_Moresby,$956.63,South Lynnefurt
