mac_address,longitude,iso8601,hostname,time,bank_country,pricetag,language_code,file_name
16:cd:50:dc:a1:64,153.892188,2013-10-08T08:20:13,laptop-19.cox.org,19:39:29,GB,$42.02,ia,assumenda.png
f5:3f:49:a7:3f:66,-55.881747,1996-06-15T10:49:43,lt-49.birch-gray.com,08:30:56,GB,"$13,037.96",fo,accusamus.mp4
70:58:30:31:62:4e,-7.999796,1971-11-19T22:29:39,lt-60.carter.com,02:00:16,GB,"$63,954.13",af,dolorem.mov
7b:89:48:ec:bc:7c,-41.040183,1988-10-13T18:17:00,email-35.pritchard.org,22:17:31,GB,"$91,240.86",ar,expedita.tiff
96:6c:61:03:fa:a9,-144.801533,1978-10-26T21:24:54,db-60.houghton.com,03:08:06,GB,"$9,287.48",bg,ipsam.csv
55:53:65:6a:c7:3d,-43.141515,2000-08-02T20:08:40,db-69.lane.com,20:00:36,GB,$6.43,ast,quia.jpg
84:55:8b:dc:fb:2b,-77.833730,1974-02-05T00:30:25,laptop-80.martin.com,17:33:03,GB,"$80,447.50",ast,enim.mp3
fd:b2:29:c0:53:7f,112.168454,2019-05-19T14:44:05,laptop-75.williamson-charlton.com,09:33:22,GB,"$23,732.47",ro,ducimus.mov
62:88:27:9a:ba:0a,32.486788,2013-07-15T19:21:29,web-66.shah.biz,22:11:16,GB,$819.10,hu,officia.mp4
8a:55:f7:05:10:da,113.141180,2012-09-03T01:40:23,desktop-08.cooper.com,22:13:55,GB,$56.94,oc,ut.json
fc:6b:b4:5c:4f:d5,-71.969633,2001-06-05T02:51:37,laptop-75.williams.com,22:19:19,GB,$544.56,ks,cum.pages
6f:e0:e7:20:5d:ff,46.302530,1980-08-11T21:17:25,web-80.thomas-turner.com,15:41:20,GB,"$68,438.31",ca,saepe.css
42:27:56:86:21:45,130.775205,2012-09-23T15:42:36,web-39.thompson.biz,00:53:01,GB,$6.91,ig,asperiores.mp4
ca:5a:12:4e:dc:0b,169.752789,1992-03-20T02:53:43,web-97.mitchell-akhtar.biz,19:27:43,GB,$0.61,si,amet.gif
52:c4:1b:47:83:d6,-134.945451,1997-05-12T05:23:58,email-58.riley.info,07:55:14,GB,$597.08,ko,doloremque.png
33:a4:be:f1:45:27,3.995402,1989-12-15T07:08:58,web-42.clark.com,16:28:54,GB,$2.67,ar,recusandae.flac
fe:f8:c4:8b:e1:8c,133.111261,1977-02-20T23:47:59,srv-20.elliott.net,11:33:33,GB,"$75,728.57",or,qui.flac
d2:72:49:89:64:de,62.478384,1995-01-28T19:40:03,desktop-34.jones-williams.com,13:40:18,GB,$0.81,iu,nemo.flac
c9:ae:d1:6e:cb:09,-1.298220,2007-10-16T22:25:20,desktop-04.jones-thomas.info,04:42:38,GB,"$42,465.38",hne,cum.png
b7:b8:63:db:57:88,106.626233,2002-09-19T21:23:44,email-06.parry.info,04:24:51,GB,"$4,057.53",ps,eum.gif
45:3d:c5:63:d6:b8,-96.120788,1987-02-02T04:01:30,desktop-46.jones.net,20:48:44,GB,$723.45,lg,necessitatibus.odt
c7:44:25:66:66:33,83.252764,2005-12-29T23:47:37,srv-07.burns.org,23:39:29,GB,"$9,077.09",ku,laboriosam.avi
05:42:53:0b:82:b7,-165.464054,1971-05-14T10:31:43,desktop-55.mclean-harris.com,12:17:23,GB,"$35,515.38",ml,sint.wav
98:99:52:86:ba:72,72.370355,1979-01-08T03:02:28,desktop-69.atkins-singh.net,15:08:44,GB,$472.60,hy,sapiente.avi
72:56:84:11:fa:f2,11.706816,1979-08-24T20:10:57,web-20.newman-obrien.com,09:19:14,GB,"$4,967.34",nl,nisi.docx
35:a9:26:e2:b1:98,88.340854,1977-11-23T23:36:50,db-08.harvey.org,14:28:36,GB,"$56,309.80",id,suscipit.odt
a6:2e:c0:82:71:94,-17.025009,1980-10-21T01:46:26,desktop-42.dale.biz,16:41:35,GB,"$5,809.38",ik,alias.wav
9a:28:a1:ca:9b:1c,-90.400558,2021-01-07T06:06:17,db-68.lloyd-anderson.org,15:28:23,GB,"$77,048.90",id,odio.webm
87:5c:cc:f4:c4:98,-31.253332,1998-08-17T23:33:25,srv-09.whittaker-turner.com,21:33:55,GB,"$15,849.58",so,assumenda.gif
12:b2:7b:58:7e:76,-129.668737,1979-06-23T00:02:48,srv-41.hayward-brown.biz,09:21:32,GB,"$38,031.90",lzh,facere.wav
c5:a8:ed:ea:34:b8,146.759613,1973-02-18T12:19:18,db-96.johnson.com,07:48:27,GB,$634.69,tk,veniam.pdf
6e:49:d5:38:81:6b,45.910701,2018-08-04T01:03:07,srv-30.jones.org,05:39:14,GB,"$20,038.38",iw,corporis.doc
df:3d:76:0d:b9:73,47.515059,1988-12-08T14:05:57,desktop-88.wells.net,17:02:32,GB,$22.26,sat,accusamus.flac
1d:25:12:29:d3:de,-58.814146,1989-04-22T02:05:50,lt-11.singh.com,18:46:09,GB,"$10,062.84",az,dolorum.mp4
25:26:18:ad:1c:07,-156.723300,2006-06-30T06:48:34,email-89.wright.com,12:27:37,GB,"$8,595.68",se,repellat.pdf
a3:48:c5:bf:d5:67,-42.734222,2021-12-01T20:36:05,lt-75.burns-williams.com,11:37:12,GB,$83.15,iw,ducimus.odt
a7:2d:35:45:d6:76,58.770686,1988-10-24T08:07:50,desktop-94.barton-metcalfe.biz,16:14:48,GB,"$21,856.16",az,error.webm
78:1e:a5:a4:71:44,-76.477855,1981-11-10T00:11:20,desktop-47.evans-allen.com,13:32:08,GB,"$3,968.72",pt,delectus.wav
6b:b8:4a:28:e0:60,4.391846,1996-06-27T08:29:17,email-80.hughes-thomas.co.uk,03:09:09,GB,"$78,442.25",ff,suscipit.odp
a3:9e:43:f3:2c:84,-59.702087,1982-08-20T15:52:51,srv-03.whitehead-stokes.info,12:12:21,GB,$8.62,bg,quos.key
d7:16:de:13:28:ef,61.471191,2008-04-24T03:57:44,db-29.phillips.com,10:31:15,GB,$5.23,am,ex.doc
85:19:2c:ea:84:ed,-21.257692,2009-10-17T21:26:20,web-16.hussain.net,13:25:52,GB,"$76,755.64",ar,atque.mp4
11:5c:20:e1:1b:8f,-11.639954,1985-04-04T01:53:38,lt-77.nash.info,14:03:20,GB,$9.77,nr,nihil.mp3
52:d0:fb:7e:fc:bc,-6.989509,1986-12-02T08:45:37,email-15.reid.com,16:25:16,GB,"$2,938.12",my,maxime.png
45:fd:a7:21:51:27,-45.752265,1977-02-10T10:05:16,laptop-53.savage.org,03:14:56,GB,$128.69,en,maxime.doc
10:e5:28:5a:35:02,-9.510831,2015-04-06T02:50:36,web-02.murphy.info,06:39:02,GB,"$2,244.05",yue,libero.mp3
0e:41:6e:11:a9:36,138.515639,2003-07-05T02:33:22,laptop-21.summers.com,12:31:25,GB,$67.97,et,quia.mov
80:ff:18:78:15:fb,-8.208306,2015-01-03T03:20:06,web-48.holland.com,01:47:53,GB,"$4,936.64",af,aspernatur.png
ba:f8:4b:44:cc:6d,-89.377200,1991-03-10T23:16:38,db-30.lewis.com,11:38:00,GB,$110.88,fur,porro.mov
