pricetag,date,date_time,language_name,language_code,city,longitude,bank_country
"$5,918.62",2009-04-01,2015-10-11 07:03:22,Chamorro,eu,Bülach,-27.904436,CH
"$62,608.32",1977-02-26,2005-04-05 05:35:20,Luxembourgish,sr,Münchenstein,3.588535,CH
$961.99,1996-01-27,2013-05-23 02:38:27,Breton,ru,Weinfelden,-154.503104,CH
$27.35,1987-11-30,1996-06-12 03:26:28,Herero,ro,Olten,-133.878017,CH
$13.33,2003-06-27,2012-09-09 23:12:32,Bihari languages,iw,Ecublens,125.574552,CH
$31.35,1991-11-23,1989-02-17 01:22:47,Ossetian,fy,Olten,16.402853,CH
$66.45,1999-12-28,1991-09-15 06:04:17,Bambara,gv,Worb,134.327617,CH
$56.70,1996-05-16,1993-05-21 21:30:54,Central Khmer,se,Münchenbuchsee,69.697165,CH
"$6,033.24",1976-11-03,2012-03-07 14:40:44,Kongo,ss,Bern,-174.207815,CH
"$9,034.18",2003-11-17,2020-07-19 18:25:28,Irish,hy,Risch,-90.379477,CH
"$6,797.49",1987-12-21,2011-10-31 12:19:44,Luba-Katanga,dz,Carouge,-174.658980,CH
$22.40,1987-01-28,1981-04-28 00:40:54,North Ndebele,lij,Uzwil,127.599047,CH
"$3,386.40",2016-12-05,1982-12-03 01:47:32,Belarusian,hy,Adliswil,-76.443936,CH
$143.12,1977-08-16,1980-08-26 07:05:54,Samoan,os,Schlieren,37.101549,CH
$69.74,2009-03-13,1987-11-16 02:48:21,Esperanto,cy,Aigle,169.989508,CH
"$4,358.11",1993-05-08,2004-02-01 22:06:02,Occitan,st,Liestal,57.711743,CH
"$69,569.82",1991-10-29,1994-09-28 21:59:11,Hindi,tg,Steinhausen,179.845572,CH
"$53,062.70",2003-10-11,2022-11-22 15:52:45,Sango,os,Lenzburg,-32.571461,CH
"$3,660.39",1977-09-21,2022-03-22 05:06:41,Venda,tn,Plan-les-Ouates,-119.273811,CH
$7.85,1975-11-09,1980-11-21 02:01:01,Guarani,km,Meilen,-69.177509,CH
$107.90,2021-08-01,2013-07-04 08:01:14,Yoruba,niu,Siders,-151.459290,CH
"$2,890.15",1984-04-22,1987-03-09 16:57:07,Guarani,fa,Uster,160.482547,CH
"$9,888.37",1983-09-18,2002-03-05 22:14:23,Tamil,lzh,Meyrin,170.137036,CH
$90.73,1983-11-12,1998-02-02 15:32:31,Thai,sk,Glarus,126.412642,CH
