iso8601,time,language_name,latitude,date_time,country,city,pricetag,bank_country,date,mac_address,language_code,longitude,timezone
2017-05-03T05:58:04,10:20:10,Oriya,-40.977286,1978-11-22 17:18:47,British Virgin Islands,Bowenchester,"$6,774.84",GB,2000-06-05,4d:56:5b:e1:67:33,cy,16.942905,Europe/Malta
1976-12-03T00:49:45,07:36:42,Occitan,-45.896206,2021-10-27 08:33:38,French Guiana,Hillside,"$4,207.06",GB,2011-08-30,67:91:78:f3:4e:15,ast,111.174989,Europe/Berlin
2006-06-24T23:45:44,09:52:20,Avestan,60.233015,2017-01-04 12:02:00,Cyprus,South Jayburgh,"$2,774.90",GB,2007-04-18,20:93:9e:97:ac:20,sa,81.772487,Europe/Monaco
1978-07-17T01:30:11,20:25:12,Hindi,83.324950,1984-08-02 13:46:00,Guyana,Lake Natasha,$0.45,GB,2005-09-20,55:82:b1:19:4a:5b,te,-35.688593,Europe/London
1982-02-08T07:31:33,10:09:36,Gujarati,-46.047958,2017-07-19 10:10:36,Afghanistan,Samhaven,"$60,479.79",GB,2017-04-14,0c:01:3b:35:e3:80,so,121.145098,Africa/Monrovia
1991-08-16T14:53:48,22:22:11,Zulu,24.0062895,1991-09-23 05:03:21,Qatar,Sykesport,$77.98,GB,2001-05-06,ae:85:42:48:35:49,pap,34.209248,Asia/Bahrain
2015-06-06T17:07:30,10:35:28,Portuguese,52.535691,2013-02-11 17:26:05,Anguilla,Bishopberg,$6.81,GB,2015-10-17,b2:7c:0a:99:e0:70,gl,22.031742,Pacific/Tongatapu
1972-01-21T13:00:17,02:45:02,Italian,-14.345654,1971-07-05 21:24:05,Djibouti,Scottland,"$92,219.61",GB,2005-03-29,de:5a:4f:07:db:df,ff,166.480101,America/Caracas
1979-05-09T01:05:28,08:24:35,Bashkir,-45.9259335,2005-10-01 19:48:28,Panama,Davismouth,"$42,817.84",GB,2009-09-19,d6:ad:81:ad:91:87,unm,-45.363076,America/Argentina/Ushuaia
1986-04-28T01:50:30,05:48:17,Nauru,77.3841875,1992-05-18 23:32:01,Cyprus,New Duncantown,"$3,814.76",GB,1997-10-29,8e:76:5c:a9:a3:4d,lg,78.751169,Asia/Calcutta
2019-10-20T03:16:41,09:06:44,Georgian,-17.7640805,1975-04-01 07:53:57,Netherlands,Clarkeburgh,$252.51,GB,1995-11-18,34:06:eb:a2:e5:43,sw,104.905630,Africa/Khartoum
2001-09-08T03:27:03,20:08:19,Aymara,-81.0410915,2008-08-01 00:35:45,Guyana,Port Ricky,$36.41,GB,1974-01-23,4a:a8:cd:03:d1:78,sw,-13.124751,Asia/Baku
2020-03-20T23:05:50,08:35:06,Bengali,41.9898895,2019-01-07 17:48:36,Niger,Woodview,"$8,136.94",GB,1979-04-26,a1:1d:4b:bd:e1:bd,unm,-134.854357,America/Bogota
1972-09-16T17:52:23,17:55:19,Oromo,84.2307445,2003-12-18 16:16:57,Togo,West Beth,$610.96,GB,2014-01-19,93:4d:c8:62:dc:3c,mi,-63.842603,Europe/Minsk
1987-10-21T01:42:46,23:17:50,Belarusian,39.6968635,1970-08-09 09:53:25,Wallis and Futuna,South Rosemaryfort,"$63,473.62",GB,1972-02-05,f4:33:ba:24:f0:74,my,67.279166,Pacific/Apia
2023-07-10T07:15:56,19:39:57,Central Khmer,28.8546785,1973-07-04 11:23:28,Chile,North Bruceport,$604.77,GB,1993-05-22,43:dd:dc:9e:1d:e3,st,-3.951152,Europe/Paris
1997-03-16T04:15:29,04:32:40,Persian,-65.779325,2015-05-11 10:55:10,Djibouti,South Harrietmouth,"$26,606.18",GB,2017-06-29,85:ba:28:1a:80:38,pt,-88.985226,Asia/Saigon
1997-07-04T07:45:58,00:58:43,Sundanese,-29.648452,2003-03-29 16:00:34,Senegal,Alisonshire,"$4,085.17",GB,1979-04-11,19:4e:3d:cc:c9:2d,fr,149.372955,Africa/Harare
2013-09-06T04:28:42,12:56:18,Kuanyama,80.2229845,1970-10-16 20:00:45,United States Minor Outlying Islands,North Deborah,"$50,483.41",GB,1981-06-16,85:ad:06:62:33:9e,apn,-131.842677,Asia/Dhaka
1981-10-17T15:25:00,19:28:12,Uighur,66.315198,1996-05-07 05:28:09,Brazil,Joannachester,$239.61,GB,2005-11-03,dc:33:cf:6c:34:0e,iu,-45.220135,Atlantic/Madeira
2001-11-04T11:26:34,06:22:53,Kurdish,49.1865795,2002-12-11 02:52:23,Ukraine,North Dorothy,"$25,463.66",GB,1978-07-05,28:84:d4:28:06:2f,rw,72.667257,Africa/Lubumbashi
1971-01-26T05:33:21,15:11:42,Somali,-30.231158,1971-09-03 14:01:15,Mauritania,North William,"$21,467.94",GB,2001-06-05,12:c6:34:1e:2a:8c,unm,-4.657805,Asia/Saigon
2016-06-01T12:31:30,21:29:52,Bosnian,-39.2062305,2019-10-17 01:54:26,Bahamas,East Chelsea,$11.78,GB,2017-10-30,df:4e:04:fc:bf:30,apn,130.234645,Europe/Vaduz
1997-12-02T04:39:35,00:26:49,Central Khmer,66.2771135,2020-07-16 08:44:26,Gibraltar,East Russellborough,"$2,642.52",GB,1988-06-23,f3:c3:03:ad:03:ba,it,-51.675778,Indian/Antananarivo
2010-07-13T09:14:01,09:46:57,Ganda,-2.1703105,1973-03-10 05:23:11,Slovenia,North Anne,$783.70,GB,1992-01-14,35:a6:32:cd:38:8b,mai,-154.083437,Europe/Skopje
2014-12-31T09:29:57,10:07:39,Somali,-43.999866,2010-08-23 19:00:55,Gabon,New Donna,"$38,992.18",GB,2021-02-21,97:98:d3:53:87:be,st,-10.036798,Asia/Aden
2021-04-04T16:16:30,08:32:04,Marathi,-5.852843,2019-11-29 05:45:13,Svalbard & Jan Mayen Islands,Hollyview,$5.25,GB,1992-06-14,3a:2c:72:ec:73:59,ro,68.532979,Africa/Bujumbura
1972-05-20T22:32:58,12:19:30,Tswana,1.4346675,2001-01-20 10:28:28,Costa Rica,Lake Joshuaborough,$149.47,GB,1982-12-19,42:3d:fb:41:62:2e,te,-109.985800,Africa/Blantyre
2000-12-14T07:15:09,04:48:57,Chuvash,76.727256,1989-09-28 22:35:46,Faroe Islands,Port Gary,"$1,303.60",GB,2018-12-10,a4:b3:95:87:66:50,kk,123.830985,America/Tegucigalpa
1984-10-16T08:46:30,23:38:34,Telugu,82.290692,1978-03-22 00:55:59,Haiti,New Danielton,$48.46,GB,1981-01-02,cb:dc:4f:5f:43:f2,tr,-18.589997,Indian/Antananarivo
2010-10-09T09:41:29,18:57:14,Zhuang,-83.9375425,1980-05-03 11:30:13,Vietnam,Jonesbury,"$2,729.21",GB,1979-04-20,34:98:59:3d:af:c6,ast,-30.585738,Europe/Madrid
2005-01-05T06:22:01,18:33:45,Armenian,-27.4926875,1977-09-18 00:44:18,Saint Helena,Byrnetown,$607.83,GB,1987-10-05,57:ee:d9:2d:34:fa,gu,-137.161761,Africa/Blantyre
2010-05-06T09:13:25,05:47:48,Malagasy,41.4772455,1970-07-13 08:55:34,Cyprus,East Naomi,"$2,388.50",GB,1971-09-11,42:d2:20:61:72:0c,ht,101.151869,Pacific/Auckland
