bank_country,hostname,latitude,country,time,longitude,language_name,language_code,random_number,iso8601,company,file_name,city,date,pricetag,mac_address
CH,lt-41.peter.com,46.262245,Lithuania,11:35:55,41.458419,Swedish,ug,5901,2016-09-11T13:40:31,Bolliger Inc,temporibus.css,Vevey,1985-02-14,"$63,242.25",b2:95:3f:80:5a:61
CH,db-58.isler.com,82.921095,Cuba,01:40:28,24.117204,Luxembourgish,pap,347689,1985-12-12T12:37:43,Stöckli-Hofer,cumque.tiff,Regensdorf,2001-10-01,"$99,124.92",1e:e2:be:7a:6d:f5
CH,desktop-10.stutz.com,-19.872604,Gabon,21:11:17,59.643744,Albanian,eo,6712883,1977-04-09T04:05:22,Hauser-Michel,velit.odt,Prilly,1988-01-25,$3.18,e1:65:0e:e4:39:ef
CH,desktop-16.fehr.com,67.634499,Marshall Islands,18:08:25,120.973067,Afrikaans,ur,5,1975-08-31T07:42:41,Schärer Inc,modi.html,Delsberg,2013-12-26,"$51,849.84",d5:d6:b3:1b:b9:19
CH,web-49.beck-schumacher.com,12.8057795,North Korea,11:52:34,-149.875488,Dutch,wo,335170138,2019-11-28T20:07:00,Hafner Inc,eos.jpeg,Glarus,1984-03-09,"$7,026.97",3d:80:88:0d:c9:4d
CH,lt-01.schneider.com,32.543779,Slovakia,11:59:21,124.976133,Marshallese,da,5166,1984-09-18T11:59:54,Herzog-Portmann,eligendi.avi,Crans-Montana,2001-05-09,$40.43,94:4d:b4:30:e4:9b
CH,web-77.herzog.biz,73.9503885,Austria,12:55:06,-30.356983,Lao,ar,1983,1983-05-16T12:23:32,Scheidegger-Gloor,doloribus.mov,Möhlin,1996-08-27,"$1,685.34",f5:54:6a:d9:b9:0e
CH,web-65.herzog.com,7.7641815,Belgium,13:34:21,162.934148,Akan,sat,536854179,1979-08-01T00:37:35,"Gasser, Berger and Keller",iste.avi,Riehen,2018-10-08,"$96,407.05",f2:a0:04:ba:2e:2d
CH,desktop-02.maier.com,43.5396855,United Arab Emirates,18:02:13,47.135086,Twi,oc,3390899,2018-07-03T17:57:23,Tobler and Sons,repudiandae.flac,Affoltern,2006-01-17,$26.61,9a:91:b7:01:96:e4
CH,laptop-74.kuhn.com,85.2482275,Uganda,10:04:17,49.733063,Kazakh,ss,840273985,1984-02-02T04:14:30,Berger LLC,esse.jpg,Burgdorf,2023-03-08,$858.22,3e:5f:4c:c6:89:47
CH,web-65.schwarz.com,9.629008,Central African Republic,14:17:22,-42.653033,Bambara,iu,6613,1980-06-30T10:56:19,Vogel-Hauser,libero.json,Zollikofen,2008-12-31,"$60,981.71",f9:8d:77:7f:ac:8b
CH,db-09.bar.com,-85.4016505,Belize,05:22:52,-88.128711,Azerbaijani,li,8294,2020-02-01T09:28:07,Hermann-Isler,exercitationem.webm,Bellinzona,2006-04-15,"$83,431.50",54:94:cf:a9:e1:0d
CH,email-87.ruegg.com,-77.6396745,Kuwait,13:16:32,86.392586,Ndonga,tcy,74962,2009-01-05T00:18:36,Lanz-Grob,recusandae.mp3,Bülach,1995-01-07,$8.87,28:82:a4:3f:89:f0
CH,email-89.zurcher-wegmann.com,-2.0020355,Chad,11:27:42,-141.651201,Polish,om,717341,2008-02-18T03:33:57,"Forster, Studer and Wenger",eius.avi,Zug,1986-03-06,$708.30,86:8e:d7:e5:28:65
CH,web-96.steiner.com,-87.461803,Tuvalu,00:43:52,-61.568754,Greek,bn,66797,2000-10-17T06:53:02,Gerber and Sons,ullam.avi,Pratteln,1978-04-03,"$69,341.66",25:5d:f1:92:fc:6c
CH,lt-23.zbinden.com,62.268516,Kiribati,08:36:23,-156.853248,Bashkir,se,49308522,1983-06-18T12:30:33,Schwab-Moser,labore.js,Le Grand-Saconnex,1972-07-10,$67.23,0f:64:84:87:f7:e7
CH,lt-90.lustenberger.com,18.887516,Republic of the Congo,00:10:24,-8.848785,Guarani,lb,2,2010-03-29T23:25:12,"Steffen, Bauer and Wettstein",id.ods,Männedorf,2007-10-31,$41.39,8a:4e:82:ba:76:25
CH,email-81.meyer-lehmann.com,-72.3000995,Brunei Darussalam,07:46:40,-119.003456,Bambara,ce,59,1993-07-18T23:19:44,Felber-Schuler,illo.css,Gland,2019-11-17,$9.03,2e:ac:c8:6c:2d:7f
CH,laptop-62.lustenberger.info,11.5635945,Uganda,01:56:29,134.939121,Latvian,mr,230,1985-06-07T00:30:22,"Scherrer, Bühler and Hodel",aspernatur.webm,Mendrisio,1971-12-26,$46.99,2b:6c:ba:ec:8b:d6
CH,srv-13.zehnder-wettstein.com,83.9404875,United States,13:24:42,51.061028,Croatian,fo,313982,2019-05-24T10:40:07,"Käser, Hotz and Stocker",ea.pptx,Glarus,1994-10-20,$823.24,eb:63:fb:a1:3a:a8
CH,srv-50.schneider.com,26.069203,Eritrea,18:03:27,69.381681,Macedonian,wa,954297050,2018-08-16T10:48:42,Kaiser LLC,eius.flac,La Chaux-de-Fonds,2005-04-23,$9.25,b5:0c:fa:0d:52:42
CH,lt-26.wagner.org,71.568644,Turkey,03:39:38,-169.567731,Zhuang,bem,9866919,1998-08-04T23:28:52,"Gfeller, Kälin and Brun",quos.flac,Wetzikon,1989-09-25,"$76,163.58",c1:69:e4:d8:98:79
CH,srv-93.stockli-brun.net,-75.667756,Cyprus,07:50:04,-120.490861,Luxembourgish,ms,13466,2003-07-08T06:24:40,"Kohler, Siegrist and Hotz",itaque.js,Spreitenbach,2021-09-29,$246.53,61:a7:05:8e:a1:fc
CH,email-02.kaser.com,39.543130,Uruguay,00:09:34,-175.552121,Bislama,ckb,5,2006-07-22T05:11:26,Jenni Inc,earum.mov,Herisau,1979-07-20,$470.74,df:30:ff:36:57:34
CH,db-20.bieri-schneider.com,-29.479494,Yemen,13:47:02,74.285361,Norwegian,dz,1,2005-01-02T22:03:34,Mayer Group,cumque.jpeg,Thalwil,2003-06-30,"$59,847.24",85:cd:fd:fa:5a:5c
CH,web-87.friedli.com,-31.691991,India,22:39:07,-115.147759,Urdu,kok,489759895,1971-03-25T09:53:12,Hofstetter-Küng,officia.mp3,Horw,1999-02-18,"$2,440.90",12:27:6c:b9:68:93
CH,web-88.luscher.com,-72.555671,Latvia,15:13:21,174.941029,Rundi,tg,3,1980-10-23T14:37:10,Mayer Ltd,quis.mov,Köniz,1987-06-18,"$70,133.82",b5:c3:a7:90:3d:54
CH,email-47.forster-hafliger.net,-21.0251125,Spain,04:07:04,3.199904,Uighur,fo,464997334,1975-03-23T01:18:52,"Müller, Kaufmann and Stucki",labore.mp3,Schlieren,1994-10-03,$177.47,95:08:2c:4d:91:f3
CH,desktop-76.friedli.com,16.421979,Portugal,07:58:43,-165.749852,Occitan,ast,35723840,1980-03-28T14:31:13,Näf Inc,enim.mp4,Locarno,2022-03-06,$555.15,b7:08:2d:34:76:d6
CH,desktop-61.roth.com,32.149580,Bhutan,01:16:50,93.148962,Chinese,ber,476,2018-06-30T04:56:15,Bauer-Egger,ad.mp4,Schwyz,2017-02-09,"$2,096.39",c8:d6:2c:82:e8:ea
CH,lt-17.gasser.net,11.981350,Oman,16:10:48,94.746206,Kirghiz,nso,52865,2000-10-14T20:23:02,Schenk Inc,ipsum.txt,Dübendorf,2005-09-17,"$19,406.09",42:e4:09:c0:83:19
CH,srv-01.hug.com,85.564322,Nepal,13:41:05,-145.116330,Indonesian,li,8,1983-12-15T19:22:18,Hug-Keller,facilis.avi,Arbon,2008-05-08,"$2,097.96",c3:a9:89:cb:a2:08
CH,desktop-76.hess.org,49.193076,People's Republic of China,06:10:49,-98.427265,Fulah,wo,44741,1987-12-26T21:28:54,"Lehmann, Fehr and Kägi",fugiat.avi,Einsiedeln,1997-05-19,$7.29,5a:c3:32:59:d6:bf
CH,web-70.ferrari-bar.com,-49.6162285,Democratic Republic of the Congo,00:32:56,130.551438,Thai,el,6653802,1982-12-19T04:09:54,"Albrecht, Ritter and Merz",modi.webm,Sarnen,1983-09-21,"$91,525.06",58:40:5f:88:80:a0
CH,lt-14.berger.com,17.787652,Italy,11:48:12,-135.846481,Sanskrit,csb,5302280,2021-07-31T08:54:36,Schnyder-Benz,ipsum.flac,Le Grand-Saconnex,2001-12-19,"$6,591.19",6f:eb:c2:a5:9f:9f
CH,email-46.imhof.biz,-14.4453985,Philippines,05:28:43,132.585165,Nepali,mi,117943,1975-05-26T00:57:24,"Hermann, Roos and Seiler",atque.mp3,Amriswil,2004-07-05,$8.70,24:fa:2e:13:22:fd
CH,lt-15.forster.com,-57.747991,Madagascar,11:13:07,-67.967772,Aragonese,yue,2230790,2000-01-17T09:00:08,Peter-Kunz,doloribus.mp3,Muttenz,2014-11-01,$5.87,9f:ec:cc:dc:cb:b9
CH,email-86.schnyder.com,74.786343,Bosnia and Herzegovina,10:09:59,-77.603807,Tsonga,es,336417,1995-09-24T05:44:51,Bernasconi Inc,totam.json,Freienbach,1994-07-26,"$7,572.89",8d:ca:fb:40:7f:d3
CH,lt-81.hasler.biz,-65.3564575,Saint Lucia,01:16:23,-31.634438,Xhosa,ig,712048,1986-12-23T09:49:53,Baumgartner and Sons,quasi.webm,Münchenbuchsee,1984-01-15,$74.94,07:f2:33:0b:7f:a9
CH,laptop-85.steiger-leu.info,-25.6478515,Burkina Faso,17:16:50,-71.168620,Kuanyama,sat,554556,2006-09-07T10:59:24,Hartmann-Jost,quasi.jpeg,Herisau,1977-11-21,$33.91,0a:ca:88:75:ab:b7
CH,lt-96.hoffmann.com,70.412621,Russia,18:14:47,-147.171145,Korean,bn,7,2018-02-15T00:25:05,Felber-Wirz,sequi.css,Cham,1990-12-26,"$2,190.86",8b:d6:72:a5:44:d7
CH,srv-63.gfeller.com,-46.3093505,Guyana,05:07:40,-36.922722,Sichuan Yi,lg,4830,2020-06-24T02:30:17,Wolf Inc,porro.js,Val-de-Ruz,1983-03-03,$1.21,1a:ef:92:04:7d:3f
CH,web-96.widmer-portmann.biz,41.6161925,Denmark,14:58:08,72.546450,Malagasy,ne,3,2009-11-06T02:15:57,Mäder-Senn,voluptates.key,Basel,2014-09-07,"$5,896.89",ce:ca:75:78:a0:33
CH,db-24.leunberger.org,-27.930620,Jordan,21:30:41,-26.207308,Uighur,kw,23903,1981-06-07T00:12:41,"Martin, Schwarz and Wegmann",saepe.wav,Ostermundigen,1998-07-02,$1.61,ea:ea:ed:2f:b3:5e
CH,email-36.ernst.net,-13.568257,Montenegro,23:45:09,92.999360,Oromo,gl,963,2007-10-25T06:53:10,Tobler-Lüthi,illo.avi,Bern,1991-10-12,$844.79,af:b6:ec:26:19:1a
CH,srv-10.wettstein.com,19.365628,Lebanon,16:33:34,-40.891554,Quechua,mni,339,2001-10-06T05:33:26,Bühler and Sons,minima.mp3,Liestal,2001-12-07,$949.34,cc:5a:eb:71:b6:dc
CH,desktop-83.wirth.com,-56.223192,Antigua and Barbuda,14:03:14,70.296785,Ganda,hu,78781,2019-06-12T19:36:24,Grob-Geiger,eius.mov,Birsfelden,1978-01-25,$7.07,d2:b3:a4:4d:41:51
CH,email-56.ammann.org,76.734886,Malta,18:44:24,-7.029152,Ojibwa,yo,5534,1994-12-15T18:27:18,Schürch Group,vitae.png,La Chaux-de-Fonds,2019-12-24,$7.69,66:e4:4d:47:22:f4
CH,srv-73.bachmann-schurch.com,-48.5095605,Algeria,10:09:33,-74.269088,Bulgarian,nan,8078,1996-12-10T11:46:47,Küng-Amrein,voluptate.html,Plan-les-Ouates,2014-03-24,$28.81,4e:ff:af:8d:a9:64
