timezone,random_number,bank_country,longitude,time,country,language_code
Europe/Monaco,9356437,CH,117.190063,19:48:41,Iceland,sc
Asia/Bangkok,5,CH,29.545179,08:25:30,Saudi Arabia,uz
Asia/Pyongyang,82132822,CH,-169.249428,12:22:56,Moldova,iu
Asia/Phnom_Penh,6658,CH,-99.517226,03:19:28,Zimbabwe,sk
America/Guyana,4,CH,-83.042840,03:13:51,Brazil,uz
Europe/Podgorica,0,CH,13.143274,11:19:32,Kuwait,unm
Asia/Ashgabat,705714,CH,132.068884,23:20:07,Gabon,te
America/Dominica,77,CH,-25.115331,23:04:37,Niger,bs
Pacific/Fiji,53166024,CH,110.513091,21:36:52,Central African Republic,ms
Africa/Johannesburg,9502475,CH,63.693755,12:56:00,East Timor,eu
Africa/Abidjan,228,CH,-156.276721,02:03:11,Russia,yi
Europe/Malta,3,CH,123.517128,09:51:20,Azerbaijan,ne
America/Belize,63,CH,121.794157,07:08:09,Malaysia,az
Africa/Libreville,25,CH,-27.570530,20:03:21,Latvia,nn
America/Guatemala,0,CH,-47.282225,02:48:10,Croatia,gu
Asia/Karachi,160032,CH,18.984733,07:41:02,Mozambique,af
America/Guatemala,66,CH,-146.070444,19:55:32,Democratic Republic of the Congo,ia
America/Guyana,70425005,CH,77.787378,20:12:01,Estonia,mr
Asia/Vientiane,35381246,CH,162.129618,15:33:20,Chad,ti
Africa/Sao_Tome,8096364,CH,40.688262,15:23:48,Ukraine,bg
America/St_Lucia,766,CH,88.446446,00:42:27,Grenada,nn
Asia/Yerevan,7072,CH,-90.581002,08:18:55,Poland,apn
Indian/Mahe,35082,CH,-150.321743,15:48:40,Mauritania,fur
Europe/Zagreb,7,CH,16.656063,03:22:27,Pakistan,as
America/Antigua,88122333,CH,36.019861,15:53:40,Eritrea,bhb
Africa/Lusaka,220639529,CH,-6.010891,02:12:03,North Korea,wo
Africa/Niamey,28019,CH,114.285939,11:37:08,Cambodia,ve
Europe/Oslo,49,CH,120.417868,21:11:32,Syria,ln
Asia/Saigon,61,CH,-27.460687,06:04:07,Switzerland,so
Africa/Dakar,951019,CH,-163.375980,16:57:55,Afghanistan,quz
Asia/Brunei,418921,CH,-57.926217,09:51:52,United Arab Emirates,bhb
Asia/Bishkek,4,CH,127.356608,05:21:41,Montenegro,mni
Asia/Hovd,4,CH,37.378743,05:06:33,Kenya,shs
Pacific/Galapagos,50358929,CH,78.294438,16:54:31,Pakistan,tg
Asia/Kuching,3132,CH,18.565853,11:01:46,Israel,lzh
Europe/Copenhagen,406,CH,67.996226,17:14:02,Paraguay,doi
America/Tegucigalpa,7778,CH,119.720021,18:46:19,Tanzania,vi
Asia/Jakarta,98423020,CH,113.247420,14:27:18,Angola,ta
America/Guatemala,592558726,CH,-125.298704,12:35:56,Malawi,gl
Asia/Tokyo,2652,CH,123.795283,06:10:24,Nepal,wal
Pacific/Kiritimati,4875239,CH,90.268573,22:25:05,Philippines,mai
Africa/Conakry,803,CH,48.560083,17:08:58,Saint Lucia,dv
Asia/Hovd,135954,CH,-37.158830,19:19:44,Sweden,km
Asia/Ashgabat,8185690,CH,-85.449210,01:52:42,Myanmar,mg
Asia/Riyadh,4,CH,-169.611085,10:37:56,Austria,kn
America/Caracas,89,CH,116.826323,08:39:58,Cape Verde,nl
America/Managua,33,CH,-141.119837,17:46:29,Finland,cv
Europe/Zagreb,511511,CH,89.110272,08:37:49,Sudan,id
Asia/Hovd,4,CH,-73.162920,12:51:53,Uganda,ca
Africa/Blantyre,428,CH,-171.730172,17:46:51,Bhutan,nan
America/Jamaica,4,CH,-158.267473,07:27:38,Vatican City,tt
Europe/Brussels,576,CH,-140.977667,15:48:49,Liechtenstein,st
Africa/Porto-Novo,4136273,CH,-57.109964,07:07:39,Slovenia,tr
Europe/Simferopol,13,CH,26.697992,11:19:40,Republic of the Congo,yo
Pacific/Efate,54,CH,-52.129453,10:19:15,Cameroon,nb
Africa/Accra,5752,CH,122.633033,20:01:55,Oman,raj
Europe/Bratislava,588106,CH,-104.571767,07:14:42,Haiti,yi
America/La_Paz,3207223,CH,78.359829,17:15:52,Egypt,nr
Africa/Nairobi,94325,CH,112.029699,12:45:29,Republic of the Congo,pa
Africa/Johannesburg,2402,CH,-143.431060,10:24:26,Malaysia,kw
America/La_Paz,51404,CH,167.471853,21:41:01,Vanuatu,or
Pacific/Guadalcanal,6449960,CH,-17.185757,18:11:41,Luxembourg,dz
America/Guatemala,94505279,CH,-120.176139,15:22:51,Cambodia,ar
Asia/Beirut,215954724,CH,-40.945686,13:49:13,Mozambique,bg
Europe/Bucharest,6569,CH,-147.807608,02:55:56,Sri Lanka,bn
Africa/Abidjan,50,CH,173.173719,00:31:41,Suriname,zu
Europe/Zurich,186707,CH,-122.172511,08:42:30,Honduras,ckb
Africa/Kinshasa,8956374,CH,29.147698,01:44:13,Cape Verde,mg
Europe/Oslo,983,CH,146.048638,17:23:45,SÃ£o TomÃ© and PrÃ­ncipe,en
Europe/Bucharest,68,CH,-161.601125,12:23:34,Suriname,ru
Europe/London,42,CH,-117.221127,20:49:23,Ethiopia,mhr
Asia/Damascus,5,CH,-154.598058,22:14:01,Bahrain,th
Europe/San_Marino,797,CH,-61.681278,18:37:14,Solomon Islands,bem
Europe/Bratislava,8,CH,-130.899459,14:33:34,Eritrea,ca
Asia/Singapore,536107769,CH,-168.313560,05:01:21,Yemen,mk
Asia/Sakhalin,5647,CH,-98.647605,14:36:40,Kazakhstan,ik
Africa/Malabo,16,CH,145.622233,19:52:03,Marshall Islands,nn
Asia/Taipei,4236161,CH,13.069688,23:07:21,Honduras,gl
Europe/Amsterdam,5,CH,78.138836,18:31:31,Cuba,lzh
Europe/Ljubljana,86802666,CH,-159.589132,14:37:07,Mongolia,tig
Asia/Bahrain,6941718,CH,169.820823,11:36:57,Haiti,pt
Asia/Nicosia,8,CH,-100.407696,12:03:30,Andorra,sid
Africa/Malabo,90727889,CH,-151.088699,06:45:03,Czech Republic,mg
Europe/Vienna,38755,CH,168.420808,05:52:20,Hungary,ayc
Asia/Tokyo,9052127,CH,-20.226512,10:10:13,Nauru,iw
Europe/Ljubljana,14,CH,-39.304589,23:55:44,Tonga,gd
Europe/Warsaw,6,CH,-173.219379,15:46:05,Cape Verde,ur
Asia/Karachi,70,CH,-125.780788,13:38:04,Vietnam,szl
America/Nassau,5956,CH,122.016184,06:03:17,Guinea-Bissau,ak
America/St_Lucia,212,CH,-105.045898,09:42:51,Latvia,ti
Asia/Muscat,691915425,CH,-18.721635,13:47:28,Italy,hy
Europe/Sarajevo,5251,CH,83.995576,11:55:37,United Arab Emirates,cs
America/Barbados,812953,CH,-167.580342,11:09:59,Hungary,sq
Europe/Andorra,7146492,CH,-133.505919,11:03:18,Ukraine,ka
Africa/Lusaka,3506620,CH,179.283354,01:50:50,Guinea,ro
Africa/Monrovia,791463,CH,121.688429,00:24:21,Haiti,oc
Pacific/Port_Moresby,886560,CH,51.894025,13:29:12,Kiribati,dv
Pacific/Kwajalein,98728258,CH,-71.155757,08:05:21,Guyana,tig
Africa/Kampala,2,CH,115.954123,13:06:44,Iceland,tcy
Pacific/Efate,837011935,CH,104.757691,23:14:32,Romania,nl
Asia/Manila,4,CH,49.079776,00:52:29,Tuvalu,nn
Asia/Kuwait,762204,CH,72.090926,06:55:22,Romania,km
America/Guatemala,969369,CH,3.904131,22:29:39,Italy,nan
Europe/Ljubljana,73,CH,105.478945,18:53:25,Kingdom of the Netherlands,ml
Asia/Magadan,6320635,CH,-117.323640,10:35:58,Burundi,uk
Pacific/Efate,0,CH,55.168140,11:03:17,Romania,nds
Africa/Conakry,122311301,CH,101.381681,06:20:26,United Kingdom,tt
Asia/Thimphu,780653462,CH,132.689074,10:14:48,Vatican City,cs
Africa/Gaborone,1305145,CH,92.584463,19:09:53,Philippines,tt
Asia/Bishkek,1,CH,74.527750,20:31:32,Venezuela,ss
Europe/Andorra,71874,CH,137.063725,16:47:49,Honduras,lzh
Asia/Pyongyang,448523284,CH,-161.883080,07:30:25,Taiwan,hne
Africa/Kigali,65542,CH,110.769037,15:05:18,Dominica,tr
Africa/Windhoek,89739135,CH,36.272194,15:59:42,Nicaragua,sl
Europe/Vilnius,36502382,CH,-71.745958,19:40:29,South Africa,te
Europe/Stockholm,90669,CH,-154.296074,09:07:17,Kiribati,ks
Asia/Seoul,23627636,CH,63.451545,16:37:34,Cambodia,vi
Asia/Seoul,5,CH,-17.448067,23:19:19,Dominica,uz
Europe/Minsk,3842,CH,-41.242037,02:40:45,Cuba,az
Africa/Maseru,730505937,CH,126.076864,08:42:50,Turkey,sk
Asia/Tbilisi,779,CH,-98.278355,12:45:41,Antigua and Barbuda,hy
Asia/Kuwait,5579,CH,-78.379683,17:07:50,Iran,pap
Africa/Accra,6880,CH,53.485723,00:31:07,Seychelles,kk
Asia/Pyongyang,412,CH,20.795820,08:15:36,Uganda,ro
America/Dominica,7479225,CH,-173.078036,02:40:53,Bulgaria,li
Asia/Katmandu,2230413,CH,57.707092,00:07:36,Republic of the Congo,kl
Africa/Lagos,324,CH,-53.698440,12:28:33,Colombia,cv
Africa/Lome,59,CH,27.863426,03:58:48,El Salvador,ta
Pacific/Enderbury,702098,CH,87.340526,13:45:25,Saint Vincent and the Grenadines,bhb
America/Panama,38868,CH,138.057682,20:14:13,Bangladesh,da
Asia/Colombo,467390,CH,129.049782,22:55:13,Madagascar,oc
Pacific/Funafuti,74535,CH,73.744864,17:43:16,Algeria,bhb
Africa/Bangui,2256141,CH,-113.831417,09:46:53,East Timor,an
Europe/Budapest,145970364,CH,-152.384829,16:10:02,Lithuania,nso
Africa/Gaborone,5527119,CH,-40.069159,02:15:43,Germany,sv
Atlantic/Cape_Verde,81855309,CH,-15.188873,09:47:38,Indonesia,os
Europe/Riga,2132909,CH,-89.916100,15:30:22,Bhutan,sl
Africa/Sao_Tome,1,CH,28.226902,18:53:49,Tuvalu,aa
Asia/Qatar,6,CH,156.417770,22:00:42,Honduras,ka
Pacific/Nauru,1,CH,156.118189,17:35:01,Sri Lanka,ht
Indian/Maldives,5748318,CH,116.778924,09:18:27,CÃ´te d'Ivoire,hsb
America/Monterrey,6377,CH,-142.639286,14:02:18,Comoros,tl
Africa/Niamey,21,CH,129.110871,17:35:24,Saudi Arabia,mni
Asia/Nicosia,8352837,CH,35.534858,21:30:01,Moldova,nb
America/Guatemala,4,CH,121.048567,02:20:28,Angola,gl
Pacific/Efate,9764314,CH,-93.917465,06:24:44,Monaco,or
Africa/Freetown,930153,CH,4.186404,10:29:17,Somalia,en
Asia/Shanghai,822,CH,-145.770127,05:25:14,Republic of Ireland,kl
Africa/Bujumbura,536,CH,111.365155,16:14:04,Haiti,fy
Africa/Lome,15691882,CH,59.229249,04:14:32,Israel,cy
Europe/Vilnius,36101303,CH,76.990003,00:15:38,Namibia,lo
America/Guatemala,351990,CH,23.353485,12:38:08,Niger,ru
Africa/Addis_Ababa,79,CH,134.734876,09:28:31,Israel,nhn
Pacific/Palau,40,CH,59.017059,14:59:11,Tunisia,mhr
Africa/Accra,68558,CH,111.463652,02:02:54,Ecuador,tt
America/Dominica,1296,CH,167.698761,03:46:22,Syria,zu
America/Grenada,34,CH,24.313771,01:17:43,Kenya,ce
Asia/Tbilisi,41089086,CH,57.353733,22:09:57,Estonia,fo
Asia/Dubai,93183,CH,163.053546,17:45:40,United Kingdom,tcy
