city,latitude,bank_country,longitude,timezone,file_name,company,date_time,hostname,date
Lake Beverley,0.036202,GB,23.346909,Asia/Katmandu,neque.txt,Baxter-Hobbs,1978-09-14 01:59:32,desktop-87.day-willis.info,1982-07-30
Port Sophieberg,15.648390,GB,-136.385188,Pacific/Truk,voluptate.pdf,Harris-Evans,2001-11-12 23:16:36,srv-77.nelson.com,2005-05-26
Lake Aaron,-6.614240,GB,177.789499,Europe/Istanbul,dolores.mp3,Cunningham-Mellor,1994-11-25 23:45:22,desktop-75.taylor.com,2004-02-25
Paulaberg,-38.1626055,GB,133.233411,America/Dominica,veniam.json,"Lee, Brown and Wright",2007-11-06 01:11:48,srv-94.stephens-thompson.com,1988-03-31
Malcolmbury,-41.394952,GB,-1.662793,Asia/Almaty,neque.csv,"Archer, Stevens and Myers",1974-06-13 12:55:43,laptop-16.smith.com,2019-05-22
Hillbury,68.7438305,GB,81.958417,America/Tijuana,excepturi.wav,Turner Ltd,2006-11-22 17:33:47,desktop-91.ward.com,1981-01-21
Robertsfort,43.264830,GB,-104.483559,Africa/Ouagadougou,accusantium.pptx,Hall Inc,2018-09-04 03:40:09,lt-98.hawkins-griffin.net,2013-01-11
Seanport,-34.0331365,GB,-102.756107,Africa/Mbabane,accusamus.mp4,"Webb, Carroll and Pollard",2005-04-15 20:12:33,srv-30.smith-smith.com,1985-05-17
Mandyborough,78.3976685,GB,-92.122356,Europe/Monaco,reiciendis.numbers,Banks and Sons,2010-10-27 16:33:40,email-70.gardiner.info,1973-07-22
New Valerie,67.349512,GB,-19.484114,Africa/Niamey,ullam.ppt,Byrne Group,2020-12-07 17:23:17,laptop-04.johnson.co.uk,2009-12-01
Louishaven,-11.237349,GB,-11.024179,Asia/Vientiane,doloribus.json,Taylor LLC,1992-05-09 12:23:19,desktop-29.cooke.com,1976-04-23
Ballshire,-54.0940895,GB,-103.061004,Africa/Libreville,provident.mov,"Middleton, Andrews and Thompson",1978-07-28 00:24:23,laptop-05.green.com,1983-02-26
Walkerfort,87.8279765,GB,-0.930381,Asia/Colombo,laboriosam.odt,"Graham, Gallagher and Jackson",1997-10-31 05:11:24,db-58.roberts-bailey.org,1971-08-09
Lake Philip,83.2860075,GB,144.495518,Pacific/Honolulu,eius.numbers,"Baxter, Thomas and Turner",1991-05-06 07:52:51,lt-94.andrews-stone.info,2016-10-06
Wilsonland,65.297144,GB,159.989760,Europe/San_Marino,enim.gif,Lewis Ltd,2016-10-23 06:21:50,desktop-49.thompson-harris.com,1988-01-08
South Tracey,82.4082385,GB,-28.185890,Asia/Bangkok,quae.ppt,Watts Group,1976-07-25 22:42:44,lt-10.jackson.com,1999-03-09
Port Sallyland,-30.2622845,GB,-77.143259,America/Detroit,in.wav,Townsend and Sons,1991-11-19 07:22:43,web-58.lowe.com,1980-02-15
Sharptown,-4.927839,GB,63.164084,Africa/Bujumbura,nihil.pages,Yates LLC,2007-12-14 23:27:05,web-37.baker.co.uk,1988-08-16
Fosterport,-56.708684,GB,25.439624,Africa/Lome,alias.mov,"James, Nicholson and Henderson",1993-12-14 20:52:08,web-77.cooper.com,1990-09-20
Adamhaven,86.6052005,GB,-110.496927,Europe/Vienna,voluptates.txt,Scott and Sons,1997-01-20 06:13:16,desktop-39.foster.com,1987-12-16
New Jackshire,53.6908915,GB,-85.990351,Africa/Kinshasa,similique.docx,"Evans, Hardy and Patel",2019-02-06 00:28:45,lt-21.lambert.info,1989-10-16
Allanchester,15.5952165,GB,-65.456357,Asia/Kuwait,commodi.pages,"Hughes, Anderson and King",1990-07-09 08:13:29,db-65.johnson.net,1990-10-24
Georginamouth,-79.373744,GB,-172.960525,America/Caracas,adipisci.mp4,Williams Inc,2007-03-21 08:42:17,web-05.walker.com,2009-01-10
Stephensview,2.455464,GB,169.597946,Africa/Blantyre,beatae.wav,"Bentley, Hayes and Norman",2023-06-17 10:22:13,srv-17.wilson-robinson.biz,2001-02-12
Damianland,81.123919,GB,157.862912,Africa/Ndjamena,nisi.jpg,Phillips-Pope,2005-07-20 14:43:20,laptop-38.hill.info,1994-08-03
Port Yvonneside,54.413094,GB,-119.234840,Africa/Casablanca,quis.wav,Vincent LLC,1988-08-16 16:46:14,email-43.barker-taylor.co.uk,2016-12-25
Port Jackport,31.523410,GB,-76.229334,America/Managua,aliquam.jpg,Holloway-Hawkins,2001-09-06 10:32:03,laptop-95.roberts-hart.com,2000-03-24
Port Victormouth,-1.190725,GB,-119.632817,Europe/Tallinn,voluptatum.gif,Day Ltd,1995-12-16 07:48:37,lt-09.kaur.com,1974-08-02
North Andrewside,-21.6156695,GB,-128.579205,Africa/Sao_Tome,ipsum.flac,Walton and Sons,2019-05-15 03:39:59,db-54.james.biz,2020-02-17
