pricetag,language_code,hostname,date,date_time,city,bank_country,iso8601,mac_address,latitude,timezone,random_number,longitude,language_name,country,company,file_name
$58.76,hsb,desktop-21.knight.info,2019-11-23,1990-10-09 08:03:58,Port Toby,GB,1997-06-12T20:53:59,fb:60:a5:6a:9a:67,73.794942,America/Santo_Domingo,483561679,169.151512,Uzbek,Azerbaijan,"Patel, Morris and Morrison",numquam.numbers
$781.20,ja,web-98.walker-johnson.com,1998-07-01,1999-10-25 12:14:26,Lake James,GB,1973-11-12T12:39:28,db:a5:21:25:f3:50,-43.7387645,Europe/Podgorica,37,-75.787820,Samoan,Lesotho,"Rose, Harrison and Stanley",inventore.gif
$8.25,am,desktop-06.glover.net,1997-01-20,2003-10-19 05:18:01,West Marie,GB,1999-08-28T22:39:56,39:ad:9d:9a:48:b3,-52.247523,America/Guatemala,29333232,-131.453618,Igbo,Comoros,Doyle-Newton,quia.odp
"$30,188.65",or,web-55.green.org,1973-05-13,2010-04-05 05:21:53,East Christopher,GB,2011-12-11T12:37:58,67:74:ed:48:eb:c0,-11.485703,Europe/Prague,314,134.257661,Aragonese,Myanmar,"Myers, Moss and Johnson",suscipit.mov
$584.26,mg,srv-27.nelson.com,1984-10-12,1984-10-11 02:59:35,North Lorraine,GB,1979-07-14T21:48:28,59:33:8a:4e:f7:f3,45.562429,Europe/Zurich,59,-87.732516,Burmese,Lao People's Democratic Republic,"Lambert, Harris and Gilbert",enim.mp3
$763.25,nhn,laptop-04.lawrence.biz,1988-09-16,1979-04-08 04:09:37,New Marcusborough,GB,1970-03-09T14:21:03,48:49:8e:0e:61:a3,-40.989514,Pacific/Apia,19191,142.675786,Inupiaq,Afghanistan,Harding-Ali,debitis.flac
"$9,116.09",as,email-99.jones.com,2001-05-15,2003-03-16 06:51:15,Mitchellland,GB,2014-09-21T12:33:24,64:c4:56:c8:ac:f0,-31.701024,Pacific/Chatham,0,-164.799263,Abkhazian,South Africa,Reeves-Harris,excepturi.doc
$5.43,as,srv-14.warner.net,2005-12-25,2017-03-09 10:17:53,West Elaine,GB,2022-12-02T04:31:07,b5:09:35:3b:0e:d9,-72.117448,Asia/Taipei,3,-28.108191,Sanskrit,Puerto Rico,Phillips Inc,explicabo.js
"$92,388.16",hu,db-53.hill.com,1975-03-12,2016-06-10 22:40:54,East Tomberg,GB,2019-07-19T04:10:26,6e:fb:8c:20:99:b2,30.7124615,America/Paramaribo,138167,89.631667,Esperanto,Sweden,"Green, Kay and Nicholls",sequi.gif
"$7,295.19",nso,web-11.chamberlain.com,1982-10-14,2009-12-07 11:43:50,Jonesville,GB,2008-09-28T02:26:54,4d:64:63:2b:b0:d6,36.060133,Indian/Mahe,4081,38.957108,Kurdish,Nauru,Martin PLC,veritatis.ppt
$324.68,ro,web-43.jones.com,1991-01-02,1973-09-14 02:05:17,Wardberg,GB,1972-04-16T21:47:14,47:ac:c7:ab:8f:41,-64.539004,Asia/Dili,58672,96.552391,Kirghiz,Palau,O'Donnell-Robinson,pariatur.ods
$896.66,ig,db-12.bennett.com,2000-12-28,1971-02-25 21:44:40,Deborahberg,GB,1997-05-21T00:35:00,81:dc:13:23:a8:0a,-41.536108,Africa/Ouagadougou,881049,-156.182605,Akan,Central African Republic,Holt-Wright,quibusdam.flac
$488.73,ru,srv-15.gill.com,2015-02-26,1993-12-24 22:45:27,West Philiphaven,GB,2006-07-13T17:47:38,20:8c:29:78:74:84,24.413273,Europe/Tallinn,62829,85.096580,Macedonian,Gibraltar,"Singh, Atkinson and Bradley",qui.gif
$80.13,tg,desktop-05.oliver.com,2022-03-11,2003-11-01 02:29:33,New Harrietberg,GB,2021-06-01T18:35:43,7a:b4:e8:c9:7e:a3,12.309492,Asia/Colombo,81635125,-133.388105,Hebrew,Liberia,"Byrne, Jones and Robertson",quas.pptx
$743.93,dv,srv-39.williams.com,1993-05-07,1989-03-09 11:20:47,Lake Chelsea,GB,1989-08-22T00:21:13,e9:24:61:90:ef:cc,-32.562806,Africa/Abidjan,3157650,-145.075912,Xhosa,Holy See (Vatican City State),"Thomas, Graham and Wright",id.flac
