city,latitude,bank_country,iso8601,mac_address
Wallisellen,-63.882089,CH,1975-11-29T07:42:14,37:01:c3:87:02:a6
Oftringen,-0.860429,CH,1973-08-05T07:43:31,d2:b4:63:90:93:e9
Brugg,-77.834221,CH,2009-03-24T04:15:32,05:ae:f2:a1:d8:e2
Lyss,80.0612285,CH,1987-02-01T12:46:22,4f:37:b2:c2:57:96
Sitten,18.538642,CH,1989-03-26T11:24:11,35:6e:d2:3a:2c:b6
Volketswil,49.591835,CH,2023-01-27T22:04:52,bd:9b:fb:9d:48:8c
Hinwil,-40.0056175,CH,2016-09-07T20:01:42,ce:84:80:76:49:c5
Sitten,10.3996535,CH,2015-02-23T12:27:00,4a:4b:91:e2:76:ac
Horgen,67.032164,CH,2018-07-12T12:08:16,9d:5d:dc:c5:20:b8
Grenchen,69.9223395,CH,2004-10-29T06:37:46,36:52:ec:d8:8d:c8
Arbon,32.530619,CH,1998-09-25T22:46:07,1c:21:c6:94:9e:42
Uster,-65.253971,CH,2004-02-15T19:36:25,8d:45:4a:30:3c:63
Emmen,-59.4820345,CH,2012-07-20T18:02:41,f6:92:3a:cf:62:4a
Aesch,-52.923103,CH,2008-04-14T01:05:02,c8:3f:92:9e:3a:6d
Schwyz,52.343334,CH,2009-08-27T03:50:24,fc:c2:56:31:bc:e5
Brig-Glis,13.350518,CH,1982-01-29T02:09:26,ef:1d:ce:1a:39:a4
Münsingen,-30.4864915,CH,1976-07-04T02:28:19,32:21:99:87:8d:88
Rüti,48.6157725,CH,2005-08-28T16:24:56,d9:1c:99:5a:c5:08
La Tour-de-Peilz,42.047537,CH,1995-09-18T13:06:48,8a:d8:d9:ad:73:df
Bern,53.8989055,CH,1975-04-15T01:00:58,76:11:fc:23:c3:5c
Horgen,-46.3387835,CH,2007-05-16T03:56:06,05:17:85:cd:4c:b0
Uster,42.528510,CH,1979-02-12T00:12:41,3b:da:a5:e3:7f:dd
Neuenburg,-87.6229995,CH,1984-10-21T18:26:48,49:96:31:1b:60:f7
Versoix,-24.5276075,CH,1992-12-29T22:23:27,8e:0d:c6:25:9c:47
Illnau-Effretikon,-68.4996885,CH,2008-02-15T16:51:32,45:07:1c:5c:49:22
Flawil,-44.887696,CH,2023-04-22T08:42:02,1b:bf:80:f7:62:f0
Birsfelden,-87.1268105,CH,1984-10-31T00:17:14,22:07:64:4f:0d:b8
Illnau-Effretikon,36.4547695,CH,1991-05-17T18:00:29,50:c9:92:a8:f8:b0
Chêne-Bougeries,86.655264,CH,1970-02-28T03:42:09,e0:f2:ac:40:2b:82
Kloten,-47.370768,CH,1997-11-05T22:22:55,d8:b2:f0:5b:16:98
Val-de-Travers,46.517349,CH,1971-06-13T04:16:16,33:3b:87:8b:1b:b6
La Chaux-de-Fonds,31.891805,CH,1990-02-22T19:24:31,dc:e5:4a:bf:f4:8d
Payerne,70.593001,CH,2023-07-02T18:45:48,29:e1:82:a3:00:f1
Schwyz,67.291510,CH,1995-02-18T04:48:14,5d:84:09:33:73:3c
Romanshorn,72.055846,CH,2018-09-06T14:26:51,fd:0f:ba:3e:d1:99
Ittigen,-12.8202215,CH,2013-06-22T02:50:00,5c:fd:50:5f:df:df
Freiburg,28.2029345,CH,1996-03-17T05:22:08,36:da:77:0f:f7:5a
Meyrin,-14.994222,CH,1986-12-29T12:58:56,70:7a:3a:22:4d:43
Steinhausen,45.5358765,CH,1974-06-03T08:30:37,da:3c:e6:67:47:fb
Oberwil,-13.8936215,CH,1983-10-07T13:07:00,0a:1e:5a:eb:2e:b6
Neuhausen,-43.4395085,CH,1976-04-13T08:25:43,b9:42:d0:a6:64:6f
Ostermundigen,-5.535305,CH,1988-07-23T17:52:26,73:3e:de:4c:f8:70
Val-de-Travers,-17.153223,CH,1995-09-01T14:26:05,25:9c:f7:d5:c1:c6
Neuenburg,37.3310735,CH,1998-05-14T06:37:39,24:10:7c:12:2e:43
Rüti,-62.8158455,CH,1995-05-31T23:09:42,98:c9:34:d8:b7:af
Muttenz,45.3774345,CH,1979-10-22T09:38:22,ef:d5:87:93:09:f7
Muri,-71.5226275,CH,1985-08-29T19:40:01,0e:38:1a:75:b4:d9
Montreux,76.438713,CH,2006-12-11T00:37:05,5e:ea:35:63:52:4b
Bassersdorf,-71.795990,CH,1989-07-25T21:41:03,20:0b:f7:f4:94:74
Aarau,-28.511822,CH,1974-10-13T04:53:21,51:f6:7d:fe:b9:06
Wädenswil,12.9750955,CH,1975-01-06T01:24:35,56:ce:07:30:71:bd
Vevey,-65.612428,CH,1975-10-13T19:49:49,a7:c1:a8:a4:ce:5b
Chêne-Bougeries,-12.456767,CH,1972-07-05T23:46:38,37:ef:1a:a2:85:1a
Bulle,-11.981740,CH,2000-07-21T04:58:15,7d:7f:5d:40:e4:dd
Volketswil,-41.2500215,CH,1998-05-09T12:34:19,d7:1a:89:d1:b6:84
Köniz,-24.0550395,CH,1984-09-09T03:04:03,99:5a:59:e1:0c:d7
Allschwil,-39.613267,CH,1981-06-21T16:53:05,5a:94:45:72:66:58
Zofingen,-86.8168955,CH,1980-09-06T19:21:51,5f:3f:45:aa:fb:00
Val-de-Travers,41.163916,CH,2014-12-14T16:44:43,7b:fe:52:9c:b5:78
Spiez,-13.402227,CH,1992-10-18T15:06:07,34:19:a9:84:cb:01
Yverdon-les-Bains,72.403788,CH,1993-08-07T09:30:39,16:64:4f:ee:50:93
Glarus,46.312577,CH,2003-08-06T04:45:48,d1:6f:cd:6c:0e:02
Lausanne,-30.421088,CH,1987-05-08T21:12:03,32:f3:4f:10:d0:1a
Steffisburg,35.455648,CH,1972-10-16T02:44:08,c2:24:61:7f:22:ba
Frauenfeld,-65.5505345,CH,1973-09-17T20:26:23,cd:00:24:64:bf:ee
Olten,-45.2654965,CH,2010-07-20T17:45:53,be:c9:3f:c0:a6:7d
Kreuzlingen,70.6129935,CH,2015-10-01T14:05:03,33:54:34:e4:4c:aa
Le Grand-Saconnex,-67.855788,CH,2011-09-16T11:30:40,8b:97:ac:8d:80:4e
Lyss,81.448403,CH,2018-02-11T23:08:26,a0:f3:26:24:c2:1d
La Chaux-de-Fonds,4.3878485,CH,1981-06-12T17:40:07,96:3d:4c:3d:99:ad
Volketswil,11.864449,CH,2008-11-14T09:41:33,e3:10:4d:b6:58:2b
Sarnen,70.771990,CH,2010-04-24T14:23:06,d1:92:16:b3:cb:67
Ecublens,-74.9405565,CH,2018-09-01T08:38:57,04:69:e3:1d:97:1b
Emmen,77.994234,CH,2005-04-11T12:07:44,e6:92:ac:84:5a:7a
Küssnacht,-87.886940,CH,1989-06-25T02:47:03,ea:60:65:39:51:75
Regensdorf,-43.2450285,CH,1981-08-30T16:37:27,1f:4c:ac:f4:7f:d0
Romanshorn,8.6708355,CH,1971-11-19T07:22:35,4f:38:69:47:40:d2
