date_time,date,language_name,pricetag,language_code
2006-11-07 07:01:42,2006-09-18,Greek,"1.972,60 €",ps
1992-10-28 08:45:38,2000-02-15,Chechen,"78.856,87 €",az
2013-01-13 22:11:04,2016-02-18,Kashmiri,"72.783,79 €",bho
1998-07-30 09:49:28,1994-04-18,Macedonian,"19,52 €",vi
2018-07-07 09:58:06,2022-03-14,Uighur,"85,48 €",ja
1996-10-25 14:10:48,1970-02-13,Fulah,"9,21 €",lzh
2015-01-30 22:10:06,2021-10-30,Estonian,"8,98 €",kk
1990-03-21 20:50:40,2010-07-07,Slovak,"84.402,50 €",tn
1975-09-04 12:54:30,2003-09-29,Portuguese,"72.324,17 €",vi
2007-05-31 18:23:54,1999-08-16,Haitian,"458,76 €",nr
1970-10-24 22:55:12,1984-06-23,Dutch,"81.019,86 €",mg
2000-02-16 01:54:03,2012-02-25,Chamorro,"231,91 €",ka
1996-09-30 10:59:03,1971-10-05,Chinese,"6,06 €",ps
2017-05-13 17:17:46,1994-10-22,Chechen,"7.217,90 €",id
2004-01-07 02:11:54,1998-11-14,Sardinian,"4.685,30 €",st
1998-09-20 02:20:43,1995-05-27,Japanese,"533,70 €",sk
1975-12-02 02:55:28,1996-09-01,Sango,"71,99 €",bs
1970-10-25 19:24:24,1974-01-31,Sundanese,"1.126,57 €",szl
1982-03-25 20:32:09,1992-10-03,Ojibwa,"7,67 €",my
2007-02-11 14:59:47,1996-02-14,Ndonga,"9,00 €",ak
1994-12-10 20:24:47,1974-01-08,Romansh,"32,60 €",sa
1996-08-03 19:01:05,2020-03-01,Persian,"1.559,03 €",lzh
1995-06-01 00:06:40,2004-09-02,Tahitian,"0,32 €",mn
2005-02-18 15:21:17,1992-12-27,Persian,"54,96 €",gl
1984-02-13 01:42:43,2019-05-05,Basque,"10,59 €",nds
2019-07-19 21:48:19,1997-10-07,Finnish,"45,71 €",lzh
2006-06-26 04:18:14,1974-03-24,Latin,"5,56 €",quz
2001-11-20 18:29:39,2010-10-30,Maori,"669,97 €",nb
