Asia/Dushanbe,1998-12-30 08:03:25,db:e9:9c:7f:c4:d0,"Scheidegger, Schuler and Felder",fi,$2.51,1983-06-11T05:28:26,Arbon,53.594068,-47.7685115,Liechtenstein,2022-10-25
Asia/Rangoon,2015-02-17 18:42:14,19:71:6a:73:54:31,"Vogt, Wyss and Wirth",am,$42.25,1993-05-19T04:28:52,Plan-les-Ouates,106.675535,-65.1670165,Uganda,2000-12-08
Pacific/Chatham,1993-06-20 16:45:54,9e:dd:24:0a:69:70,Jenni-Martin,bo,$475.91,1985-03-10T12:02:06,Lugano,-36.657878,78.982423,Bahrain,2013-04-14
Europe/Copenhagen,1996-12-29 04:01:32,9b:a8:43:0c:31:ce,"Moser, Imhof and Weibel",bem,"$4,836.31",2007-05-03T12:39:14,Lausanne,-165.522388,-30.4419115,Indonesia,1988-05-25
Asia/Karachi,2006-06-24 02:16:53,3e:ea:80:60:3d:14,"Hug, Senn and Wirth",hu,$75.42,1978-01-26T03:37:13,Gland,88.901092,26.2791075,North Macedonia,1990-05-14
Europe/Athens,1975-10-26 00:39:32,42:e0:91:bd:63:4f,"Hirt, Winkler and Leu",ia,$572.12,1975-05-18T01:31:23,Wil,68.047717,12.356039,East Timor,2020-09-20
America/Antigua,2014-11-28 09:03:51,8d:e8:af:b5:ef:4e,"Schweizer, Meier and Kuhn",ka,$74.02,2004-09-02T16:48:47,Illnau-Effretikon,144.180209,21.9254195,Senegal,1977-01-20
America/Asuncion,2022-12-05 16:16:34,4c:d2:72:52:5f:a2,Suter LLC,be,"$66,790.86",2006-12-30T21:10:29,Binningen,-165.649728,-51.676870,Venezuela,1995-11-03
Africa/Brazzaville,2012-08-08 05:42:48,41:2f:87:d0:d9:29,Flückiger-Probst,pl,"$59,176.49",2017-11-22T23:53:39,Illnau-Effretikon,179.898973,29.2278215,Sierra Leone,1996-10-12
America/El_Salvador,1992-07-03 04:41:06,28:c1:23:5a:56:c3,Schneider-Wolf,fi,"$2,108.44",2017-04-23T03:33:14,Oftringen,23.934679,-3.028463,Syria,1985-06-11
Africa/Brazzaville,2012-05-03 07:16:40,d0:bb:31:1d:a5:4b,"Wegmann, Mettler and Hirt",bem,"$25,786.97",2019-08-26T04:02:57,Sitten,35.299171,-38.520085,Slovenia,2002-02-25
Europe/Zagreb,2004-05-08 11:26:46,3b:f3:92:7b:56:7a,"Vogt, Wettstein and Hoffmann",xh,"$4,962.40",2008-04-15T22:03:25,Pratteln,-37.858440,72.8415255,Saint Kitts and Nevis,2020-09-17
