pricetag,date_time,file_name,city,bank_country,mac_address,hostname,time,language_code,timezone,date,language_name,company,country
$8.29,2004-12-06 02:01:14,id.wav,Annatown,GB,91:06:d1:0d:bd:75,db-21.brown.com,13:31:07,sk,Europe/Vilnius,2006-06-09,Italian,Simpson and Sons,Greece
$6.98,1987-12-02 21:46:51,nesciunt.mov,Iainchester,GB,8a:a7:ef:b0:71:c6,srv-82.chapman.org,15:43:37,yo,Pacific/Kosrae,1975-09-11,Maltese,Butler-Dunn,Paraguay
"$43,748.54",1970-07-06 04:58:29,esse.mp3,Eleanorchester,GB,32:03:fa:d7:8c:c9,email-11.riley-morrison.biz,16:58:26,mn,Africa/Asmera,1979-02-22,Marshallese,Allen-Evans,Argentina
$798.22,1972-05-03 07:38:50,totam.flac,Jodiechester,GB,1a:08:60:dd:93:1d,db-49.mitchell.net,03:40:54,ayc,Europe/Brussels,2009-07-04,Haitian,Jones Inc,Saint Helena
$500.93,2000-01-22 16:05:53,veniam.png,Port Cliffordstad,GB,53:e9:7c:e2:e2:b3,email-47.wright.com,01:58:38,sat,Asia/Bishkek,1970-11-15,Welsh,Gibbons-Fitzgerald,Poland
"$1,187.26",2007-07-20 06:27:02,commodi.flac,East Connor,GB,43:a2:db:3d:16:3c,srv-18.taylor-blake.com,13:16:23,ia,Africa/Douala,1985-10-17,Cornish,Smith-Field,Indonesia
"$2,615.49",1984-08-11 20:27:34,possimus.jpeg,Johnsonside,GB,6a:0b:38:95:4b:03,srv-35.williams.com,00:13:14,kl,Africa/Sao_Tome,2018-10-31,South Ndebele,"Williams, Fisher and Mills",Iceland
$181.57,1978-08-02 06:44:31,perspiciatis.mov,Smithhaven,GB,76:04:f2:6b:42:df,srv-12.evans.com,10:24:28,is,Europe/Amsterdam,1980-04-06,Romansh,Jordan Inc,Turkmenistan
"$51,371.25",1975-11-05 15:58:48,incidunt.png,West Dominic,GB,55:16:db:63:9d:9f,desktop-35.griffin.com,11:21:00,sk,Asia/Katmandu,2007-12-16,Georgian,"Vincent, Robinson and Gray",Iceland
$4.02,2003-11-26 16:13:04,cupiditate.jpeg,Archermouth,GB,ea:90:75:d0:48:40,web-88.nixon.org,17:39:07,ff,Asia/Yerevan,1993-05-24,Quechua,Hayes Ltd,Belarus
"$77,604.98",1982-10-19 08:27:04,aliquid.bmp,Karlbury,GB,7d:19:c6:fd:82:37,db-09.johnson-rowe.info,13:13:07,bem,America/Lima,2020-10-29,French,Jordan-Hunter,China
$8.86,2019-08-17 08:06:37,possimus.webm,Powellfurt,GB,89:28:7b:6f:ab:8d,web-47.ellis-king.net,03:24:48,si,Africa/Douala,2008-07-28,Lithuanian,Rees and Sons,Cote d'Ivoire
$642.58,1971-04-19 15:57:25,inventore.mov,Carlystad,GB,e3:90:d0:86:2d:9b,srv-72.smith.com,08:55:37,et,America/Argentina/Mendoza,2022-07-18,Kuanyama,"Cooper, Crawford and Moore",Paraguay
$86.42,1991-06-29 18:03:39,voluptatibus.jpeg,Sinclairland,GB,5e:35:f3:59:f9:4c,email-65.parkinson-shepherd.co.uk,11:35:58,kn,Asia/Tashkent,2004-02-12,Bengali,Brown-Rogers,Austria
$80.44,2017-06-27 15:42:42,eligendi.mp3,East Bethany,GB,1c:71:bf:61:af:4d,db-84.murray-lee.biz,02:09:21,mni,Europe/Riga,1972-12-19,Belarusian,Reynolds-Cox,Paraguay
$455.13,1977-04-20 00:06:24,totam.tiff,Leighside,GB,b3:e0:d1:c2:cb:fc,laptop-63.hayward-marsden.info,15:16:33,sa,Europe/Berlin,2008-12-02,Afrikaans,Smith-Carter,Sweden
"$9,033.64",2008-03-27 23:56:33,aut.gif,South Malcolm,GB,ae:1d:44:31:1a:4c,db-70.winter-harris.co.uk,21:32:50,gv,Africa/Addis_Ababa,2013-05-30,Somali,Bray-Davis,Singapore
$99.94,2000-11-18 10:00:03,cum.xls,South Juliafurt,GB,43:a9:d4:bf:6e:81,desktop-64.hutchinson-field.com,10:48:38,sr,America/Tegucigalpa,2015-06-24,Akan,"Potter, Rowley and Smith",Congo
"$8,518.83",2018-01-08 11:07:51,quo.json,West Graeme,GB,0f:f8:7e:6b:e8:a8,desktop-24.macdonald.com,08:58:49,br,Africa/Gaborone,2011-03-17,Serbian,Banks-Bishop,Slovakia (Slovak Republic)
"$54,602.77",1996-12-13 02:00:29,natus.css,West Hughview,GB,80:39:0f:00:db:83,srv-03.hobbs.com,04:53:28,ve,Europe/Helsinki,2006-09-28,Komi,"Evans, Watkins and Thompson",Uganda
$180.05,1997-10-12 17:06:08,quo.pages,Houghtonchester,GB,66:fc:96:4b:ea:b3,email-66.murphy.com,12:02:33,ast,America/Guayaquil,1972-07-20,Interlingue,Carter and Sons,Northern Mariana Islands
$746.65,2020-08-09 06:51:43,delectus.odp,Paigefort,GB,1e:a7:fc:6e:de:94,desktop-61.thompson.biz,17:02:58,ts,Indian/Antananarivo,2019-08-24,Chamorro,Jones-Taylor,France
$2.29,2010-11-12 04:48:53,vel.mp3,South Francesville,GB,9b:b6:97:26:2d:39,email-37.baldwin.com,06:09:52,rw,Europe/Athens,2003-01-05,Western Frisian,Bell and Sons,Gambia
"$35,045.03",2009-04-22 06:35:01,nesciunt.numbers,Jillmouth,GB,87:a2:87:68:cb:d4,db-90.curtis.com,12:13:25,kk,Australia/Broken_Hill,1970-04-17,Macedonian,"Morgan, Adams and Clark",Yemen
$79.16,1977-05-22 16:39:25,autem.csv,Leechester,GB,0c:d4:f4:e5:bf:f5,db-42.singh.com,04:34:35,yo,Pacific/Guadalcanal,1971-03-05,Limburgan,Lee-Marshall,Norway
$93.02,1980-11-01 20:42:09,fugiat.jpeg,South Aaron,GB,dc:06:32:f5:21:1f,lt-25.anderson.org,03:16:23,or,Pacific/Funafuti,1995-11-10,Kazakh,Bradley PLC,Bouvet Island (Bouvetoya)
"$9,077.16",2018-03-11 19:18:49,commodi.txt,Turnerport,GB,5a:64:98:2f:87:54,web-73.jones-cooke.net,11:32:52,ar,Asia/Manila,1971-10-04,Sardinian,King LLC,Congo
$50.55,1986-01-11 14:01:20,laudantium.xls,Amyborough,GB,73:d2:60:79:77:57,laptop-00.simpson.net,16:40:27,nan,Africa/Libreville,2015-12-31,Aragonese,Evans Inc,Niue
$705.00,1986-03-26 17:58:28,labore.docx,Ashleighhaven,GB,0e:fe:cc:33:01:da,srv-74.knight.com,08:18:59,szl,America/Bahia,2011-03-07,Hausa,Jones Inc,Bhutan
$7.06,1988-10-14 00:47:13,officiis.flac,Port Katychester,GB,7f:15:d6:30:2e:fc,email-28.miah-jones.com,03:31:08,fy,Africa/Lusaka,1976-01-14,Cornish,Allen Inc,Senegal
$95.69,1979-01-12 10:44:57,aspernatur.doc,Port Philip,GB,c3:01:4b:15:84:be,db-44.mills-taylor.com,18:56:28,tcy,Asia/Rangoon,2001-09-22,Armenian,Powell PLC,Saint Kitts and Nevis
"$8,140.76",1970-06-07 15:41:05,minus.mp3,North Alexandra,GB,e0:77:f1:0d:17:af,db-77.lawson.info,07:26:31,sr,Europe/Monaco,1988-04-17,Quechua,Rowe and Sons,Mongolia
$2.23,2004-10-17 15:05:27,sed.flac,Deanport,GB,3a:3a:ce:7e:36:99,srv-19.sutton-stewart.com,03:18:55,ak,Pacific/Efate,1976-10-11,Icelandic,Berry-Lowe,Spain
"$2,731.03",2008-03-17 08:26:49,voluptate.gif,Dalyside,GB,40:09:c4:e4:79:d9,lt-56.thomas.com,08:31:40,pl,Europe/Budapest,1973-05-06,Catalan,May-Robson,Iraq
"$9,788.69",1985-09-29 01:21:31,reprehenderit.gif,Port Lesleychester,GB,e2:ee:74:65:2f:5b,desktop-29.hughes.com,12:40:23,kn,Africa/Conakry,1975-04-05,Cornish,Saunders Group,Trinidad and Tobago
"$58,432.37",1984-05-15 13:12:12,mollitia.txt,Leachberg,GB,97:e3:b2:46:aa:8d,srv-80.brown.com,08:16:24,he,Europe/Athens,2001-06-11,Kalaallisut,"Jenkins, Robinson and Brown",Burundi
"$18,164.95",1980-07-31 18:16:01,soluta.ods,Sullivanland,GB,33:19:88:75:4f:e9,lt-48.fry.com,18:14:03,sl,America/Araguaina,2018-08-18,Sango,Parker Group,Falkland Islands (Malvinas)
$16.00,1993-07-21 03:38:59,labore.mp3,Conorbury,GB,58:52:0a:78:5a:54,email-70.hall-miller.com,04:04:33,ti,Africa/Accra,1983-07-14,Chuvash,Thomson PLC,Cambodia
$2.32,1978-05-27 20:48:27,cumque.json,Port Valeriestad,GB,93:67:05:e7:45:49,laptop-00.birch.com,18:21:28,nan,Indian/Mahe,1996-10-29,Kannada,Evans-Evans,Equatorial Guinea
$37.75,2016-03-24 21:20:32,eligendi.jpeg,Tobybury,GB,c0:41:88:39:38:20,lt-83.hughes-brown.net,05:14:43,bem,Africa/Douala,2005-04-09,Corsican,Thompson Ltd,Kuwait
$534.95,1993-09-18 00:38:42,repellendus.css,New Garryshire,GB,78:8a:3d:25:b2:da,lt-06.smith-marshall.com,23:49:20,or,Africa/Casablanca,1992-07-08,Bambara,Robinson PLC,Australia
$90.69,1980-12-20 10:31:59,quia.flac,North Jeanborough,GB,d9:d8:ab:73:bc:51,email-95.barnett-kirby.com,00:52:13,ha,Europe/London,1984-04-15,Belarusian,Ellis-Richards,Poland
"$2,928.92",1992-10-15 22:35:07,quam.txt,Deborahbury,GB,a8:15:b1:24:a6:e2,laptop-11.lee.com,07:31:38,csb,Europe/Tirane,2015-10-01,Sanskrit,Morris-Edwards,Angola
"$2,010.45",1972-06-06 10:41:12,at.txt,Nichollsburgh,GB,0e:48:f2:ec:99:ab,laptop-66.greenwood.com,10:15:36,hi,America/Indiana/Indianapolis,2010-05-19,Mongolian,"Cooke, Alexander and Thompson",Guinea-Bissau
$7.65,1987-07-22 11:44:15,assumenda.flac,New Elliott,GB,e3:c5:ac:19:74:e9,db-59.bell-wilson.com,22:13:57,ja,America/Argentina/Jujuy,1987-02-12,Yiddish,Nelson Ltd,Sri Lanka
"$6,075.19",1975-01-31 15:02:46,possimus.html,Cookfort,GB,f0:9b:5e:12:de:b3,srv-78.thomas-roberts.co.uk,19:03:38,mn,Europe/Ljubljana,2002-03-11,Galician,"Jones, Jones and King",Samoa
$44.23,2000-05-05 23:56:17,neque.jpeg,East Ross,GB,7e:0c:f2:0b:f4:c0,laptop-73.adams.com,21:59:04,wae,Europe/Paris,1979-09-09,Belarusian,"Jones, Franklin and Moore",San Marino
"$70,865.83",1995-03-28 19:24:46,accusantium.png,Dianehaven,GB,69:12:0f:38:33:f7,email-62.sykes.com,09:39:57,ss,Africa/Casablanca,2002-04-03,Burmese,Finch PLC,Bahrain
"$2,928.86",1974-08-23 11:32:56,fuga.webm,Walkertown,GB,2b:cf:c8:97:c0:d7,db-57.leach.com,01:47:59,szl,Asia/Samarkand,2002-04-10,Italian,Wilson LLC,Mali
$71.62,1992-05-08 06:21:12,minima.ppt,Port Daniel,GB,f1:cf:fc:96:11:6e,web-37.barry.org,07:50:26,tig,America/Montevideo,2011-01-07,Basque,"Briggs, Yates and Pope",Isle of Man
"$3,295.39",2023-06-02 17:06:30,recusandae.flac,Ryanside,GB,5d:d0:3d:f4:eb:86,lt-65.kelly.biz,11:55:43,kw,Africa/Freetown,1975-10-07,Pali,"Roberts, Rose and Day",Malaysia
$5.50,1975-05-02 14:51:28,reiciendis.mp3,Port Sandramouth,GB,61:64:99:e6:4b:8e,laptop-81.reid.org,16:49:54,mg,Asia/Phnom_Penh,2006-04-14,Xhosa,Williams PLC,Spain
$97.95,2005-10-02 11:55:26,maiores.js,Archerton,GB,c8:6e:41:06:fd:8c,db-96.hale-myers.biz,15:57:48,fi,Asia/Dushanbe,1976-10-06,Urdu,"Baker, Brown and Moore",Turkmenistan
$575.12,1989-10-13 21:04:58,corrupti.csv,Julieton,GB,c4:39:e0:1c:aa:7d,lt-62.stone-adams.com,06:03:43,my,Pacific/Auckland,1989-08-29,Belarusian,Russell-Clarke,Gambia
"$5,635.74",2022-10-08 20:29:30,officiis.txt,Mitchellstad,GB,84:f0:57:85:b5:63,email-84.cooper-davies.com,14:30:06,fy,Pacific/Kwajalein,1974-08-29,Sango,"Walsh, Vincent and Davies",Central African Republic
$22.94,1976-10-11 05:07:31,reprehenderit.js,Hussainfurt,GB,2a:df:2e:b5:78:c3,desktop-50.davies.com,02:34:37,ast,Africa/Maseru,1973-11-24,Danish,"Smith, Richards and Smith",Congo
$212.88,2002-02-28 11:50:21,sit.mp4,North Cliffordstad,GB,89:db:a5:8b:f2:05,db-99.hall-watson.org,12:12:36,hr,Europe/Chisinau,1999-04-14,Panjabi,Arnold Inc,Ecuador
$75.85,2010-09-15 05:19:00,iusto.webm,Daveymouth,GB,1c:01:9f:8d:24:ff,db-19.andrews-clarke.biz,01:01:08,ur,Indian/Antananarivo,2020-11-15,English,Smith Group,Albania
$77.19,1977-01-26 01:35:25,adipisci.pptx,Shahside,GB,f7:62:47:1e:a2:44,lt-18.ward.com,21:08:58,tig,Africa/Dakar,1992-04-16,Tigrinya,"Robinson, Stone and Martin",San Marino
$891.23,2009-09-07 09:49:28,repudiandae.png,Abbieshire,GB,02:08:00:74:8f:9b,srv-35.webster.net,14:23:05,an,Pacific/Fiji,1990-10-08,Corsican,Harding Group,Lao People's Democratic Republic
$5.19,1984-03-04 17:20:06,repudiandae.json,Seantown,GB,6a:a4:fa:98:d7:39,web-03.giles.info,23:04:16,sid,America/Barbados,1978-09-10,Assamese,"Gray, Cameron and Carey",Cape Verde
$70.38,1978-12-06 00:57:26,atque.webm,Lake Tony,GB,13:73:2b:b3:34:b3,laptop-86.kaur.com,07:51:50,sq,Africa/Brazzaville,1989-01-23,Russian,"Dixon, Davies and Watts",Saint Lucia
"$2,433.04",2006-09-12 08:00:25,quis.xlsx,South Davidport,GB,6b:f1:94:b4:68:87,desktop-55.naylor.com,01:57:10,ar,Atlantic/Cape_Verde,1983-10-20,Hiri Motu,Parker LLC,Bosnia and Herzegovina
$622.92,2009-03-19 17:27:06,impedit.mp3,Bethanymouth,GB,90:45:da:93:9f:65,laptop-09.wright.com,22:51:13,bo,Asia/Baku,1996-02-27,Avestan,Khan LLC,Sierra Leone
"$3,531.34",2010-08-04 21:59:51,vitae.tiff,Dominicborough,GB,98:5b:dd:4f:92:71,email-67.poole-barnett.com,07:04:20,or,Africa/Banjul,1972-08-24,Bulgarian,McDonald and Sons,Gabon
$61.11,1982-08-11 07:48:02,voluptatum.mp4,Malcolmview,GB,2c:9d:06:61:40:81,web-48.horton.org,07:10:46,uk,Asia/Kamchatka,2023-01-11,Chechen,Read-Chamberlain,Sao Tome and Principe
$98.09,2016-04-19 10:23:22,eum.bmp,East Graeme,GB,eb:2a:57:60:71:3a,web-03.jones-james.com,17:38:47,fil,Africa/Bangui,1971-09-25,Romanian,"Sharp, Jordan and Patel",Pakistan
$54.63,2002-05-19 23:24:33,doloremque.css,Watkinsfurt,GB,e4:c3:19:43:a3:55,db-11.wood.com,19:18:17,om,Asia/Aden,2016-03-09,South Ndebele,"Harvey, Andrews and Whitehead",Iraq
$36.05,2022-03-21 00:41:19,modi.mp3,Lake Sophieville,GB,3b:9b:ff:e3:82:3d,desktop-90.johnson-edwards.org,12:19:14,af,Africa/Casablanca,1970-02-25,Sichuan Yi,Birch-Hunter,Cape Verde
$9.08,2023-07-24 04:06:24,ex.webm,Claireshire,GB,ff:71:f7:d3:ad:0f,laptop-44.welch.info,14:24:38,mni,Africa/Lusaka,1986-12-19,Kazakh,Peters Inc,Ukraine
"$9,259.43",1997-06-21 03:59:16,distinctio.mp3,Clarkechester,GB,f5:1e:fd:3c:23:5c,srv-91.griffiths-evans.biz,21:56:40,kl,Africa/Bujumbura,1971-10-10,Kuanyama,Giles and Sons,Palestinian Territory
$245.43,1991-07-23 07:23:08,tenetur.mp4,Jeffreyfurt,GB,d6:89:7e:28:9a:8a,db-12.walker.com,18:13:51,ps,Europe/Belgrade,2002-04-08,Yoruba,Blake-Murphy,Indonesia
$939.82,2017-09-13 03:17:08,dolore.numbers,New Tracy,GB,5d:9c:c6:52:2a:d7,srv-44.taylor-richardson.info,20:52:46,ff,Africa/Tripoli,1993-10-03,Azerbaijani,Mitchell PLC,Turkmenistan
