longitude,country,time,iso8601,date_time,pricetag,language_name
34.455497,Südafrika,11:04:08,2014-08-21T15:03:51,1977-05-31 16:43:48,"9.439,45 €",Chechen
77.012579,Gabun,05:30:32,1973-03-25T11:51:23,2007-03-30 10:59:30,"812,13 €",Irish
-5.826220,Mexiko,20:32:04,1990-03-28T16:50:42,2001-12-06 21:10:48,"5,77 €",Marathi
106.119138,Afghanistan,16:37:34,1981-09-15T07:25:22,2018-04-01 01:40:19,"9,45 €",Aragonese
30.798970,Dominica,19:23:47,2021-09-20T10:45:52,2020-09-19 11:13:12,"92.445,49 €",Navajo
3.674373,Bermuda,16:09:21,1980-06-16T14:50:45,1998-03-30 06:31:09,"46.703,99 €",Romansh
160.633805,Ghana,03:14:24,2020-02-05T00:05:18,2006-12-19 19:16:47,"644,25 €",Shona
123.727320,Jersey,20:56:46,1993-05-12T03:18:49,1990-05-14 13:51:11,"1.989,60 €",Serbian
-36.537739,Anguilla,02:34:21,1996-05-06T19:13:41,1993-11-27 15:08:23,"51.532,88 €",Urdu
20.929547,Kenia,18:36:23,2020-01-08T19:48:43,2015-08-10 10:31:44,"49.329,37 €",Uighur
88.698458,Angola,22:00:04,2005-02-16T08:11:50,1982-07-28 22:32:40,"66.900,64 €",Tonga
127.121602,Burkina Faso,15:52:26,2010-01-13T09:15:31,2002-08-12 14:30:46,"906,85 €",Limburgan
-112.893107,Guyana,18:12:01,1986-01-01T11:48:22,1972-05-08 07:17:30,"36,24 €",Burmese
-3.773830,Afghanistan,14:16:07,2016-08-09T23:05:39,1987-06-22 06:52:34,"65.966,46 €",Ossetian
115.518958,Republik Moldau,12:54:26,1978-08-10T20:16:33,2004-03-06 04:14:39,"68.025,24 €",Romanian
116.777195,Amerikanisch-Ozeanien,16:35:17,2003-06-20T11:53:38,2011-07-26 07:12:50,"15.304,86 €",Swahili
16.910044,Mexiko,11:20:26,1996-04-27T00:50:08,2003-09-27 05:56:22,"5.775,22 €",Albanian
32.261293,Myanmar,07:39:59,1972-07-17T13:09:08,1979-04-22 08:20:11,"5.951,48 €",Gujarati
-71.880896,Armenien,18:22:12,1994-10-02T10:51:53,1988-10-04 03:01:09,"204,61 €",Nauru
-88.017821,Französisch-Guayana,10:42:53,2015-10-17T14:28:52,2018-07-22 15:43:56,"36.405,02 €",Marathi
-89.779266,Kokosinseln,03:33:21,2010-07-15T12:56:55,1973-05-29 08:25:46,"3,03 €",English
98.060864,Lettland,07:03:58,2017-09-09T13:34:51,1992-12-13 08:52:49,"425,22 €",Herero
-154.799204,Barbados,04:02:21,1995-11-13T09:37:25,1984-05-26 20:55:07,"52,24 €",Northern Sami
148.958657,Bulgarien,05:07:23,2013-05-09T05:09:38,2001-10-27 07:45:16,"53.239,34 €",Vietnamese
-149.351771,Zentralafrikanische Republik,11:43:27,2011-12-27T22:20:03,1987-01-05 13:57:50,"652,42 €",Amharic
-41.813967,Französisch-Polynesien,11:27:44,1971-03-16T19:25:57,1977-07-22 16:31:05,"3.347,14 €",Bihari languages
