iso8601,random_number,latitude,language_name,language_code,time,date_time,bank_country,hostname,file_name,city,company,longitude,country
2017-03-19T14:58:01,2,67.946309,Lao,the,17:02:11,2022-11-15 13:02:15,CH,web-61.schwab.net,eum.wav,Meilen,Gross-Iten,-151.215933,Slovenia
2011-10-07T15:01:37,93,-73.395954,Bislama,br,05:59:47,2000-05-23 04:32:45,CH,web-64.schnyder.info,placeat.mp3,Rüti,Frei-Roth,107.671245,Nepal
1976-08-15T02:46:53,37840,39.2481685,Afar,eo,21:31:41,2019-11-02 17:18:37,CH,lt-93.bernasconi.com,alias.mp3,Dietikon,Scheidegger and Sons,-74.971331,Bhutan
1994-01-02T10:43:07,0,-83.4317135,Indonesian,lt,07:27:24,2005-02-10 13:21:56,CH,web-78.probst-hofmann.com,aut.csv,Ebikon,"Baumgartner, Moser and Siegrist",-81.336040,Saint Lucia
2018-12-14T03:14:33,547966,-33.2673485,Bosnian,fo,07:44:05,1970-11-01 00:17:56,CH,laptop-66.jenni-scherrer.com,temporibus.mp4,Crans-Montana,Burri and Sons,85.544476,East Timor
1990-08-05T18:51:35,7478824,-45.150349,Haitian,nds,03:29:09,2012-01-31 12:09:21,CH,email-22.bieri-steinmann.net,corrupti.wav,Risch,Leunberger Group,-124.205218,Angola
1971-09-15T12:51:56,10,-55.1641015,French,tn,08:22:25,1989-11-08 12:40:48,CH,email-13.fuchs.com,mollitia.avi,Meilen,Käser LLC,58.446414,Taiwan
2006-07-02T21:18:41,96804,45.648987,Bihari languages,bho,18:26:06,2007-07-17 15:43:57,CH,email-20.hodel.com,esse.css,Amriswil,"Marti, Braun and Sutter",-43.668822,Tajikistan
1993-09-21T21:55:09,5374142,30.0658255,Malagasy,se,11:07:47,1989-04-12 11:23:22,CH,email-35.schurch.com,rem.avi,Wettingen,"Häfliger, Walder and Lehmann",146.802146,Zambia
2009-06-28T19:56:44,55790937,-43.3310275,Tatar,kn,20:12:30,2015-11-21 17:44:06,CH,srv-68.hauser-wirz.com,quam.mp4,Meilen,Zbinden Group,-66.827378,Luxembourg
2006-11-11T21:08:02,5046216,21.8751855,Kikuyu,sat,00:31:18,2015-07-10 12:45:54,CH,laptop-56.pfister.com,minus.xls,Birsfelden,"Schwab, Maurer and Hofstetter",15.533764,Liberia
2009-05-04T09:31:23,5,10.981145,Kannada,th,23:15:15,2012-05-05 22:56:33,CH,db-08.meister-vogel.net,reprehenderit.webm,Richterswil,"Braun, Fuchs and Wyss",52.542940,Mozambique
1972-05-12T13:54:58,5905788,-5.6840035,Luba-Katanga,kw,22:09:10,2003-12-25 14:25:36,CH,db-27.brun-stocker.com,animi.jpg,Münchenstein,Bianchi LLC,41.842298,Vanuatu
2006-08-21T10:52:14,78,-74.3034925,Uighur,da,11:09:50,2004-05-19 11:03:19,CH,db-09.egli.com,et.jpg,Val-de-Travers,"Tanner, Kaufmann and Ernst",166.928418,Djibouti
1989-07-09T12:36:11,1,56.4665975,Norwegian,fy,06:39:02,1991-09-06 18:01:54,CH,email-20.bieri-jost.biz,dolore.bmp,Freiburg,"Ernst, Wehrli and Baur",149.909160,Saint Vincent and the Grenadines
1998-11-17T00:26:55,29,-68.1705015,Zulu,so,03:58:28,1997-05-12 03:36:12,CH,db-40.hartmann.com,natus.flac,Küsnacht,Forster-Stocker,-77.225356,Japan
1990-11-03T04:02:56,4,33.1012065,Tatar,kn,08:42:36,1992-09-26 09:09:13,CH,email-48.bader.com,odio.xls,Prilly,"Hürlimann, Fehr and Vogel",33.911435,Madagascar
2015-09-16T20:25:08,14687,45.0431755,Maltese,pt,11:13:53,1973-02-26 12:13:06,CH,email-52.hirt.org,repellendus.jpg,Buchs,Thommen PLC,-118.335518,The Gambia
