timezone,latitude,pricetag,company,date_time,language_code,date,longitude,iso8601,file_name,mac_address,random_number,hostname,country,bank_country,time,language_name
Atlantic/Madeira,36.8957735,"8.943,97 €",Weinhage Kuhl KG,2003-07-05 03:37:06,gd,1970-01-29,-4.263343,1977-12-06T23:48:14,sie.pdf,a4:a3:91:a0:27:4f,256,srv-79.drubin.com,Südafrika,DE,14:26:57,Telugu
Africa/Cairo,8.974317,"6,35 €",Losekann Eberhardt OHG mbH,2011-04-10 13:34:48,tr,1987-10-26,38.360946,1997-12-13T12:09:14,darin.wav,07:fe:3f:a8:c6:d4,5273,srv-92.hoffmann.com,Marokko,DE,04:55:52,Rundi
America/Nipigon,42.673176,"1.024,99 €",Bolnbach,2010-04-13 04:12:33,km,2020-03-20,-106.831837,1971-08-29T09:07:48,dauern.jpg,fe:71:b8:26:01:c4,789342,srv-78.weiss.org,Äthiopien,DE,03:52:31,Burmese
America/Asuncion,-10.3047085,"4,45 €",Zimmer,2006-07-22 05:24:12,fy,1986-10-04,-54.074261,2002-08-26T10:10:26,müde.mp4,d6:39:18:16:3c:bc,836,db-62.ackermann.org,Eritrea,DE,02:16:08,Bulgarian
Africa/Blantyre,-26.459800,"3.138,29 €",Römer,1983-03-14 13:24:08,mai,2007-06-27,52.541182,2014-07-24T03:50:06,Wort.flac,6d:09:67:3e:38:04,7,db-12.roht.com,Libyen,DE,03:43:07,Albanian
Asia/Thimphu,-14.8556415,"5,03 €",Seidel Sager AG & Co. OHG,2009-04-23 21:12:34,xh,2006-10-13,-168.641450,1995-10-08T08:09:16,fahren.mp3,15:df:b8:7a:39:63,751840,lt-26.jacobi.de,Georgien,DE,00:00:04,Korean
Europe/Zagreb,-84.0107245,"307,26 €",Rädel Wähner AG,1991-05-24 00:55:15,am,1975-11-27,99.382889,1998-07-14T00:40:21,sein.mov,af:21:55:94:ef:d6,38,db-07.roht.com,Jemen,DE,10:36:25,Russian
America/Nassau,-89.613985,"284,04 €",Bolnbach OHG mbH,2022-03-27 02:49:06,iw,2005-08-23,128.870370,2016-10-26T04:28:20,Platz.jpg,fa:e0:d6:37:3f:23,319340677,web-02.ritter.org,Slowakei,DE,15:40:57,Latvian
Europe/Warsaw,-45.610364,"83,14 €",Graf,2006-10-11 23:41:02,yue,2003-10-24,77.543858,2012-06-16T03:02:22,einige.png,1e:9e:5b:d5:d1:1d,566579043,srv-44.etzold.de,Kirgisistan,DE,15:42:57,Inuktitut
Africa/Freetown,41.929619,"8,74 €",Röhrdanz Davids AG,1995-04-07 16:07:17,bo,1986-07-28,-116.299871,1994-02-08T05:26:29,dort.odp,70:c0:99:74:a2:4d,61,db-84.koch.org,Griechenland,DE,03:56:01,Nauru
Africa/Mbabane,-62.485398,"73,20 €",Dietz KG,2007-03-23 17:51:27,id,1970-06-14,78.797633,2017-10-13T02:24:07,können.wav,d0:fb:f1:6c:ff:66,64,lt-00.doering.de,Anguilla,DE,16:04:33,Zhuang
Asia/Jayapura,-27.245977,"162,14 €",Christoph Reising GbR,2016-02-02 20:08:09,nhn,1988-04-25,15.843536,2023-01-04T21:35:38,Geld.wav,3f:f5:1b:6c:8e:0b,0,email-21.wilms.com,China,DE,22:35:18,Akan
Asia/Seoul,56.656371,"233,18 €",Hänel Mühle GmbH,2003-12-29 02:09:07,ga,1993-03-13,-1.507677,1999-11-23T03:53:11,allein.html,27:b4:31:4e:70:e4,24,desktop-36.putz.de,Paraguay,DE,15:52:53,Swahili
