mac_address,hostname,file_name,latitude,city,date,pricetag,timezone
23:6a:d5:a2:53:06,desktop-54.loeffler.net,gern.csv,-36.3261275,Bad Kissingen,2004-09-15,"71,90 €",Pacific/Tongatapu
13:ab:3b:d3:ec:30,email-27.krein.com,und.jpeg,50.7852415,Meppen,1977-01-19,"9,46 €",Asia/Chongqing
c9:4e:f3:32:20:25,lt-96.mende.com,Affe.mp3,-88.893797,Bruchsal,1978-05-05,"68,32 €",Europe/Riga
af:5a:76:11:a8:52,lt-20.beer.org,kurz.numbers,18.7390935,Wittstock,1973-01-07,"98,10 €",Europe/Copenhagen
bd:5e:48:58:11:98,db-97.krause.de,Schwester.bmp,74.210335,Schwandorf,1989-07-26,"731,01 €",Africa/Lome
a2:c2:c0:f8:12:9f,email-13.haering.com,Hund.html,64.8529835,Pirmasens,2010-01-05,"39,36 €",Africa/Dakar
03:d9:3c:52:ce:d7,desktop-59.froehlich.org,neun.css,84.859721,Donaueschingen,1992-03-06,"65,74 €",Indian/Comoro
84:d8:64:cd:6b:42,db-87.beer.com,aber.flac,50.963301,Erfurt,2023-01-10,"914,47 €",Africa/Mbabane
c9:d1:3f:88:bb:25,laptop-34.reuter.com,reich.tiff,-28.766706,Delitzsch,1996-09-22,"85,12 €",America/Port_of_Spain
cb:60:50:1d:7f:33,desktop-92.noack.de,fünf.ods,-53.536260,Schleiz,2002-07-24,"9.066,43 €",America/Paramaribo
17:e3:08:92:77:df,lt-35.etzold.net,ganz.avi,-57.699751,Ochsenfurt,1977-12-15,"699,96 €",America/Noronha
72:91:61:6c:66:41,email-73.seip.com,versuchen.mp4,77.709016,Arnstadt,1985-05-02,"67.279,45 €",Europe/Brussels
d1:31:e5:78:e8:97,laptop-76.pohl.de,zwischen.odp,-54.0700885,Einbeck,2019-05-18,"10.635,06 €",Europe/Lisbon
b0:f8:31:48:31:32,email-79.holt.com,das.pptx,-6.439478,Bernburg,1996-10-30,"9.407,25 €",Asia/Tbilisi
00:3e:9d:94:57:17,db-09.kobelt.de,müssen.key,-52.4041295,Hersbruck,1973-11-27,"454,97 €",Europe/San_Marino
f0:d6:4c:b6:08:0b,desktop-52.fechner.net,werfen.mp4,10.1495685,Auerbach,1970-08-18,"33,39 €",America/Tegucigalpa
c5:27:8f:b4:c5:7d,web-37.jaehn.net,ließ.jpg,73.647727,Olpe,2022-06-09,"0,37 €",America/Paramaribo
23:ed:b8:46:2a:7b,srv-95.hendriks.de,glauben.bmp,-0.2958455,Crailsheim,1984-05-07,"39.646,78 €",Europe/Vatican
59:99:ce:cd:7f:24,db-52.neuschaefer.de,nichts.webm,36.4927305,Kehl,2005-07-28,"7,86 €",America/Guatemala
ac:6a:3c:c5:52:3c,web-74.lindner.com,leicht.webm,-3.8049055,Stadtsteinach,1999-08-20,"115,02 €",Pacific/Efate
cc:f9:e7:78:6b:8e,lt-86.kroker.com,Licht.txt,-89.5499135,Oschatz,1970-09-18,"7.779,82 €",Africa/Lubumbashi
1a:08:47:5b:e8:87,desktop-22.kobelt.net,trinken.xls,-10.2079515,Wanzleben,1977-01-16,"3,93 €",Europe/Andorra
85:38:0f:35:47:be,email-33.weihmann.de,hängen.mov,2.8215475,Wolfach,1979-01-26,"7.625,15 €",Indian/Mahe
14:43:f6:10:dd:38,db-22.saeuberlich.de,sieht.wav,-12.707257,Soest,2001-03-26,"89.543,18 €",America/Nassau
de:91:27:e6:18:57,srv-29.hecker.de,Beispiel.mov,20.8093115,Hamburg,2003-10-15,"34,94 €",America/Tegucigalpa
41:fb:2a:c6:52:1b,laptop-82.otto.com,daran.key,67.8684955,Luckau,1983-09-19,"93.731,25 €",America/Havana
d3:b5:df:85:cb:cb,lt-37.soeding.de,immer.tiff,12.4834305,Mayen,1972-01-10,"5,71 €",America/Antigua
d5:62:82:17:8a:ac,srv-70.langern.de,mal.doc,-64.6504545,Schwäbisch Gmünd,2013-06-04,"2,84 €",Asia/Dili
3a:51:4e:d3:93:f7,db-16.barkholz.de,daran.json,73.909478,Lobenstein,1988-01-11,"83.786,09 €",Asia/Phnom_Penh
3c:65:9a:f3:73:49,lt-22.scheibe.net,wohnen.numbers,38.034195,Schwandorf,2005-01-21,"52,66 €",Africa/Porto-Novo
72:5f:76:42:54:c7,db-49.foerster.net,letzte.txt,40.246122,Beilngries,2001-02-11,"65,44 €",America/Blanc-Sablon
e8:f9:2c:36:53:92,lt-26.trueb.de,sprechen.json,71.7853525,Witzenhausen,1972-09-06,"50,37 €",Africa/Dar_es_Salaam
95:28:9c:38:40:7f,email-59.geisel.com,Schule.json,41.921309,Eilenburg,1988-10-04,"547,05 €",Africa/Niamey
2e:c6:95:de:2a:ae,web-61.riehl.org,Herz.wav,57.6299675,Gräfenhainichen,2008-10-02,"42.256,56 €",America/Grenada
31:7c:53:b8:7c:53,email-15.hofmann.net,verstecken.csv,29.839619,Wesel,2023-03-11,"624,87 €",Africa/Luanda
37:68:ee:0d:f0:f3,desktop-14.schweitzer.de,Arzt.js,19.6221455,Konstanz,2020-10-10,"10,93 €",America/St_Kitts
72:ae:51:89:79:25,lt-85.noack.org,Auto.avi,-63.682434,Chemnitz,1987-11-02,"64.516,65 €",Asia/Ashgabat
34:bb:89:49:9e:c2,web-49.muehle.org,seit.jpeg,-1.617462,München,1998-11-01,"71.061,03 €",Asia/Singapore
19:2b:5c:4c:ea:fe,desktop-37.benthin.de,wieder.jpg,39.868804,Schmölln,2021-05-13,"48.221,81 €",Europe/London
79:55:fb:f3:19:61,web-81.mohaupt.net,zwischen.wav,87.1153595,Bad Freienwalde,1994-08-17,"71,65 €",Pacific/Kosrae
30:b6:f7:e1:ef:59,db-12.wilmsen.net,fragen.xls,27.811739,Wernigerode,1972-08-19,"29.362,74 €",America/Belize
f7:09:94:3a:37:95,srv-77.klapp.com,Mensch.xls,79.3533865,Neubrandenburg,1985-04-16,"97.827,34 €",Asia/Manila
c5:86:a7:06:16:12,srv-66.conradi.net,Monat.jpeg,-87.7232075,Hannover,1982-02-16,"5.040,94 €",Pacific/Efate
68:4e:5f:fc:ea:45,db-37.gumprich.de,früh.css,-38.6770375,Stade,1982-09-01,"69,12 €",America/Barbados
49:93:3a:b5:9b:55,desktop-99.otto.de,Haare.mp4,57.9064535,Sömmerda,2001-10-02,"2,49 €",Asia/Ashgabat
15:ee:c7:5e:cb:08,email-75.hecker.com,schon.webm,-55.3712345,Marienberg,1989-06-05,"49.226,34 €",Pacific/Guadalcanal
a9:19:f7:a2:90:a3,web-77.girschner.com,nass.webm,-25.9798665,Deggendorf,1975-05-06,"663,45 €",Asia/Colombo
98:14:dd:ca:6e:8b,desktop-59.koch.de,Glas.wav,79.342132,Emmendingen,1971-09-22,"3.253,56 €",Africa/Kinshasa
79:fc:c4:da:cc:c0,laptop-52.paffrath.net,nicht.gif,48.797903,Plauen,2012-05-17,"357,13 €",Africa/Khartoum
35:d6:57:65:b5:3f,srv-58.ackermann.de,leicht.mp3,-30.993879,Neunburg vorm Wald,1972-02-06,"5,73 €",Africa/Porto-Novo
41:4c:a7:f5:d9:1b,laptop-34.bolzmann.de,Leute.mp3,-28.5269215,Siegen,2013-01-05,"27,58 €",Pacific/Efate
47:94:5d:7d:51:08,desktop-23.wieloch.de,oben.mov,11.202570,Artern,2013-07-06,"4.182,91 €",Europe/Skopje
82:b6:b9:75:54:77,srv-79.roehrdanz.com,öffnen.key,30.976494,Stade,2020-07-02,"778,01 €",Europe/Istanbul
