mac_address,language_name,iso8601,file_name,hostname,bank_country,country,time,date_time,pricetag,timezone,longitude,date,city,random_number,language_code,company,latitude
ff:59:ef:f4:23:b9,Hindi,2015-12-21T03:18:51,Schwester.gif,email-40.poelitz.com,DE,Litauen,13:01:46,1979-05-23 04:08:44,"0,22 €",Asia/Tehran,-97.416020,2013-01-12,Bad Mergentheim,108124112,lg,Renner,-36.726319
a1:cb:51:40:e1:eb,Bihari languages,2012-10-21T14:19:17,neben.bmp,db-07.hornich.org,DE,Pakistan,05:36:33,1986-10-18 14:23:24,"8.855,98 €",Pacific/Nauru,53.756774,1979-01-06,Freudenstadt,4,ti,Hartung,51.7041375
df:7a:88:35:51:62,Tamil,2014-07-10T03:10:40,sechs.json,web-38.hauffer.com,DE,Bouvetinsel,06:39:07,2011-02-03 14:26:32,"66.012,05 €",Africa/Blantyre,-19.018995,1985-11-13,Starnberg,98430009,sc,Faust Eigenwillig AG & Co. KG,19.7691445
eb:9f:38:8d:e8:4e,Macedonian,1975-03-21T16:49:58,bin.jpeg,laptop-42.stiebitz.com,DE,Afghanistan,11:23:35,1978-08-20 02:08:36,"256,03 €",Pacific/Kwajalein,3.015440,2022-03-23,Illertissen,172326,gl,Gröttner Franke GmbH,-83.0947535
61:96:62:6c:c0:ff,Greek,1973-06-14T06:58:58,steigen.mov,lt-54.heidrich.de,DE,Libanon,15:48:18,1978-06-20 06:33:42,"80.924,76 €",Africa/Johannesburg,64.874362,1993-06-20,Rottweil,12,bs,Höfig Sager GmbH & Co. KGaA,38.133619
9b:6c:37:72:7c:4a,Interlingua,2010-01-28T10:00:37,gegen.jpg,db-43.heydrich.net,DE,Guadeloupe,13:18:19,2006-01-12 04:21:19,"248,28 €",Asia/Tashkent,-122.516839,1980-07-30,Göppingen,3715271,ml,Schuchhardt,42.4508555
c9:02:30:44:5d:ba,Urdu,1990-08-11T10:16:02,Freude.js,srv-50.geissler.net,DE,Vietnam,14:32:37,2018-04-09 17:41:26,"4.579,20 €",Indian/Antananarivo,-150.008744,1979-08-24,Siegen,6797215,gl,Barkholz Herrmann GmbH,-63.5771245
e0:a9:26:35:38:25,Tsonga,1971-02-03T13:28:38,aber.flac,db-03.mentzel.net,DE,Republik Korea,23:44:45,1997-11-07 22:52:25,"9,37 €",Indian/Comoro,123.354826,2006-12-17,Biedenkopf,97293,li,Hesse,26.8979525
9d:50:68:ad:11:d2,Tibetan,2007-05-21T15:16:23,was.js,lt-47.hess.com,DE,Äußeres Ozeanien,18:18:20,1987-02-14 02:02:24,"25.698,45 €",Europe/Athens,-55.806154,1992-03-16,Stollberg,923847,kl,Ehlert,-29.0652945
90:fe:53:58:66:a7,Oriya,1982-02-06T13:08:39,alt.odt,desktop-42.austermuehle.net,DE,Nauru,22:16:27,2007-09-29 01:00:10,"11.272,07 €",America/Havana,3.872788,2007-12-20,Lüdenscheid,7317,az,Lange Heydrich AG,-59.1592925
