date_time,pricetag,timezone,date,random_number
1977-03-08 06:26:18,$7.36,Atlantic/Reykjavik,1986-11-30,9608
2004-11-29 14:30:07,$4.55,America/Antigua,2013-05-08,77443109
2018-07-23 20:45:52,$0.12,Asia/Bahrain,2011-09-30,8475
1992-06-22 23:28:16,"$91,756.12",Europe/Budapest,1972-03-19,29
2018-06-28 07:25:55,$411.49,Africa/Libreville,1970-10-01,682008458
2019-10-09 05:46:21,"$52,550.46",America/Nassau,1976-10-31,0
2013-03-11 15:49:52,$97.96,America/St_Vincent,2008-04-02,976605
1971-08-23 10:06:48,"$99,512.19",Pacific/Tongatapu,1970-09-03,169224256
2012-05-05 02:53:13,$718.91,Asia/Karachi,2022-07-18,85387
1972-06-08 00:27:50,$79.22,America/Guatemala,2007-03-04,824
2002-02-04 22:40:53,"$26,419.50",Asia/Ulaanbaatar,1998-12-11,918206
1976-10-04 21:29:12,$8.74,America/Guyana,1980-03-31,6026303
1999-10-01 07:53:11,$88.18,America/Costa_Rica,1973-06-10,362
1974-12-15 09:37:36,$1.70,Asia/Dubai,1993-08-02,7354
1974-02-02 19:39:46,$97.95,Africa/Dakar,1983-02-15,6369
1984-01-03 01:41:46,$39.98,Asia/Aden,1987-02-18,722151
2018-03-23 06:22:31,$7.76,America/Nassau,1972-06-28,375
1986-04-17 19:45:37,"$48,793.84",Africa/Douala,1973-05-08,3
1998-12-23 12:28:37,$417.16,Africa/Blantyre,1989-09-26,4469944
2010-09-29 19:15:13,"$2,971.35",Africa/Nairobi,2004-08-19,246
2012-09-30 08:19:58,$26.67,Pacific/Apia,1991-11-20,80
2003-05-21 20:04:32,$27.75,Africa/Malabo,1970-09-21,123
2001-11-17 04:18:41,$6.11,Europe/San_Marino,2019-08-20,746
1986-09-22 13:40:05,"$9,246.61",Asia/Taipei,2008-05-25,44641324
2002-08-20 06:50:39,"$5,667.82",Pacific/Efate,1970-01-03,98776
2023-03-19 22:02:53,"$3,427.29",Atlantic/Reykjavik,1976-02-25,729577
2013-03-03 06:38:43,"$21,367.11",Africa/Cairo,2003-11-05,2556
1994-06-22 03:40:06,"$66,296.05",Asia/Kabul,2004-05-27,56847892
1995-11-04 03:00:20,$669.88,Africa/Kinshasa,2013-01-30,21361941
1994-02-23 16:58:01,$1.13,Europe/Amsterdam,1982-03-18,8116
2000-08-06 07:23:09,$248.98,Australia/Darwin,2014-06-11,28319892
1985-01-17 05:09:42,$4.24,America/Cuiaba,1983-01-12,552143349
2020-10-19 16:51:30,$392.80,Asia/Dhaka,1981-10-27,36
2013-01-27 03:11:12,$49.69,Asia/Kabul,1981-05-19,29
2003-04-15 21:40:09,"$69,090.95",Europe/Dublin,1986-01-29,80600936
2008-06-01 12:15:09,"$65,352.30",Europe/Chisinau,1974-09-04,19204471
1981-06-01 11:52:29,$46.13,Pacific/Port_Moresby,1999-08-28,4
1999-11-05 05:21:19,"$4,905.29",Asia/Aden,1983-07-23,31304
1995-12-18 11:35:33,$81.20,Indian/Maldives,1997-08-19,82747
2021-07-24 17:07:18,$2.56,Europe/Amsterdam,1983-07-23,40
1985-12-16 09:11:15,"$1,806.76",Atlantic/Canary,1992-10-31,544832968
2018-11-16 02:07:39,"$4,204.48",America/Dominica,1982-04-27,335118636
1971-07-20 07:42:40,"$66,563.34",America/El_Salvador,2017-01-30,247261
1971-02-16 04:31:35,$8.98,Asia/Dushanbe,2018-07-11,86912
2003-01-21 09:30:20,$57.69,Africa/Sao_Tome,2014-03-23,577849
1987-11-08 22:31:53,$2.45,Europe/Chisinau,2014-07-24,405
2001-02-23 00:39:54,$829.19,Asia/Ashgabat,1998-09-20,209973202
2005-10-19 18:05:31,$398.94,Asia/Jerusalem,2008-11-15,43
1983-02-04 12:55:21,$516.12,Africa/Tunis,2000-01-11,54545152
2018-10-09 18:35:17,$27.43,Africa/Addis_Ababa,1991-01-09,3641
2011-06-30 16:36:23,"$6,228.69",Asia/Brunei,2011-10-09,439
1979-08-28 11:48:21,"$5,242.90",Africa/Ouagadougou,2013-09-21,9694
2010-11-20 03:14:13,$6.63,Asia/Seoul,1998-12-29,5
2015-01-21 11:19:17,"$3,674.33",Europe/Minsk,1992-08-19,9864148
2006-10-13 05:54:04,$463.02,Europe/Paris,1984-09-27,773791
1996-02-01 09:28:33,"$8,831.67",Asia/Pyongyang,2007-10-16,0
1989-03-28 08:28:53,$29.89,Europe/Istanbul,1986-08-13,5843776
1970-01-06 02:42:03,$330.04,Pacific/Truk,2015-01-29,516655
1982-04-13 12:42:27,"$2,153.51",Asia/Singapore,1978-12-08,854
2010-02-06 14:43:14,"$8,043.44",America/Argentina/Jujuy,1983-01-07,1
2017-10-25 20:31:44,"$47,554.20",America/Jamaica,2000-08-13,221
2022-03-11 15:14:07,"$9,552.77",Europe/Berlin,2023-06-09,8
2016-03-06 10:45:59,$1.93,America/Montevideo,1985-09-26,6508
2016-11-09 12:30:01,"$58,313.71",Australia/Currie,2006-09-14,6787218
1990-12-01 04:06:44,$34.97,Africa/Blantyre,2015-09-06,0
1986-03-06 16:56:25,$48.86,Asia/Beirut,1982-12-06,3910
2009-06-01 23:22:35,$776.92,Indian/Maldives,2021-02-05,7044332
2002-09-03 16:07:59,$917.78,Africa/Maseru,1994-12-01,57716
1974-03-15 00:17:51,"$3,674.63",Europe/Ljubljana,1995-05-05,42
2001-01-29 02:36:35,$3.21,Europe/Skopje,1995-02-27,35
2014-06-09 14:08:18,"$3,666.14",Africa/Bangui,2014-04-20,66342
1990-06-11 14:30:10,"$6,033.16",Europe/London,1984-12-14,9066264
2014-12-22 00:01:55,$925.80,Europe/Istanbul,2004-04-26,676
1980-06-20 19:05:07,"$2,235.01",Europe/Chisinau,1985-06-19,4
2001-06-15 15:58:48,$45.65,Asia/Jerusalem,1992-08-02,97
1990-07-10 06:22:39,$2.88,America/Araguaina,1981-09-27,297367
2001-08-31 19:02:13,$784.13,Asia/Katmandu,1987-08-02,10862
2008-03-28 23:52:10,"$3,944.58",Africa/Freetown,2016-06-15,1
1981-12-13 21:48:45,"$1,890.94",Europe/Berlin,1977-05-31,22623
1988-06-17 18:32:53,$6.35,Asia/Colombo,1978-10-30,1127787
1994-10-11 18:26:32,"$1,932.78",Asia/Singapore,1990-10-12,7
1984-11-01 19:40:56,$425.31,America/St_Lucia,1978-11-08,374991
2000-01-19 01:14:11,$1.26,Asia/Magadan,2020-11-10,5464
1981-05-24 00:43:23,$51.65,Europe/Stockholm,1997-03-15,57
2018-10-26 14:52:22,$324.52,Africa/Khartoum,1984-05-15,701904
1983-02-13 18:21:53,$7.26,Africa/Brazzaville,1986-04-28,366
1980-10-08 21:45:35,"$6,434.63",Asia/Dubai,1982-12-20,717743
1997-05-24 17:02:47,$59.11,Africa/Freetown,1985-05-21,2876825
2014-07-22 18:31:46,$3.19,Europe/Sofia,1976-05-31,674123
1988-12-08 00:54:01,$5.64,Africa/Banjul,1970-03-09,474151469
1981-11-16 19:04:46,$0.27,Indian/Mahe,2015-06-29,5633
2004-04-28 03:08:25,$50.70,Africa/Accra,2020-06-10,88
2004-01-29 15:09:05,$10.99,Pacific/Fiji,2006-12-13,70
2013-06-19 19:24:41,$0.79,America/Santo_Domingo,1999-04-27,713284
2009-01-21 06:15:15,$75.24,Asia/Tehran,1997-01-04,2
1990-12-22 09:08:45,$2.41,America/Dominica,2022-12-27,104282
2009-10-23 15:31:45,"$77,049.32",Asia/Phnom_Penh,1978-01-25,776
2014-01-18 12:35:28,$7.96,Europe/Madrid,1988-07-01,665136
2011-04-22 11:58:15,$16.75,Pacific/Fiji,2018-02-08,5889
1981-08-18 12:13:53,"$1,260.02",Africa/Tunis,1999-11-28,220
2007-04-13 18:52:27,$433.29,Africa/Monrovia,2007-06-20,138113
1980-09-14 21:54:45,$3.79,Pacific/Port_Moresby,2011-02-20,56
1982-09-29 17:20:47,$124.12,Africa/Lusaka,2014-07-09,11980
2020-05-29 15:17:24,"$9,285.88",America/Barbados,1987-01-23,49997125
2002-09-02 00:38:12,$76.09,Africa/Luanda,2020-09-13,97523604
1987-10-02 08:09:57,$19.88,Pacific/Galapagos,1996-03-24,22168108
2005-02-27 06:09:42,$6.66,Pacific/Efate,2009-10-03,72301201
1978-11-28 00:05:02,"$40,614.35",America/Paramaribo,2007-02-22,3351
2009-11-03 07:18:48,"$9,421.13",America/Nassau,1971-09-08,6499
1982-09-23 22:13:05,$375.41,Europe/Budapest,2005-01-27,4
1979-09-23 00:57:42,$9.68,Europe/Athens,1981-11-14,42
1997-04-28 20:28:48,"$50,232.41",America/Barbados,1985-01-19,804727
1972-05-07 18:38:12,$0.60,Africa/Kigali,2003-04-07,91
1976-09-01 00:51:49,"$2,550.80",Europe/London,1983-02-17,881017
1989-04-02 16:01:44,$436.79,Asia/Gaza,2010-05-11,835083
1997-07-15 01:48:36,$7.87,America/Havana,2010-11-17,136
1992-12-19 02:26:47,"$9,340.37",Europe/London,2000-06-27,723311
2020-02-01 15:23:31,"$86,532.11",Pacific/Guadalcanal,1978-08-31,6050268
2003-04-24 17:58:55,$29.73,Africa/Maputo,2007-02-27,80610
1993-12-26 14:17:43,$4.93,Asia/Kashgar,1987-04-20,129644
2011-02-18 15:22:21,"$31,329.99",Africa/Douala,2007-01-20,896144170
1978-05-15 18:50:43,"$54,982.65",Asia/Manila,1999-07-02,1450845
1989-09-10 12:41:34,$943.78,Europe/Malta,1982-08-30,6206663
2015-10-26 03:32:24,$39.58,Africa/Dakar,2017-02-15,39
1971-01-15 04:16:36,"$9,118.58",Europe/Copenhagen,1970-06-03,2997348
2018-04-27 02:26:55,$737.20,America/Nassau,2015-11-05,4900
