city,random_number,hostname,pricetag,bank_country,latitude,date,timezone,country,mac_address,iso8601,longitude,file_name,language_name,language_code,company,time
Smithstad,18161,lt-86.wall-sims.com,"$53,392.08",GB,-84.982919,1974-12-05,Pacific/Fiji,South Georgia and the South Sandwich Islands,31:e3:1f:e1:78:89,1993-01-04T20:31:47,130.634399,optio.mp3,Malagasy,oc,Young Group,11:07:20
Walkerburgh,6988358,email-91.norman.com,"$6,466.16",GB,-38.4308055,1973-04-04,America/Guyana,British Virgin Islands,ca:dd:3b:68:96:7f,2008-01-12T04:51:56,13.409401,accusantium.js,Bihari languages,zh,Davies Ltd,18:46:08
Evansfort,1,db-79.kennedy-evans.com,"$49,637.90",GB,22.941626,1986-10-06,Asia/Almaty,Canada,e5:f8:7b:cd:db:7a,1974-04-02T12:38:04,132.878011,soluta.mp3,Urdu,tn,"Hamilton, Morris and Arnold",08:44:22
Fionaport,504757,desktop-83.gordon.biz,$31.59,GB,-47.7996335,1977-04-06,Africa/Mogadishu,Timor-Leste,e8:5e:43:3a:b4:40,2017-07-21T23:54:16,-134.403553,et.mp3,Yoruba,af,Howard-Hewitt,15:27:13
North Christinemouth,608,lt-38.joyce-hudson.com,"$6,032.68",GB,-1.5366795,2013-02-07,Pacific/Nauru,Qatar,4a:f2:0c:9a:1e:72,1993-11-10T23:30:41,23.704256,nobis.odp,Irish,ru,"Stewart, Taylor and Barry",02:01:11
North Toby,1,srv-34.little.net,"$3,250.13",GB,39.597527,1986-10-01,Africa/Tripoli,British Indian Ocean Territory (Chagos Archipelago),12:bc:3b:37:2b:29,1989-11-24T06:46:22,91.341344,fuga.wav,Tsonga,it,Rose Inc,23:11:59
Port Craig,461694,email-68.williams.com,$28.82,GB,42.2793835,1998-04-17,Africa/Blantyre,Guam,eb:ae:97:1c:90:11,2009-03-17T15:24:34,-64.041571,id.mp3,Marshallese,or,"Moore, Lees and Osborne",16:58:00
Lynnechester,391554,email-95.adams-carpenter.org,$8.31,GB,9.4315755,2014-12-28,Europe/Monaco,Poland,e2:07:f9:cd:95:36,1974-05-25T08:02:52,68.276905,rem.webm,French,sc,Wood PLC,11:59:08
Lake Georgia,930898489,laptop-46.jenkins-ahmed.com,$623.88,GB,-75.467219,1991-12-16,America/St_Vincent,Tokelau,fc:0d:71:46:8b:3b,2010-10-03T05:19:36,11.528790,consequatur.avi,Gaelic,raj,"Thomas, Gardner and Heath",01:45:59
Port Ellie,461,srv-37.macdonald.biz,$687.56,GB,2.442808,2000-05-23,Africa/Casablanca,Jordan,e5:f5:10:b4:58:a0,1991-07-16T16:59:53,-32.549632,minus.odp,Central Khmer,tn,Roberts-Crawford,09:10:29
