date,city,pricetag,date_time,hostname,iso8601,timezone,file_name,bank_country,latitude,mac_address,language_code,time
1998-06-29,Deggendorf,"40,96 €",1988-01-21 14:02:25,web-12.kruschwitz.de,2000-12-14T20:38:09,Africa/Ndjamena,nämlich.mp4,DE,38.4884885,a5:51:35:90:d1:35,fy,05:55:23
2023-01-12,Burgdorf,"33,45 €",1999-12-09 00:17:51,db-02.kobelt.de,2007-01-06T17:48:40,America/Costa_Rica,nehmen.pdf,DE,22.305806,71:d6:ad:ff:c4:47,csb,17:30:29
1985-07-14,Grafenau,"8,21 €",2003-06-15 15:37:20,email-62.kreusel.de,2001-08-13T19:34:48,Asia/Amman,plötzlich.wav,DE,52.0929875,62:22:a1:84:11:78,ko,17:26:09
1972-12-24,Suhl,"84.924,84 €",2021-01-28 11:54:53,email-53.koehler.com,2019-11-18T05:08:51,Africa/Djibouti,Tag.jpeg,DE,75.1321235,af:b8:a5:00:da:f3,byn,02:08:16
2012-10-13,Vechta,"3,71 €",2015-04-08 21:06:18,db-77.doehn.de,1982-09-11T03:28:12,Asia/Damascus,fahren.mov,DE,85.717185,3c:8d:14:00:d3:d9,bho,18:24:11
1972-03-03,Cuxhaven,"463,07 €",1986-05-23 16:22:28,email-85.fiebig.org,2006-08-11T02:54:38,Pacific/Nauru,klettern.png,DE,51.187318,bf:ec:84:b9:4e:51,nso,15:21:31
2004-12-22,Düren,"2,97 €",1974-08-03 06:22:40,db-28.raedel.net,1988-01-19T06:42:26,Asia/Urumqi,wie.mp4,DE,81.5845205,12:02:c5:e5:f5:5a,af,04:17:07
2014-07-09,Herford,"1.733,70 €",2004-07-03 09:41:48,laptop-65.geisler.de,1972-05-16T03:06:16,Asia/Oral,schwarz.pdf,DE,-61.4959515,72:58:57:db:ed:de,ts,08:47:26
1974-05-29,Zossen,"2.750,46 €",1993-09-14 08:25:48,srv-68.eberth.de,1986-02-11T16:21:17,Indian/Mahe,ob.png,DE,27.6749715,55:89:5c:ae:49:6a,gez,10:23:43
1998-05-31,Güstrow,"18,76 €",2003-11-26 01:31:12,desktop-79.atzler.de,1992-09-21T06:03:56,Africa/Niamey,sehen.jpeg,DE,-62.7470135,fe:21:5b:58:4a:3c,ve,07:16:05
1995-09-04,Vechta,"52.119,97 €",2007-07-08 09:10:56,db-36.stiebitz.de,2019-09-10T04:43:36,Africa/Gaborone,setzen.flac,DE,-56.3176965,55:59:b2:da:ff:ca,my,02:20:06
2023-01-06,Witzenhausen,"10.047,17 €",2014-07-07 23:08:52,desktop-08.binner.com,1978-07-13T02:24:28,Europe/Warsaw,liegen.wav,DE,16.503518,5c:08:b5:1d:9b:d6,fi,12:57:13
1978-02-21,Bad Kreuznach,"63.177,07 €",2021-10-16 10:54:13,laptop-18.bruder.com,1983-09-23T00:09:54,Africa/Windhoek,reiten.mp3,DE,-36.1376655,3c:28:45:b0:24:86,ts,01:16:15
1988-10-29,Husum,"6.804,97 €",2017-12-04 05:21:48,web-91.stiffel.de,1995-11-14T10:43:33,Europe/Oslo,dich.avi,DE,-11.9475365,d2:a5:61:ab:62:e4,wae,20:19:28
2009-12-18,Rosenheim,"64,12 €",1993-04-16 16:46:17,srv-51.ullrich.net,2016-02-04T02:48:55,Africa/Ouagadougou,Herr.flac,DE,69.158818,e4:d3:70:ee:b0:51,hu,11:32:20
2014-01-12,Bad Kreuznach,"5,12 €",1995-03-13 21:54:47,web-93.drub.net,1976-06-23T16:46:00,Africa/Lagos,ins.json,DE,-66.789089,c1:6c:ea:19:5a:13,mn,23:05:08
1997-12-30,Konstanz,"50,71 €",1983-06-09 23:38:43,laptop-88.reinhardt.com,1987-11-26T15:19:59,Asia/Colombo,Fuß.pages,DE,45.832935,18:af:d0:05:dd:c8,mhr,08:14:19
2020-11-26,Waldmünchen,"757,10 €",1977-01-14 21:16:46,email-29.loeffler.de,2000-04-11T05:56:25,Europe/Minsk,bringen.wav,DE,-21.588295,a1:92:73:00:e3:f0,mi,22:56:01
2012-07-05,Bergzabern,"71.926,36 €",1999-07-26 18:51:18,lt-20.dobes.org,2019-10-03T08:49:55,America/Port_of_Spain,böse.wav,DE,0.233514,28:d6:67:6d:8e:86,hr,02:56:27
1979-09-05,Bernburg,"5,21 €",2002-05-22 21:20:48,laptop-55.rohleder.de,1995-07-18T06:07:39,Africa/Douala,Junge.css,DE,63.0091325,18:3b:47:7a:4d:f0,ve,00:47:43
2017-03-25,Hünfeld,"19,65 €",2019-07-31 15:26:25,laptop-79.kuehnert.com,2015-08-02T23:55:35,Asia/Kashgar,warten.gif,DE,-33.7993805,7d:e7:ab:44:ad:6b,ca,09:52:31
1972-07-27,Husum,"71,85 €",1971-08-23 07:47:56,desktop-42.bolander.com,2002-04-03T00:48:02,America/La_Paz,zehn.jpg,DE,72.9247725,c0:46:9b:30:18:f3,az,03:55:55
1973-12-21,Hohenmölsen,"45.620,97 €",1998-05-03 21:50:33,email-90.ritter.com,1978-02-20T23:04:53,America/Indiana/Petersburg,es.bmp,DE,-83.0912515,29:55:14:47:ad:8e,lg,17:14:43
2022-09-06,Rostock,"904,67 €",2018-06-14 16:14:53,laptop-72.zahn.de,2007-12-05T08:00:25,Asia/Calcutta,das.flac,DE,10.755579,fb:4b:cc:93:cb:b5,ln,08:01:15
1977-12-08,Mainburg,"3.375,63 €",1998-12-07 03:00:21,email-34.baerer.de,2016-05-19T10:53:47,Asia/Kabul,Finger.jpeg,DE,34.864224,4a:2b:de:e7:d9:8c,da,17:41:25
2020-08-27,Passau,"456,27 €",2003-01-27 01:27:53,laptop-64.gorlitz.net,2016-11-02T02:38:55,Africa/Windhoek,acht.flac,DE,-27.245928,1c:22:6d:1b:0d:5d,bs,23:01:25
2006-04-26,Kehl,"7.088,30 €",1977-08-17 05:02:15,laptop-32.zahn.com,2011-10-06T23:01:12,America/Guayaquil,Uhr.flac,DE,-81.0456805,6e:9c:d4:3c:78:af,om,17:45:53
1993-06-20,Hansestadttralsund,"96,74 €",2002-05-01 01:22:21,desktop-13.sontag.de,1990-04-19T14:15:41,Asia/Kashgar,Wort.txt,DE,79.7423295,dd:1d:b1:f4:0c:02,dz,22:07:11
