latitude,pricetag,hostname,random_number,timezone,language_name,date,iso8601,time,bank_country,company,mac_address,language_code,date_time
-14.734143,$3.58,lt-78.hardy.org,3854211,Europe/Helsinki,Korean,1997-10-14,1981-09-04T01:04:27,07:11:21,GB,Jones-Hussain,a8:65:46:7d:14:a2,mk,1987-10-17 18:19:32
63.505951,"$80,152.37",web-62.banks.info,2034580,Europe/Riga,Arabic,2001-09-21,2020-07-14T11:49:08,09:42:51,GB,"White, Evans and Butler",3a:fc:ba:4f:b0:82,pap,2005-06-27 06:49:51
23.9005345,"$4,405.19",laptop-07.turner.net,32474237,Africa/Johannesburg,Indonesian,2014-02-22,1994-08-29T23:51:57,19:36:44,GB,"Butler, Parker and Morris",e3:31:1a:63:12:28,byn,2018-10-26 12:51:43
46.626519,"$41,857.35",srv-08.patel.com,957,Pacific/Enderbury,Tahitian,2006-10-10,1982-05-07T18:55:48,23:56:08,GB,Wright-Singh,da:c1:13:d2:f9:88,mt,2016-11-28 21:25:24
-74.010965,"$42,409.01",srv-14.bell-jackson.co.uk,49379796,Africa/Bamako,Sardinian,1983-04-30,2010-05-02T05:35:02,08:39:01,GB,Wilkinson LLC,82:ea:42:ef:81:01,ckb,2022-11-21 20:46:42
-28.4541275,$94.04,laptop-52.spencer-hall.biz,3141683,America/Rio_Branco,Central Khmer,2015-09-13,2004-07-11T01:19:57,12:44:59,GB,Smith and Sons,f4:db:4c:14:11:7f,sw,1974-02-17 14:14:16
51.139030,"$4,446.91",web-10.white.com,175355345,Atlantic/Cape_Verde,Tamil,2021-09-20,1971-12-28T10:03:08,21:29:46,GB,"Bryant, Smith and Roberts",de:67:8c:f3:8e:72,aa,1998-04-04 06:17:07
-37.6188925,$43.64,web-36.stone.info,6314,Asia/Phnom_Penh,Zhuang,2015-03-04,2015-07-21T23:02:51,10:36:29,GB,"Naylor, Reed and Williams",bb:ce:e7:e8:93:63,tl,2016-01-19 20:29:55
-74.916589,$109.17,desktop-76.pearce-lees.net,882004310,Europe/Kaliningrad,Spanish,2017-10-31,1982-02-22T18:29:26,12:17:21,GB,Murphy-Martin,39:e4:40:0f:64:a7,uz,1986-05-15 00:12:56
17.707689,$643.26,email-63.lawson-wright.co.uk,1,Asia/Samarkand,Akan,1971-04-15,1974-03-26T06:11:58,19:42:03,GB,White-Rahman,74:e3:e8:6e:18:66,quz,1981-11-16 15:32:30
-77.1438405,$526.77,web-29.poole.biz,363382450,Pacific/Easter,Tibetan,2017-12-30,1995-05-14T01:51:47,04:58:29,GB,Clarke-Jones,c3:a6:df:6b:3d:48,ig,2006-11-01 18:20:02
34.5170825,$152.98,email-21.myers-brown.com,7,Asia/Choibalsan,Ossetian,1976-08-13,2018-03-27T15:06:50,13:23:35,GB,Clark Group,67:3e:48:fe:11:e7,wa,1979-06-30 05:39:35
-18.8834975,$8.49,web-16.adams.com,92079,Asia/Makassar,Western Frisian,1992-07-02,2009-03-05T22:32:32,10:46:26,GB,"Parkin, Hammond and Elliott",16:85:c9:f1:56:84,sid,2013-10-01 09:13:31
16.747975,"$28,364.90",desktop-09.clayton.co.uk,653927,Africa/Addis_Ababa,Finnish,2004-01-01,2004-05-05T10:52:38,18:05:17,GB,Andrews-Williams,2f:ae:cc:33:df:9c,ru,2020-10-03 19:14:06
-69.853868,$89.19,lt-24.gregory.net,376752,Asia/Phnom_Penh,Portuguese,2001-09-06,1979-05-16T22:11:22,14:27:28,GB,Griffiths-Wyatt,2d:d3:80:7b:cf:80,sc,1970-10-04 17:50:58
48.568741,$796.22,db-82.mason-phillips.com,672090487,Pacific/Tarawa,Marathi,1995-09-23,1971-06-08T20:47:45,23:12:16,GB,"Ali, Watson and Smith",7e:8f:f6:c4:68:44,iw,1981-10-20 21:02:14
79.504585,$82.86,email-10.taylor.com,1999219,Europe/Riga,Tajik,1993-09-24,2016-12-22T10:33:35,05:50:19,GB,Wallace LLC,32:83:22:70:ac:04,bho,1993-05-10 08:51:46
-25.590433,"$2,212.13",web-45.pearce.com,398114001,Asia/Amman,Czech,2018-08-09,2008-07-17T10:08:11,07:35:58,GB,Morris-Parker,fc:26:6d:d4:51:eb,lzh,2015-05-25 08:57:12
