hostname,language_name,iso8601,longitude,country,latitude,city,random_number,mac_address,company,timezone
laptop-15.young.com,Czech,1993-12-06T23:11:49,-135.199384,Guatemala,-16.788505,New Wendy,25,89:3f:a4:44:dc:29,"Bennett, Hope and Gray",Africa/Porto-Novo
web-94.hopkins.com,Yoruba,1994-01-24T05:51:42,155.925021,Turks and Caicos Islands,5.3039515,West Laura,6028956,43:db:33:2d:bc:f5,Edwards LLC,Asia/Jerusalem
srv-55.thompson.co.uk,Twi,2001-03-04T14:46:43,24.194838,Gambia,3.642931,Slaterland,8,20:4e:c7:9e:cd:4f,Dawson Ltd,Africa/Algiers
srv-62.morris.info,Ido,1978-10-07T01:57:33,98.432223,Ecuador,38.0718985,Francismouth,6,9d:2c:d7:92:b1:16,Whitehouse Inc,America/St_Lucia
laptop-31.henry.com,Xhosa,2001-04-22T11:52:00,131.113468,Saint Barthelemy,76.781669,Lake Russell,187,66:7d:f4:0e:72:8f,Chadwick-Baker,Africa/Kampala
db-99.hope-cook.net,Bislama,2005-07-20T16:34:59,-142.510464,Peru,44.5171655,Jayburgh,395450511,c5:db:8e:b7:72:42,Jones Ltd,Asia/Ashgabat
laptop-45.franklin-mellor.com,Wolof,2021-10-19T07:55:53,162.880457,Heard Island and McDonald Islands,55.6125515,Joyceside,7,d3:42:fa:b4:a3:03,Gill-Smith,Africa/Niamey
laptop-50.lloyd.org,Ewe,2016-10-04T22:02:14,83.930581,Aruba,64.023455,Jarvisport,605,a0:a8:97:06:63:d5,Potter-Matthews,Europe/Chisinau
db-48.wells-wilkinson.co.uk,Japanese,2011-04-30T01:53:08,-179.633619,Heard Island and McDonald Islands,50.407803,Harrisstad,81,00:96:ac:df:01:e3,Harris Ltd,Indian/Comoro
lt-61.bell.org,Bengali,1976-07-31T09:59:18,63.958265,Indonesia,-74.836639,Walkerborough,4159189,6f:ea:81:2a:00:45,Harper-Owen,Europe/Rome
db-49.lee.com,Kazakh,1999-06-03T12:26:56,33.822693,Jordan,-12.8928585,Newtonton,576750445,e2:03:b6:75:94:72,"Barnes, Graham and Davis",Europe/Vatican
desktop-56.davidson-green.com,Kurdish,2013-04-27T11:16:48,30.226378,Libyan Arab Jamahiriya,81.438526,New Oliviaview,435,10:2e:68:06:5f:cd,"Wright, Martin and Lee",Africa/Bangui
email-60.butcher.co.uk,Italian,2000-07-30T10:28:34,92.723515,Argentina,-18.659898,New Gerard,66,12:45:fd:91:a8:3d,Hewitt Inc,America/Lima
desktop-93.pratt.org,Danish,2005-01-11T13:25:22,26.540486,Comoros,-32.0280435,Stephenfort,149,29:c9:d8:85:63:39,Hanson Ltd,Asia/Kuwait
srv-36.payne-humphries.biz,Ewe,2014-01-06T02:25:57,-82.602388,Paraguay,-35.1612155,Reynoldston,25,7f:2f:c0:90:cb:fc,"Carey, North and Pritchard",Asia/Yerevan
laptop-90.wong.com,Romanian,1973-03-23T01:52:06,-130.480883,Lebanon,-83.889760,West Markview,706,02:2d:c5:b5:db:40,"Scott, Jarvis and Jones",Indian/Maldives
email-02.king-elliott.org,Bosnian,2000-09-19T01:31:49,113.243174,Guatemala,52.836192,Grahamview,133073,a1:61:d3:4d:e1:54,Wong-Jennings,America/La_Paz
desktop-98.turner.biz,Sinhala,1991-03-10T09:53:34,-119.214137,Mongolia,-11.684793,Lake Erictown,8874734,6a:cd:06:79:bb:b4,Myers-Parsons,Asia/Tehran
email-90.harper-ward.net,Javanese,1970-07-06T15:25:37,-49.557951,Luxembourg,-82.4304855,Lake Harrietberg,8861,84:3f:91:80:9b:31,"Oliver, Hale and Arnold",Indian/Mauritius
db-36.reynolds.com,Ganda,2023-02-22T01:01:40,81.959145,Cyprus,33.020501,Robertsside,273680,dc:ac:f0:a1:fd:b6,"Hurst, Matthews and Lynch",Africa/Kinshasa
email-00.lloyd.com,Aymara,2007-10-09T09:26:16,-125.913871,Sweden,16.1912085,North Joe,91,6a:09:d6:3e:2b:d5,"Patel, Clarke and Andrews",Asia/Karachi
laptop-50.smith-thompson.biz,Navajo,1976-08-04T15:52:15,-144.616021,Niue,42.613133,Port Lynnstad,7,97:cb:2f:69:3a:2d,Stevens-Parker,Asia/Ashgabat
desktop-81.andrews.com,Manx,2011-01-25T10:46:50,-50.246754,Israel,-11.8017005,Colinport,35003199,80:5b:45:a9:45:aa,Allen Group,Indian/Mahe
laptop-55.cooper.info,Lithuanian,1997-06-29T04:26:05,139.410486,Rwanda,-89.026561,West Dylanberg,46,68:21:b4:1a:95:55,Harris-Saunders,Asia/Calcutta
srv-96.rice.org,Polish,2004-10-07T18:06:40,85.281412,Saint Martin,23.133623,Rosstown,21577,ee:61:94:27:ca:fc,Bell Ltd,Australia/Lindeman
lt-97.morrison-dawson.com,Breton,2019-04-27T04:21:35,-178.580252,Lithuania,-41.2984885,Damianbury,16433578,6f:04:93:29:c3:c0,"Jones, Hussain and Phillips",Europe/Rome
srv-95.thompson-shaw.com,Tatar,1975-08-02T03:05:24,-113.841960,Albania,-35.329208,Karenburgh,31,e7:77:68:94:68:95,"Coles, Parker and Moran",America/La_Paz
email-91.henry.com,Indonesian,1980-05-31T02:26:46,88.577228,Isle of Man,4.7590515,Port Diana,396,f9:b0:f7:9b:1e:a5,Johnson-Ashton,Africa/Johannesburg
