bank_country,company,hostname,latitude,city,random_number,date_time,date,longitude,mac_address,language_name,country
CH,"Egli, Schumacher and Jäggi",web-15.aebi-kung.com,78.9036435,Wallisellen,31490,2004-03-16 10:04:35,1977-09-28,-55.325992,88:33:c7:2f:3e:44,Norwegian,Jamaica
CH,Lutz Group,laptop-44.battig-isler.com,-15.157366,Aesch,47282,1982-11-09 23:45:39,1996-10-30,173.709055,f9:fc:e1:92:b1:25,Rundi,Austria
CH,"Hug, Stucki and Felder",desktop-44.bolliger.biz,-48.9734955,Baden,862368079,2011-09-21 23:19:34,1995-09-07,129.139324,b6:c2:ec:ee:22:98,Danish,Bulgaria
CH,Vogt-Mayer,web-26.vogt.org,-80.661079,Gossau,6,2017-06-21 23:08:10,1992-06-16,-47.999146,cb:f6:77:ba:ba:18,Avaric,Maldives
CH,"Hunziker, Mäder and Wehrli",laptop-93.ammann.com,-58.143237,Wetzikon,847045,1987-06-02 15:36:49,1977-02-08,177.131613,3b:e8:87:89:b3:ca,"Sotho, Southern",Saudi Arabia
CH,"Wenger, Zollinger and Schneider",web-49.hasler.net,7.562398,Bassersdorf,7947737,2008-04-17 13:20:43,2023-06-10,96.610281,7d:79:50:6b:3e:e6,Turkmen,Dominican Republic
CH,Näf Group,laptop-73.schurch.biz,-26.029770,Glarus,6514,1985-09-28 14:55:55,1973-01-03,-2.685159,28:4e:87:04:a9:a9,Venda,Paraguay
CH,"Schlatter, Hofstetter and Giger",email-83.frei.com,31.5160915,Lenzburg,80550,1998-11-18 06:54:33,1994-12-15,31.506193,89:c2:f8:32:f4:de,Greek,Luxembourg
CH,"Bucher, Winkler and Weibel",srv-46.studer.org,44.2730575,Illnau-Effretikon,749857808,1976-04-07 06:06:26,1972-01-10,45.963737,7a:53:dd:30:c9:e3,Yiddish,Indonesia
CH,"Bolliger, Schweizer and Widmer",email-52.wyss.com,32.9316755,Volketswil,4,1991-07-11 00:28:14,1988-02-15,-128.300268,8e:7c:6e:90:b0:c1,Swedish,Saint Vincent and the Grenadines
CH,Gasser-Meister,email-06.jost.com,41.481731,Steinhausen,49994,1979-07-09 07:56:52,1970-01-08,-13.649069,bd:2a:f9:da:4a:45,Tajik,Niger
CH,Wenger-Wirz,db-61.bosshard-zimmermann.org,68.795661,Stäfa,4555,1999-01-27 14:09:58,1996-06-05,-148.355872,ee:50:28:47:e3:b6,Chechen,Czech Republic
CH,"Stadelmann, Vogel and Seiler",db-84.hafliger.com,52.4206655,Muri,289899,1995-06-06 03:28:22,1981-07-23,-86.247395,9b:b3:e5:98:e2:ae,Bashkir,Benin
CH,Roos Group,web-70.jost.com,-80.7051495,Muttenz,29424,1995-12-10 18:19:40,2008-10-27,-172.770250,a7:e4:fc:22:63:0b,Igbo,Moldova
CH,Arnold-Thommen,email-49.kern.org,-24.6181175,Opfikon,76256580,1985-01-21 07:03:21,1979-03-12,-103.676843,35:99:04:15:16:d0,Church Slavic,Brazil
CH,Geiger-Scherrer,laptop-87.hirt.com,37.4847725,Köniz,514,1989-02-23 07:59:27,2004-05-02,-177.769743,90:fc:8a:7a:b7:c2,Xhosa,Andorra
CH,Zbinden and Sons,email-40.zingg.com,4.1014715,Biel/Bienne,2762461,1980-10-15 08:44:02,1970-12-17,-24.499449,e8:45:a3:8b:99:d8,Icelandic,Libya
CH,Kägi LLC,lt-53.kaufmann-wirz.net,3.8530485,Uzwil,11533,1999-12-07 13:37:51,2020-01-14,39.016519,5f:82:e1:45:31:ae,Pali,Democratic Republic of the Congo
CH,Bernasconi-Walder,lt-85.lutz.com,33.588525,Binningen,673,2010-02-21 22:38:13,1976-08-24,-52.310561,06:f9:7b:9b:21:e7,Arabic,Saudi Arabia
CH,"Frick, Wehrli and Koch",db-71.favre-scharer.com,-20.939772,Arth,4398,1976-10-03 10:30:57,1985-08-02,-176.867817,41:be:a6:7d:0b:e6,Tsonga,Guinea
CH,"Hafner, Kohler and Imhof",email-69.kalin.com,-35.2948375,Einsiedeln,61315288,1971-09-24 11:48:42,1974-10-15,-45.373582,2a:3d:4e:a6:bf:6b,Xhosa,Honduras
CH,Schaller Group,desktop-45.fischer-steiger.com,31.4044115,Martigny,778220305,1983-11-27 18:44:16,1975-05-11,0.928372,1f:9b:02:ca:81:7e,Cornish,Burkina Faso
CH,"Bauer, Schneider and Lustenberger",srv-56.schaller-bachmann.com,-66.904261,Illnau-Effretikon,486040,1999-06-24 08:19:19,1988-12-18,92.446741,b0:f9:e7:8e:cd:e3,Norwegian,Tanzania
CH,Zbinden Inc,lt-49.naf-stadelmann.com,27.4433885,Risch,15375,2005-07-05 05:24:07,1976-10-19,16.969465,96:94:49:2f:31:df,Tamil,New Zealand
CH,Eugster-Bosshard,laptop-37.hunziker.org,-41.054939,Herisau,14,1978-11-21 00:23:50,2010-08-01,162.428645,da:c5:20:de:1b:9d,Japanese,El Salvador
CH,Bucher-Bär,db-79.schneider-roth.com,-20.2401865,Langenthal,541,2021-04-28 03:27:42,1975-12-24,-65.401660,69:98:7f:ed:bd:bf,Nauru,The Gambia
CH,Roth-Baumgartner,db-21.mettler.info,45.9083275,Muri,88684270,2005-12-17 21:02:56,1997-07-01,-1.008043,6c:9d:16:89:a8:2d,Thai,Indonesia
CH,"Gerber, Flückiger and Wüthrich",web-40.roth.com,-0.212269,Ostermundigen,805,2013-02-27 04:23:51,1994-02-15,-100.783859,eb:97:b4:7f:74:f6,Dutch,South Africa
CH,Blum LLC,db-91.zollinger.com,70.8334875,Grenchen,50923,1986-09-17 10:32:11,1985-03-26,-93.499337,cd:70:37:f8:d7:1d,Ewe,Palau
CH,"Forster, Michel and Jäggi",lt-62.amrein.com,-4.353219,Sitten,80,1973-08-07 04:27:38,1985-05-26,-136.068841,a5:99:dd:26:94:ac,Zulu,Lesotho
CH,Fischer-Friedli,db-87.hafner.com,-23.7396405,Ebikon,92,2017-07-29 01:33:15,1989-09-13,142.411495,0f:31:a5:a5:a4:f5,Cornish,North Korea
CH,"Mäder, Sutter and Näf",web-94.favre-vogel.com,56.251517,Oberwil,4004979,2000-04-03 21:37:03,2009-03-11,10.132176,87:27:2b:94:eb:e1,Bashkir,Algeria
