latitude,mac_address,company,pricetag,language_name,date,hostname,country,random_number,language_code,longitude,city,iso8601,date_time,timezone,bank_country
-44.564919,fb:c3:c1:39:af:ae,Cooper Ltd,$37.93,Malay,1980-11-01,email-36.bailey.com,Central African Republic,865,da,54.053397,Jessicaside,1992-11-24T10:47:05,1977-12-26 16:53:43,Asia/Dushanbe,GB
-52.6950185,ad:43:e5:04:67:20,Brown and Sons,"$95,440.28",Bambara,1985-04-15,email-36.davidson-smith.com,Argentina,8,sat,-73.811359,Stewartbury,1992-03-07T00:00:05,1981-08-16 05:00:17,Asia/Aqtau,GB
38.696257,64:5f:85:38:27:11,Talbot Inc,$0.43,Yoruba,1982-08-04,laptop-89.ford-mccarthy.com,Monaco,172,fur,-148.233379,Craighaven,1971-07-02T05:56:04,2010-06-20 08:47:51,Asia/Amman,GB
69.4339985,53:47:01:31:3f:e2,"Williams, Ellis and Gilbert","$63,835.72",Hausa,1973-03-21,db-45.murray.net,Yemen,71,fr,111.406513,Lloydborough,2021-06-16T20:36:45,2003-01-05 03:06:13,Africa/Asmera,GB
70.9660055,e2:4e:6d:ef:ca:60,Thompson Inc,"$6,112.53",Belarusian,1985-01-28,lt-36.doherty-pickering.info,Czech Republic,1343,nl,104.348376,North Gerard,2016-02-26T05:14:00,1972-01-22 06:58:02,America/Panama,GB
-84.481093,ca:58:3a:df:2b:1e,Smith Ltd,"$2,198.12",Turkish,2012-07-17,email-40.turner-davies.com,Senegal,500,gl,153.488107,Grahamchester,1996-03-25T18:20:01,1973-04-06 16:48:26,Asia/Calcutta,GB
45.925580,d2:c2:e6:f1:c8:b4,Parker PLC,"$69,423.87",Serbian,2009-09-03,db-72.simpson-hart.org,Ukraine,2,fr,47.411729,Walkerhaven,1985-06-28T10:39:49,1980-03-18 04:56:58,Europe/Athens,GB
-37.263312,13:2b:fd:78:32:64,"Powell, Lambert and Smith",$1.88,Tamil,1987-06-13,desktop-32.thompson.net,Heard Island and McDonald Islands,39454381,tg,63.421192,Lake Callumfort,2000-08-26T03:08:03,2020-03-07 05:09:24,America/Toronto,GB
-81.5173835,8b:dc:35:cf:18:78,"Jones, Marsden and Johnson","$59,891.94",Tsonga,1994-10-22,laptop-63.miller-wood.info,Lithuania,41,ca,81.207268,North Carl,1990-06-10T12:36:34,2013-06-03 09:31:02,Africa/Maseru,GB
74.2073555,73:db:b3:82:95:95,"Cartwright, Mills and Wright",$3.36,Esperanto,2021-03-05,desktop-66.myers.com,United Kingdom,2309542,oc,72.769039,Jonesberg,2004-10-13T23:07:57,1977-05-05 07:02:30,Europe/Vatican,GB
0.9793215,06:25:89:0a:a0:b0,"Kelly, Austin and Smith","$6,469.27",Kannada,2011-07-18,desktop-13.sutton-cooper.org,Costa Rica,571,mk,4.570063,East Shannonborough,1991-04-26T15:45:15,2010-02-23 05:13:37,Africa/Bujumbura,GB
-9.2534135,84:2b:6b:9b:a4:e7,"Dunn, Gray and Johnson","$88,150.34",Croatian,1973-07-18,web-42.hall.org,Russian Federation,6938,lij,143.449498,Port Bernard,1995-11-04T04:10:40,1987-10-17 14:38:30,Europe/Warsaw,GB
-5.3398475,e3:4f:ae:1b:ff:0e,Thompson Ltd,$0.07,Persian,2011-10-03,lt-71.smith-webster.com,New Caledonia,425,he,-49.983204,South Katieshire,2011-03-21T01:47:54,2020-12-18 13:29:23,Europe/Vaduz,GB
18.768220,4b:f6:e7:37:97:35,Stone Ltd,"$60,608.65",Bashkir,2004-08-25,lt-46.nash-clarke.com,Trinidad and Tobago,96,kw,-6.069753,Jamesview,1993-10-09T01:44:24,1992-07-20 04:36:37,Europe/Amsterdam,GB
-28.743470,42:6f:5f:21:b2:68,Smith-Peacock,$64.49,Georgian,2013-09-02,db-82.davies.biz,Cayman Islands,51980,wo,-18.119603,Baldwinside,1999-03-31T18:09:26,1996-04-15 17:35:09,America/Managua,GB
35.5441385,a9:a4:b4:df:23:6d,"Smith, Andrews and Rowley",$277.99,Avaric,2023-05-17,laptop-10.wilkinson.com,Austria,6,zh,-62.862785,Pooleborough,1973-05-12T20:08:51,2003-09-14 03:05:21,Africa/Maputo,GB
64.134967,9e:bd:7d:21:9b:2c,Johnson Ltd,"$64,548.31",Tonga,1975-07-28,db-92.evans-page.com,United Kingdom,9352190,ro,130.897637,Tinaport,1979-08-09T23:03:49,1999-11-14 09:15:52,Asia/Jakarta,GB
16.595109,60:3e:e2:eb:11:1d,"Collins, Carpenter and Gregory",$3.61,Yoruba,1985-03-25,laptop-66.stewart-bowen.com,Korea,9980782,fil,-29.311197,Port Robinside,1983-02-26T19:26:38,1980-04-29 12:15:32,Asia/Saigon,GB
21.7911395,01:b8:3f:dc:e6:a8,Webster-Smith,$585.14,Zulu,1984-11-25,email-64.mason.com,Cape Verde,7531,br,41.218630,South Mohammad,1990-12-16T06:14:37,2013-01-26 11:36:53,Africa/Ndjamena,GB
-6.004181,cb:a4:e9:77:a8:c8,"King, Murphy and Nicholls",$95.40,Chamorro,2016-03-29,desktop-76.reed.com,Netherlands Antilles,1,as,-35.791540,Mohamedfort,2019-02-28T11:43:11,1996-02-02 12:56:32,Africa/Addis_Ababa,GB
