file_name,latitude,language_code,company,language_name,city,longitude,hostname,country,bank_country,pricetag,mac_address,random_number,date
facere.flac,-67.3191725,ur,"Walder, Hofstetter and Spörri",Norwegian Nynorsk,Gossau,-133.948783,laptop-42.schaller.com,Bulgaria,CH,"$8,561.73",b9:1d:8e:be:f6:46,4942443,2010-05-30
consequuntur.gif,83.316597,is,Ackermann Group,Kongo,Ebikon,-10.992247,email-46.thommen.com,Sri Lanka,CH,$4.32,a6:75:b6:72:15:bb,299019415,2021-09-12
quam.pdf,85.517119,is,Müller-Häfliger,Divehi,Baar,-71.427605,desktop-79.hug.com,Turkmenistan,CH,$31.64,8e:5b:e5:0b:62:51,3,1985-09-16
incidunt.txt,-9.021956,sid,Albrecht-Lustenberger,Serbian,Aesch,-85.869147,desktop-13.staub.com,Mauritania,CH,"$3,797.42",13:85:4b:59:9a:b4,8200582,2004-02-15
praesentium.txt,-18.1502575,yi,"Meister, Ammann and Hürlimann",Kuanyama,Schwyz,106.241188,srv-98.bieri.com,Bosnia and Herzegovina,CH,"$1,057.47",18:4d:10:c3:79:d2,1839750,2013-01-11
nesciunt.jpg,71.9123585,fa,Hess Ltd,Chinese,Kreuzlingen,-82.262688,web-81.steiner-stettler.biz,Thailand,CH,$400.07,86:13:da:f8:73:67,911848,1972-02-11
id.odp,-67.340617,mr,Hafner Inc,Kannada,La Chaux-de-Fonds,-129.078637,desktop-96.sigrist.org,North Korea,CH,$868.17,c3:c0:9c:79:da:02,170326154,2019-10-03
illum.pptx,-56.8677255,li,"Brunner, Sigrist and Sigrist",Western Frisian,Gland,-168.475163,db-62.hartmann.com,Botswana,CH,$236.59,4a:67:3b:7d:9c:35,137629,2016-07-23
repellendus.css,52.326766,bhb,Meister-Amrein,Norwegian,Köniz,-121.161145,email-78.benz-hauser.com,Saint Kitts and Nevis,CH,$54.28,bc:4b:5e:31:e7:54,891261,1972-06-19
pariatur.png,6.916691,lv,Pfister-Egger,Esperanto,Volketswil,-145.055821,laptop-78.gerber.org,Malta,CH,"$4,217.15",e9:b7:93:40:30:e6,6349,1989-09-15
ad.key,50.1457565,ru,"Steinmann, Meier and Gross",Rundi,Möhlin,-17.759226,web-17.stucki-hauser.com,Moldova,CH,$81.93,bb:5f:05:7a:65:c0,3542,2008-03-04
aperiam.flac,64.2684375,se,"Hodel, Wyss and Knecht",Danish,Vernier,176.507187,srv-07.roth.biz,Algeria,CH,"$4,680.32",ad:f8:aa:24:87:78,6617946,2014-09-22
ut.pdf,-40.8703525,wal,Wagner LLC,Tajik,Köniz,27.484479,srv-33.tanner.com,Nicaragua,CH,$74.86,0c:cb:a6:78:f1:df,7,1988-05-29
sunt.css,-8.190544,te,"Pfister, Bär and Studer",Tajik,Opfikon,104.930454,web-75.frick-baumann.com,CÃ´te d'Ivoire,CH,$86.86,55:3c:51:4b:24:31,8,2012-09-21
in.xls,62.0640255,ss,Gasser-Wehrli,Spanish,Yverdon-les-Bains,119.476386,lt-93.schoch-luthi.net,Sudan,CH,"$1,894.88",28:07:dc:ba:92:f6,16,2015-12-02
beatae.avi,65.9754095,cy,Schlatter Ltd,Chuvash,Kloten,-26.648307,email-81.roth.org,Equatorial Guinea,CH,"$40,938.71",08:27:09:b9:7c:e1,969,1998-08-14
doloremque.avi,87.9750585,niu,Fankhauser Group,Aymara,Einsiedeln,-127.570360,web-35.ott.net,Turkey,CH,"$3,142.71",0d:84:d4:76:c3:4d,326,1979-06-21
harum.mp4,12.270498,sc,"Felder, Schaub and Amrein",Kanuri,Weinfelden,-105.321814,web-09.kung.biz,Thailand,CH,"$99,737.96",92:f8:fe:7e:85:e4,572216452,2013-01-12
harum.ppt,88.0264885,hsb,Schoch Group,Aragonese,La Chaux-de-Fonds,178.907563,web-83.michel-kern.org,Bangladesh,CH,$539.69,dd:76:41:05:31:a3,331198,2001-07-18
in.flac,61.466935,lb,Jost-Gut,Kanuri,Zollikon,103.550932,laptop-13.winkler.net,Egypt,CH,"$60,030.82",a1:4b:3e:85:52:d4,4918868,2005-12-03
consequuntur.txt,46.5282165,hne,Stalder PLC,Turkmen,Delsberg,-120.421995,srv-14.mader-winkler.com,Nepal,CH,"$9,597.75",1f:ea:75:f2:7a:31,91584387,2012-05-28
maiores.mp3,-86.901222,ms,Roos and Sons,Russian,Versoix,-115.940274,web-34.hoffmann.biz,Nepal,CH,"$1,821.35",12:84:9c:ab:47:f7,3874634,1986-10-31
deleniti.png,-86.003444,kok,"Zollinger, Stettler and Frick",Ndonga,Steffisburg,167.833198,web-18.bieri.com,Malaysia,CH,"$4,831.23",5f:8f:6c:35:f6:c7,26002758,1988-06-10
similique.odt,-36.6961465,id,Roos LLC,Pushto,Bern,-140.469304,srv-03.wirz.com,Republic of the Congo,CH,$33.42,8c:06:f3:cf:06:83,2,1980-12-08
aspernatur.js,34.2418375,ht,Bieri-Meili,Nepali,St. Gallen,-120.729576,desktop-39.vogel.net,Canada,CH,$106.73,56:5e:e2:bf:3d:ff,800236136,2005-01-13
qui.avi,57.3438345,gv,"Zbinden, Furrer and Jost",Galician,Rheinfelden,21.880618,email-30.baumann-isler.com,Algeria,CH,$44.45,65:a8:6d:80:4f:22,8,1998-07-14
voluptatibus.doc,-79.7121075,sl,Eichenberger Ltd,Zulu,Chur,-163.502579,laptop-77.egger.org,CÃ´te d'Ivoire,CH,$6.11,5c:87:07:ef:e1:75,7016484,2016-08-05
assumenda.webm,-63.9170415,fil,"Lutz, Thommen and Arnold",Interlingua,Möhlin,-72.971220,desktop-93.hermann.com,Thailand,CH,"$81,486.38",72:31:77:38:58:89,7758,1976-03-02
ducimus.avi,73.244711,fo,Felder-Maier,Maori,Veyrier,-87.264890,desktop-96.merz.com,Bulgaria,CH,$27.03,1d:6b:92:0b:ac:84,61,2020-02-09
