random_number,language_name,iso8601,country,language_code,longitude,company,bank_country,latitude
3761807,Interlingue,1977-06-05T01:01:56,New Zealand,ps,-114.028838,Jenni and Sons,CH,-71.309021
521514,Kalaallisut,2007-07-14T04:24:01,Slovenia,mni,-55.055660,"Huber, Rey and Küng",CH,7.944190
8755,Malay,1999-09-13T00:59:01,Tajikistan,pap,-146.652131,Kohler Group,CH,3.8460625
9346,Mongolian,2011-04-03T17:25:01,People's Republic of China,zh,-90.379207,"Berger, Eichenberger and Hermann",CH,-30.6371435
512150,Rundi,2000-11-23T07:13:25,Tuvalu,ks,-57.470879,Sidler-Steiger,CH,56.9509785
728,German,1976-04-04T16:07:52,Romania,ff,-162.204902,"Lustenberger, Frei and Meyer",CH,-6.5296055
82750,Kirghiz,2010-07-08T07:01:20,Lesotho,st,82.092505,Portmann-Hofmann,CH,-22.964949
47974,Haitian,1997-05-22T06:30:51,The Gambia,pa,175.620320,Studer LLC,CH,9.184331
5817267,Inuktitut,2015-06-27T06:58:02,Brazil,ast,-100.036094,"Wagner, Hirt and Berger",CH,-81.179885
5425087,Hausa,2001-11-10T15:30:29,Zambia,lo,125.857414,Friedli Inc,CH,74.6910745
92522,Kongo,1991-12-09T02:57:52,Laos,nso,158.858612,Frei-Bühler,CH,-3.016882
967987,Sindhi,1970-12-17T21:54:05,Indonesia,ta,128.526332,Hoffmann Inc,CH,89.0644495
0,Twi,1982-03-14T22:57:47,Seychelles,he,-30.867999,"Wirth, Burri and Ott",CH,-58.4876385
59955947,Tamil,1989-04-25T19:39:59,People's Republic of China,szl,49.542990,Huber Group,CH,54.945856
309,Avestan,2023-08-11T05:36:52,Antigua and Barbuda,fy,112.665441,Lehmann LLC,CH,-43.5459015
1957713,Komi,1992-02-23T03:29:52,Saint Lucia,hy,-23.002903,Schärer-Herzog,CH,3.983918
321748,Interlingue,2011-07-11T02:24:29,Haiti,be,-65.916492,Sutter-Kaiser,CH,57.438559
195,Sango,1975-06-12T00:58:27,Kenya,ro,30.840949,Friedli-Studer,CH,-59.5223845
5,Mongolian,1990-10-29T06:56:47,Italy,nan,164.427313,Schnyder-Gfeller,CH,38.275082
745,Bislama,1993-08-19T21:23:58,Nepal,tn,-125.857325,Jäggi PLC,CH,-73.066795
2659,Church Slavic,2010-06-13T17:43:21,Djibouti,es,-11.259242,Senn-Rey,CH,-88.0118115
23,Maori,1978-09-28T15:36:57,New Zealand,nl,17.869855,Lustenberger LLC,CH,51.6075815
8308,Dzongkha,1996-08-13T17:17:18,Uganda,mr,-164.199142,"Braun, Hofer and Hoffmann",CH,66.633824
43372278,Tigrinya,1977-04-28T20:37:44,Bulgaria,km,-169.091728,Käser-Wegmann,CH,-58.3932515
87,Latvian,2012-03-27T21:17:31,Bahrain,hne,34.484402,Schneider and Sons,CH,46.7480155
9171440,Marshallese,1975-02-25T09:36:42,Uzbekistan,ne,4.925396,"Suter, Bühlmann and Felber",CH,-56.383612
140,Sichuan Yi,2005-06-29T11:43:06,Bahamas,tn,157.498052,Stutz Group,CH,-36.880484
0,Basque,1970-06-12T23:54:39,Qatar,he,116.357755,Herzog Ltd,CH,26.2724365
819563031,Latin,1989-11-07T00:20:44,Andorra,wae,129.018567,"Scherrer, Furrer and Zingg",CH,71.649112
635,Kurdish,2004-09-27T19:39:29,Morocco,lv,20.110126,Bosshard-Arnold,CH,-1.9014065
74299,Samoan,2004-04-10T14:48:50,Venezuela,sd,19.217591,Herzog-Hofmann,CH,85.9581715
3,Latin,1991-09-13T04:38:48,Denmark,af,80.212661,Giger-Baumgartner,CH,70.895561
10490,Kazakh,1979-09-11T02:17:51,Belgium,so,92.029710,"Pfister, Schmid and Michel",CH,86.593152
5621135,Marathi,2014-12-20T01:25:47,Bahamas,ka,47.571803,Kern Inc,CH,-41.550406
84,Luba-Katanga,1975-09-02T03:41:23,Lesotho,sa,50.441009,Hirt Ltd,CH,-70.1386535
245910,Luba-Katanga,1975-12-26T19:15:42,Ethiopia,hu,28.670960,Bättig Inc,CH,-16.440809
46636,Corsican,2000-10-23T20:32:00,Malawi,he,-43.476157,Frei-Vogt,CH,-83.5730085
86,Pushto,2006-06-06T10:54:51,Mongolia,doi,37.133591,"Frei, Zürcher and Schwarz",CH,67.537778
763668642,Luba-Katanga,1973-12-26T08:15:46,Nauru,unm,30.488159,Staub-Stucki,CH,-6.4310185
70876,Kuanyama,1979-06-11T14:46:56,Thailand,az,-170.253897,"Hofer, Lüscher and Pfister",CH,-18.834416
265419,Gujarati,1984-07-25T11:22:20,Paraguay,nds,36.051700,"Schaub, Wehrli and Favre",CH,-66.3001395
305,Irish,1973-12-26T16:51:29,Madagascar,kok,-60.474765,"Hauser, Braun and Stucki",CH,66.317864
8706555,Navajo,2004-11-25T15:01:11,Grenada,wo,104.611557,Stutz-Schäfer,CH,63.003719
5380,Oriya,1996-09-08T17:31:52,Costa Rica,gu,174.162582,"Widmer, Fuchs and Schnyder",CH,3.072397
971,Akan,2018-03-11T11:28:07,Denmark,zu,-48.670559,Roos and Sons,CH,71.7918935
3296311,Macedonian,2000-10-19T02:15:23,Sri Lanka,ckb,105.580572,Zingg Group,CH,-63.2544985
116081,Interlingua,1974-09-25T12:15:38,Jordan,unm,-51.782910,"Schmidt, Schumacher and Kägi",CH,-22.002462
48941,Bosnian,1978-12-18T09:36:09,Nepal,fur,93.338200,"Siegrist, Vogt and Rüegg",CH,23.4135165
43053,South Ndebele,2004-06-05T19:39:11,Solomon Islands,am,92.238590,Brun Ltd,CH,44.4257395
69111516,Portuguese,2014-05-05T16:51:30,Swaziland,hne,-27.030395,"Siegrist, Hofmann and Winkler",CH,77.9634605
308138639,Malay,2013-07-11T01:49:15,Saint Lucia,ka,-127.515789,Grob Group,CH,-16.621142
41961096,Indonesian,2022-11-19T02:06:52,Uruguay,bem,174.706175,Gross LLC,CH,68.213032
849,Latin,1972-06-16T22:25:49,Morocco,hu,148.899660,Aebi-Hermann,CH,-16.4329255
154249,Malayalam,1995-12-01T20:54:46,Saudi Arabia,ps,135.253628,"Benz, Ferrari and Pfister",CH,28.010786
77754,Arabic,2017-05-09T18:43:31,Bahrain,so,84.808592,Winkler Inc,CH,80.977445
77777234,Gujarati,2011-06-28T10:03:31,Ethiopia,doi,-62.255213,Seiler and Sons,CH,42.3839285
74466,Aymara,2015-09-27T12:35:16,Zimbabwe,nb,-3.946058,Marti Inc,CH,-52.932863
994,Samoan,1989-05-12T20:50:50,Uganda,nds,40.411603,"Spörri, Lanz and Spörri",CH,-47.855253
142839029,Navajo,2022-09-13T16:04:19,Romania,uz,-61.075753,"Siegrist, Schürch and Schwab",CH,35.0526505
4180088,Georgian,1974-03-27T22:41:24,Sri Lanka,mn,-87.491037,Hunziker-Meyer,CH,-23.065125
9,Luxembourgish,1991-04-03T11:42:44,Papua New Guinea,gu,167.948617,Steffen Ltd,CH,29.6283825
3069529,Turkish,2007-04-11T16:18:36,Georgia,byn,109.835959,Aebi and Sons,CH,-2.934902
31375,Finnish,1976-08-28T16:11:09,Portugal,tt,-28.661172,Blaser Ltd,CH,-67.835244
29629976,Navajo,2000-07-24T21:27:41,Spain,ja,-139.121712,"Erni, Steffen and Hofmann",CH,-81.1398785
89,Manx,2004-12-31T07:39:04,Israel,cv,-33.488109,Geiger-Huber,CH,30.3382265
315201067,Hebrew,2004-06-07T04:34:26,Serbia,niu,80.192757,Aebi-Koch,CH,12.4069775
9504033,"Sotho, Southern",2015-09-25T00:56:56,Qatar,lv,31.137568,Leu Group,CH,38.185843
303747,Kikuyu,1979-05-13T05:03:39,Mali,fo,-134.722361,"Giger, Häfliger and Gut",CH,32.044519
5,Nauru,1975-04-15T14:14:12,Libya,uz,-169.596520,"Burri, Schlatter and Wüthrich",CH,27.549344
57202639,Bengali,1996-10-03T10:44:10,East Timor,oc,-159.305860,Schmid Inc,CH,-37.575955
2698870,Nepali,1981-11-29T10:38:03,Swaziland,tt,-23.889477,Blum LLC,CH,-2.3890185
899564,Ukrainian,1993-04-19T16:59:30,Peru,om,64.594482,Jenni-Schaub,CH,-67.7704245
