mac_address,language_name,date_time,hostname,date,latitude
c3:3e:03:fb:23:91,Hausa,1983-01-23 17:10:01,laptop-67.richards.com,2023-02-03,13.5477275
b6:99:ce:89:76:9a,Tswana,2004-09-22 09:01:55,email-05.martin-edwards.com,2018-01-26,89.266759
b1:e5:e5:0d:79:12,Panjabi,2007-06-10 03:07:35,laptop-97.thompson-graham.com,2006-05-27,-32.412454
8b:d5:04:92:2d:81,Kongo,1990-12-17 10:11:38,db-13.jackson.com,1979-04-29,-60.899327
2d:cd:f0:70:3d:91,Chechen,2001-05-25 14:53:32,desktop-26.stevens.com,1981-03-01,-58.7406975
42:a9:fb:3f:7c:b0,Bosnian,1995-12-02 21:07:03,lt-32.marshall.co.uk,2006-04-10,-48.5732595
f6:fa:e3:a9:09:9b,Japanese,2007-07-30 17:33:12,lt-76.black-brown.net,1973-07-07,-72.318004
7c:98:d8:c1:47:f7,Catalan,1989-05-15 11:58:32,db-11.evans.com,2006-03-08,59.446828
7c:be:8b:19:95:13,Latin,2019-01-13 23:43:42,laptop-22.thomas.co.uk,1999-03-02,-34.778938
ea:de:f4:07:f9:8a,Lao,1981-01-14 05:23:26,srv-28.martin.org,2000-08-17,-28.686649
8a:b2:d7:e4:e5:8a,Romanian,1972-12-13 11:41:21,web-83.ward-lucas.com,1970-09-15,16.8172455
56:3f:46:4d:56:73,Yiddish,2001-11-28 11:24:55,laptop-73.miller.co.uk,2005-01-15,34.481743
f3:36:21:a1:0c:a7,Galician,1996-03-14 03:12:53,db-59.atkinson.com,2001-11-30,84.2488115
c9:54:7c:78:d3:86,Kannada,1972-08-10 12:13:46,db-08.kaur.com,2015-01-03,-28.8539535
6d:14:6a:e8:9f:52,Occitan,2016-02-28 21:00:38,laptop-70.mills.info,2013-01-15,70.537391
7b:32:51:cc:9b:30,Avestan,1975-11-06 22:23:17,desktop-15.pollard.com,1989-04-08,35.5535835
8c:c4:66:62:cb:af,Manx,1982-11-12 21:07:58,desktop-38.webb-wyatt.com,1996-08-24,23.514445
da:04:17:2d:4b:a8,Bengali,1989-12-27 16:15:06,web-32.brown.com,1991-03-10,-54.5124775
10:81:9b:44:a6:57,Ojibwa,1980-10-20 23:41:16,srv-67.smart.com,1979-12-19,78.151066
61:f0:81:cf:78:7c,Kazakh,2005-03-21 14:58:41,desktop-94.williams-lyons.com,2013-09-02,-54.207295
56:81:92:67:4e:4e,Kalaallisut,2013-02-11 01:42:20,email-10.todd-jordan.com,2008-09-29,66.2623795
bd:4d:35:17:21:a2,Malagasy,2018-08-29 14:22:56,desktop-50.elliott-blake.com,1971-11-19,-5.7817755
98:af:b0:eb:a0:c0,Faroese,1990-05-14 06:46:49,web-97.moore.com,1989-08-04,29.5825765
a1:5a:97:af:a8:30,Inupiaq,2022-08-04 14:49:59,srv-50.holloway.info,1978-07-05,73.8377055
