iso8601,pricetag,company,timezone,language_code,date,date_time,file_name,country,city,latitude,bank_country,hostname,mac_address,random_number
1994-11-05T05:09:45,"6.063,90 €",Sölzer Käster Stiftung & Co. KG,America/La_Paz,ff,2005-04-22,1980-03-22 13:56:20,und.jpg,Pitcairn,Biedenkopf,-64.0892345,DE,desktop-59.seifert.net,a6:7c:c4:00:b0:ab,20941540
1993-12-16T11:37:37,"811,33 €",Stiebitz Stiftung & Co. KG,Asia/Kuching,mn,1976-04-26,2010-11-03 20:06:50,fressen.mp3,Guernsey,Merseburg,42.4260985,DE,desktop-94.tschentscher.de,bc:bb:30:85:f6:0a,159
2001-03-05T02:32:55,"17,59 €",Scheel GmbH & Co. OHG,Asia/Qatar,mn,1976-03-31,2016-03-25 10:51:55,fertig.jpeg,Gabun,Grimmen,-65.0782185,DE,email-95.nerger.net,8f:95:6d:1b:ca:ae,20905654
1990-06-01T00:15:38,"9.597,74 €",Naser,Europe/Dublin,be,1996-10-14,2012-07-26 07:32:47,damit.wav,Kuwait,Sömmerda,3.834390,DE,srv-76.wulff.de,58:a3:cf:23:10:97,6666
1985-07-11T16:07:09,"7,23 €",Briemer,Africa/Malabo,wal,2006-04-18,2006-12-12 08:36:26,zum.tiff,Uruguay,Neu-Ulm,-78.626541,DE,db-99.ritter.de,f3:ac:ac:5e:6a:93,755
1978-01-07T19:04:30,"98,55 €",Pergande GmbH,Pacific/Apia,ht,1977-06-08,2010-01-23 15:44:14,gelb.tiff,Libanon,Arnstadt,71.483017,DE,laptop-71.loos.com,d4:4d:44:be:fb:8b,29727
1975-09-06T13:03:46,"3,79 €",Siering,America/Caracas,nds,2004-07-14,2000-02-16 02:19:36,richtig.csv,St. Lucia,Heiligenstadt,49.9002395,DE,lt-53.plath.com,60:1b:b0:b6:18:8f,31399
2013-09-06T14:19:53,"6,84 €",Roskoth GmbH,Asia/Dubai,apn,1995-12-23,2015-11-18 01:45:14,zeigen.doc,Malta,Cottbus,-14.587147,DE,laptop-20.hethur.de,b7:7d:de:bf:ae:94,19397379
1988-09-01T22:33:45,"570,91 €",Loos,Asia/Damascus,sa,1988-10-11,1973-02-03 16:12:24,lange.mov,Färöer,Ebern,-61.5465975,DE,lt-61.kostolzin.net,e9:e7:e9:b7:78:24,89944216
1989-02-01T09:55:28,"87.071,22 €",Johann,America/Nassau,fi,2008-01-24,2022-02-28 05:02:20,Seite.mov,Pakistan,Uelzen,-56.3940955,DE,lt-21.graf.com,3a:8b:89:e0:66:cd,5611
