date,date_time,file_name,pricetag,company,random_number,longitude,mac_address,language_name,city,timezone,language_code,time
1994-09-20,2016-02-17 18:46:03,ex.png,$2.73,Erni Inc,646805,-2.978678,ef:0f:75:01:a1:84,Komi,Olten,Asia/Colombo,kl,06:19:06
2006-08-21,2006-06-17 07:48:44,nemo.avi,"$5,072.83",Kunz LLC,60543956,153.027224,a7:91:f9:4a:79:09,Tibetan,Wettingen,Africa/Windhoek,cmn,01:06:48
2015-08-11,1996-03-14 23:22:35,suscipit.flac,"$58,110.41",Zbinden PLC,9669,43.871656,28:00:ab:4b:3d:f2,Ukrainian,Prilly,Africa/Maputo,lt,21:02:04
2012-10-18,1975-02-18 17:12:05,eum.mp3,"$69,106.85",Winkler-Hasler,793548,63.317366,68:5d:14:52:78:e9,Shona,Spiez,America/Tegucigalpa,wa,23:08:40
2011-04-01,2020-01-02 05:32:10,ipsam.avi,$918.48,Wagner-Schuler,325,-59.157172,90:6b:f8:cc:65:eb,Somali,Meyrin,America/Iqaluit,tcy,18:44:56
2008-03-03,2008-03-20 15:12:36,voluptate.css,$29.26,Schenk Inc,32,-154.093281,02:20:96:40:f6:70,Macedonian,Wettingen,Asia/Beirut,ks,10:15:29
2014-06-16,1975-07-19 13:28:26,voluptas.txt,"$1,144.86","Friedli, Schär and Bühler",484,-15.983279,37:6b:21:83:ed:a5,Burmese,Pully,Europe/Bratislava,tn,12:47:13
2008-07-30,1993-09-12 01:04:48,fugit.pages,$7.30,Ernst and Sons,55,-96.208438,b6:d2:90:65:d1:9d,Romanian,Lugano,Europe/Warsaw,fr,12:17:36
1987-11-09,2014-08-24 17:06:17,doloribus.mp3,"$2,532.56","Gasser, Hauser and Müller",4392546,-14.956529,ec:67:4f:03:2d:2b,Twi,Davos,Europe/Vienna,si,21:58:53
1973-08-08,2015-12-21 18:57:18,sed.mp4,"$5,832.12",Wegmann-Hotz,3,167.231563,c7:e5:cb:6c:af:0d,Bihari languages,Basel,America/La_Paz,mni,00:57:17
1982-09-26,1981-06-21 02:33:20,unde.xls,"$15,830.49",Häfliger PLC,76837808,61.130719,b7:dc:a1:15:4d:04,Fijian,Sitten,America/Asuncion,ug,01:11:00
2005-12-18,2022-03-11 05:39:12,placeat.webm,$453.57,Marti-Lehmann,89464,-22.536159,29:5a:45:96:61:f9,South Ndebele,Maur,Europe/Istanbul,bs,09:55:19
1998-10-29,1984-08-16 23:31:37,porro.pdf,$765.42,Bianchi-Steiger,37,163.034760,8a:81:d8:da:5a:5d,Uighur,Sitten,Asia/Karachi,unm,17:13:05
2007-07-19,1988-02-09 06:17:20,consequuntur.wav,$0.58,Knecht Inc,819,-86.448430,c5:af:df:e4:41:2a,Maori,Bern,Europe/Vaduz,niu,11:35:23
1984-09-27,1994-11-11 16:46:51,neque.wav,"$17,687.42",Knecht Inc,464420685,36.667458,38:b6:9f:69:67:c8,Kalaallisut,Wil,America/Caracas,ak,09:30:45
1995-12-17,2008-05-18 09:25:48,placeat.odt,$86.33,Isler-Iten,5577,-127.079793,91:c8:1e:a7:b6:d9,Faroese,Winterthur,Africa/Johannesburg,hy,02:37:25
2012-08-30,1974-07-17 01:20:03,assumenda.txt,"$56,628.88",Zimmermann-Knecht,73880,161.743364,c6:f9:15:9e:9e:44,Tamil,Freienbach,Africa/Accra,lo,04:26:37
2009-06-20,2021-10-02 23:20:55,dolorem.odp,"$75,114.79",Schenk Ltd,611099896,74.168964,b6:d0:52:77:05:95,Swedish,Locarno,Africa/Dakar,brx,08:04:22
1986-04-24,2022-10-27 15:09:18,repellat.key,"$5,740.59",Bär LLC,4625050,-141.156839,f4:ee:3c:5b:cb:55,Afrikaans,Plan-les-Ouates,Africa/Conakry,dz,06:07:52
1987-08-21,1998-07-06 00:34:03,dolorum.bmp,$895.59,"Hofstetter, Schneider and Thommen",0,38.893378,71:d4:bf:73:48:50,Haitian,Bülach,Europe/Belgrade,bg,17:42:28
2001-10-19,1984-03-06 14:55:04,pariatur.wav,$243.69,Schmid-Senn,239,174.072926,e5:85:f8:7f:87:e8,Marshallese,Steinhausen,Africa/Accra,cv,19:38:50
2010-12-31,2020-01-26 18:52:34,nemo.ppt,$1.20,Schumacher-Herzog,370,-61.987360,c7:0a:b1:54:6f:6e,Finnish,Montreux,Asia/Dushanbe,the,17:38:16
2006-08-12,2019-07-07 23:51:23,voluptas.mp3,$520.65,Rey LLC,623048427,-111.541673,af:89:88:8e:08:24,Abkhazian,Herisau,Pacific/Fiji,gu,12:23:39
2009-04-18,2012-07-15 22:08:45,quidem.numbers,$9.87,Steffen PLC,2,171.254382,3e:09:aa:61:22:26,Zhuang,Villars-sur-Glâne,Indian/Maldives,os,22:51:17
1970-04-22,2008-05-23 07:03:20,ipsa.flac,"$9,905.97",Wagner-Imhof,152,-106.885801,9e:5b:bd:d6:a4:d2,Serbian,Brig-Glis,Europe/Zagreb,sat,22:51:59
2011-12-02,1999-08-07 03:22:01,provident.mov,$2.30,Bachmann-Haas,2007323,94.664710,43:75:e4:45:43:53,Hindi,Wädenswil,Africa/Cairo,bn,03:01:34
2016-08-31,2018-10-17 23:12:46,architecto.avi,"$87,027.12",Zürcher and Sons,812149522,-153.829197,8d:c0:a1:f5:61:62,Kurdish,Genf,Asia/Samarkand,bho,19:28:26
2011-05-31,1997-11-22 12:27:25,sed.odp,"$15,896.33",Favre-Wagner,6909,-87.666670,2c:53:a8:1a:52:6a,German,Thun,Asia/Taipei,nl,05:03:00
1976-11-11,1997-05-02 02:41:24,repellat.webm,"$84,254.44",Meyer Group,49012,22.584363,a9:17:33:09:0d:51,Latin,Gland,Africa/Ceuta,ko,19:26:20
1996-10-22,2001-11-17 12:27:20,quisquam.webm,$97.36,"Rey, Walder and Walder",69,-69.234762,f7:3e:34:ad:c6:50,Danish,Le Grand-Saconnex,America/Belem,as,10:47:00
1998-03-31,1987-04-11 10:10:12,qui.docx,$9.79,"Keller, Berger and Baur",7,167.571403,b7:ea:15:57:10:6a,Breton,Oftringen,Europe/Warsaw,aa,20:12:48
1987-08-03,2015-10-27 07:42:40,temporibus.gif,$84.20,Rüegg-Hafner,7511,-140.253256,01:e9:f6:19:e1:9d,Western Frisian,Neuenburg,Indian/Antananarivo,ckb,10:09:48
2019-01-05,2022-12-01 19:00:29,illum.tiff,"$6,783.38",Probst-Schär,3532,96.067176,88:fb:60:e7:8c:57,Indonesian,Mendrisio,Pacific/Fiji,ia,07:11:26
1996-10-14,2016-10-20 01:14:34,illo.jpg,$44.35,Sidler-Bosshard,6427,-80.861005,40:2c:d0:e0:ae:ba,Romanian,Aigle,America/Guyana,be,18:20:26
1999-02-24,1983-06-24 19:26:42,nam.avi,$2.70,Spörri Ltd,91987,125.128563,d1:bd:48:c7:20:42,Oromo,Wil,Asia/Rangoon,cy,23:56:18
1989-07-28,1989-08-09 08:30:36,maxime.mp4,"$6,257.77",Bader-Gut,3539059,17.699474,0b:67:00:35:44:3d,Swedish,Prilly,America/St_Kitts,ja,13:41:48
