language_name,file_name,longitude,hostname,iso8601,country,latitude,timezone,date_time,bank_country,company,pricetag,city,language_code,random_number
Western Frisian,alle.webm,15.960577,db-09.schwital.org,2019-05-23T21:35:16,Südafrika,-80.8777175,Asia/Bahrain,1980-08-07 14:27:58,DE,Kraushaar,"9.181,17 €",Bernburg,th,4295
Hiri Motu,alt.bmp,-96.439586,email-43.dietz.com,1998-12-22T09:31:42,Uruguay,-87.0095095,Asia/Yerevan,1980-08-23 10:32:57,DE,Gertz,"76.314,64 €",Feuchtwangen,ks,784
Herero,Uhr.txt,-74.324316,web-86.geissler.de,1970-02-19T23:16:35,Antigua und Barbuda,50.218870,America/Havana,1991-08-23 08:51:51,DE,Schüler Eigenwillig KG,"23,71 €",Hamburg,raj,62213196
Spanish,fröhlich.key,-51.068821,email-82.hoffmann.de,2008-07-01T14:23:30,St. Vincent und die Grenadinen,-55.384479,Europe/Luxembourg,1995-11-06 01:54:12,DE,Mälzer Jäntsch GmbH,"1,52 €",Bremervörde,hne,4
Icelandic,ruhig.ods,-135.498611,lt-74.mielcarek.net,1991-06-13T03:07:09,Bhutan,-36.322168,America/Guatemala,2021-03-07 10:30:45,DE,Fröhlich,"119,40 €",Griesbach Rottal,br,70228932
North Ndebele,mehr.xlsx,-53.444676,desktop-18.biggen.com,2009-10-01T22:44:05,Brasilien,31.513807,America/Caracas,2018-03-06 03:56:57,DE,Ernst AG,"3,23 €",Höxter,zu,70
Sundanese,Licht.mov,54.904938,web-85.weitzel.de,2001-09-01T22:24:02,St. Lucia,41.815148,Europe/Athens,1995-01-30 10:59:14,DE,Wilmsen Dörschner AG,"511,58 €",Wismar,am,8380744
Igbo,langsam.flac,156.411569,db-81.langern.de,1995-12-18T17:49:18,Tunesien,-83.127835,Asia/Tokyo,2002-01-05 22:21:09,DE,auch Schlauchin Röhrdanz AG,"56,37 €",Göttingen,da,6
Portuguese,kennen.gif,6.352034,srv-53.kade.com,2015-03-19T13:46:06,Montenegro,-63.106204,Africa/Tripoli,1982-05-23 18:57:53,DE,Gunpf,"494,88 €",Berlin,nhn,77397
Rundi,fest.wav,83.338099,laptop-83.jessel.org,1976-06-30T08:42:40,Svalbard und Jan Mayen,33.2745435,Africa/Ouagadougou,2008-10-25 13:55:15,DE,Schüler GbR,"7,33 €",Guben,pl,51606
Croatian,wird.txt,-31.135660,web-67.hoelzenbecher.com,1980-02-10T18:18:19,Südgeorgien und die Südlichen Sandwichinseln,-3.471295,Europe/Skopje,1980-06-24 07:12:32,DE,Schenk Kühnert GmbH,"2,45 €",Ebern,gu,6510
French,war.html,-63.998694,laptop-07.haering.com,1993-07-31T00:43:59,Cookinseln,48.724331,Asia/Taipei,1978-07-08 13:13:24,DE,Franke Dowerg GmbH,"429,09 €",Mettmann,doi,15042449
Estonian,Wohnung.avi,25.114422,email-37.stolze.de,1991-12-04T13:26:50,Finnland,-19.786289,Asia/Pontianak,1984-11-30 16:49:46,DE,Steckel Koch KG,"34.923,05 €",Fürstenfeldbruck,zu,792684
Persian,fast.avi,162.509610,desktop-56.baehr.de,1975-11-02T18:25:44,Georgien,19.223144,Europe/Helsinki,2003-08-04 16:41:36,DE,Klemt Schottin AG & Co. OHG,"6.738,43 €",Pfaffenhofen an der Ilm,mag,48
Tswana,schwer.mp4,128.935129,lt-79.hentschel.net,2000-11-22T20:12:27,Kambodscha,-70.212027,Asia/Kuching,1982-03-30 20:47:19,DE,Schwital GmbH,"23,26 €",Amberg,shs,366
Ukrainian,sind.avi,111.938485,desktop-21.gutknecht.com,1997-08-15T02:11:28,Katar,-51.839495,Asia/Phnom_Penh,2003-09-29 11:40:24,DE,Freudenberger,"99,28 €",Marktheidenfeld,si,9495387
Javanese,reich.ppt,-67.834393,db-93.heuser.com,2008-01-15T00:44:46,Andorra,-8.708608,Asia/Ashgabat,1975-05-17 15:10:51,DE,Schönland Ullrich KG,"924,44 €",Borken,oc,76140686
Zhuang,dort.html,-137.348887,laptop-60.rudolph.com,2014-01-19T04:46:55,Demokratische Volksrepublik Korea,-35.8380925,Africa/Nouakchott,1993-01-22 13:11:37,DE,Kraushaar Rädel AG,"3.637,49 €",Hagenow,uk,7402
Turkmen,fragen.flac,-17.006853,web-74.kaul.com,2003-03-11T08:50:49,Tonga,56.1694535,Europe/Luxembourg,1986-02-02 13:45:42,DE,auch Schlauchin GmbH,"9,99 €",Geithain,dz,8
Hausa,öffnen.webm,60.283551,desktop-06.werner.com,1975-10-14T17:57:50,Suriname,22.9972055,Asia/Thimphu,1985-01-09 15:09:29,DE,van der Dussen,"3,51 €",Pößneck,lzh,440808289
Norwegian Nynorsk,Stelle.html,68.533770,db-85.zobel.de,1978-05-17T01:38:37,Senegal,-70.5016205,Atlantic/Cape_Verde,1993-04-30 12:28:30,DE,Wagner e.V.,"1,96 €",Hansestadttralsund,tk,34
Gujarati,wollen.pdf,-64.444744,desktop-20.weitzel.com,2014-01-03T10:17:01,Ukraine,-64.294348,Asia/Rangoon,1990-02-02 23:02:55,DE,Bender,"7.715,14 €",Eichstätt,mni,99370780
Northern Sami,Glück.txt,170.377120,srv-96.schmidtke.com,2006-12-01T15:10:27,Syrien,15.988383,Africa/Monrovia,1998-02-01 15:05:16,DE,Butte,"7.137,22 €",Brilon,apn,10001649
Corsican,Schwester.flac,164.865014,db-30.haering.com,1989-10-01T02:00:57,Britisches Territorium im Indischen Ozean,-26.787661,America/Caracas,2009-10-06 19:49:08,DE,Holzapfel Reichmann GbR,"504,90 €",Neuss,tg,2
Telugu,kochen.mov,160.050542,db-16.jaentsch.com,1993-03-03T13:15:56,St. Lucia,85.294575,Europe/Istanbul,2001-09-01 11:11:47,DE,Weitzel Koch GmbH,"4.878,41 €",Zschopau,iw,87
Fulah,scheinen.avi,-128.467382,laptop-79.gorlitz.de,1977-06-26T06:56:28,St. Barthélemy,16.3821835,Pacific/Nauru,1970-11-21 18:30:47,DE,Wagenknecht GbR,"781,26 €",Geldern,az,44
Kuanyama,früh.wav,68.027084,laptop-76.moechlichen.com,1971-10-08T01:29:43,Usbekistan,-68.885835,Europe/Paris,2004-05-10 20:16:06,DE,Söding,"539,47 €",Eichstätt,gd,5716
Kikuyu,kochen.txt,-160.245646,web-02.gehringer.com,1981-07-09T05:06:29,Vatikanstadt,59.213597,America/Santiago,1993-02-25 17:27:06,DE,Söding,"8.691,97 €",Donaueschingen,doi,212
Haitian,doch.wav,112.866134,web-37.muehle.org,1988-04-07T23:36:33,Algerien,52.076304,Asia/Ashgabat,1985-01-12 15:09:51,DE,Schacht Stiftung & Co. KGaA,"40.147,91 €",Starnberg,tn,7281
Yoruba,fiel.flac,-67.546664,srv-21.loechel.org,1974-10-23T17:16:05,Republik Korea,-28.7398945,Asia/Colombo,2016-03-04 02:26:57,DE,Heser GmbH & Co. KG,"79.208,17 €",Böblingen,hsb,1962149
Samoan,Auge.numbers,1.025027,lt-44.taesche.org,1984-11-26T19:56:51,Belize,-87.382371,Asia/Phnom_Penh,2017-11-13 09:31:30,DE,Lindner,"5.535,98 €",Apolda,ar,8362974
Fulah,gesund.mp4,-122.562679,email-92.meister.de,1976-09-29T10:56:38,Bolivien,73.4873445,Asia/Tehran,2020-08-20 05:33:58,DE,Holt Christoph GbR,"772,59 €",Eichstätt,sv,5
Armenian,fünf.doc,14.620850,srv-36.tintzmann.org,1998-12-24T16:05:46,Bahamas,-56.6933415,Pacific/Port_Moresby,1975-04-04 13:17:37,DE,Heser Losekann GmbH,"20,23 €",Koblenz,br,9127035
Rundi,schnell.wav,15.512212,email-25.drub.de,2013-04-04T14:31:04,Irland,27.130900,Indian/Mauritius,2016-11-28 01:18:02,DE,Tröst Aumann AG & Co. KG,"505,13 €",Osterode am Harz,mni,2606622
Hungarian,dazu.key,-112.131274,lt-14.gumprich.de,2017-08-26T00:07:55,Dschibuti,18.1743155,America/Bogota,2005-08-04 12:27:52,DE,Trub,"1.851,14 €",Iserlohn,om,619
Kazakh,Familie.wav,-11.166022,srv-40.wagner.com,2002-11-03T10:59:38,Samoa,34.279308,America/Belize,1978-04-11 07:44:39,DE,Heintze KG,"191,61 €",Zschopau,ps,10938
Kashmiri,draußen.flac,104.143102,laptop-03.meister.com,1972-08-31T13:31:48,Guam,1.119523,Atlantic/Cape_Verde,2011-02-25 04:45:28,DE,Bien,"99,10 €",Sondershausen,an,6
Herero,Zahl.tiff,-89.234737,laptop-66.otto.com,1999-08-21T03:08:00,Malediven,78.0933055,Indian/Comoro,2019-04-27 06:33:12,DE,Beier KG,"3.810,42 €",Ochsenfurt,zu,9
Haitian,Loch.png,163.758230,email-30.hellwig.com,2019-12-08T01:51:45,Lesotho,-6.3119195,America/Nassau,2013-04-30 15:15:22,DE,Zorbach,"545,43 €",Freising,bem,7
Bulgarian,Bruder.pptx,-51.926334,desktop-18.reinhardt.com,2013-01-22T11:08:11,Suriname,32.741445,Africa/Djibouti,2005-02-10 02:33:19,DE,Bohnbach Trubin e.G.,"101,01 €",Hagenow,id,974
Tswana,können.xlsx,-72.764450,db-06.dobes.de,1989-09-23T23:08:34,Portugal,70.179155,Africa/Johannesburg,1980-05-01 09:24:44,DE,Finke Weller GbR,"6,54 €",Osterburg,ga,46782891
Portuguese,Tür.wav,62.141750,desktop-35.carsten.de,2020-11-26T21:08:50,Tschechische Republik,53.045673,Africa/Abidjan,2003-08-05 22:08:23,DE,Kühnert,"63.721,15 €",Oberviechtach,dz,349066
Guarani,dafür.mp3,31.939282,lt-25.schottin.de,2013-10-22T03:05:29,Liechtenstein,-24.759158,Africa/Libreville,2006-12-12 06:51:35,DE,Trapp,"92,87 €",Pößneck,mhr,635470
Sundanese,Freude.css,92.033736,laptop-16.johann.de,2011-07-01T13:22:40,Saudi-Arabien,4.288887,Europe/Vienna,2010-12-27 18:54:12,DE,Löffler Etzler GmbH & Co. KG,"12.094,91 €",Aschaffenburg,ru,57
Tibetan,Vater.odp,121.363033,db-04.carsten.de,1979-12-07T12:42:14,Brasilien,-19.2709895,Africa/Ndjamena,2023-03-21 23:28:34,DE,Austermühle,"752,91 €",Pritzwalk,gu,3230
Norwegian,erschrecken.pptx,-32.167351,web-16.wesack.com,1993-05-03T23:08:17,Island,89.301505,Africa/Kinshasa,2007-12-02 09:07:35,DE,Mühle,"12.227,25 €",Kehl,ko,294
Ndonga,seit.avi,-52.730994,lt-99.hecker.org,1978-02-19T14:26:25,Französisch-Polynesien,-59.0014375,Asia/Saigon,2015-07-31 04:59:08,DE,Junitz,"47.663,34 €",Schwerin,sv,987035011
Azerbaijani,las.ppt,-141.947366,laptop-30.junk.com,2010-11-26T07:10:35,Niederländische Antillen,-53.8372105,Asia/Rangoon,2018-11-06 00:51:47,DE,Schomber OHG mbH,"11,65 €",Dachau,id,558724504
Twi,Stadt.txt,112.999166,web-32.graf.de,2010-02-22T16:35:38,Taiwan,84.5190625,Africa/Niamey,2023-07-23 05:34:43,DE,Misicher AG,"369,95 €",Schmölln,wal,972015102
Herero,Affe.json,172.025941,srv-88.henschel.com,1978-04-23T08:37:21,Bahamas,-68.529298,Asia/Saigon,2013-06-15 04:44:54,DE,Börner,"1,68 €",Melle,lzh,459
Manx,schenken.txt,-40.823121,db-13.margraf.net,2022-11-25T18:31:30,Palau,-8.0890925,Indian/Comoro,1973-08-03 12:51:07,DE,Nerger,"7.203,29 €",Burglengenfeld,eo,7563793
