timezone,hostname,iso8601,random_number,time,latitude,bank_country,city,company,file_name,language_code,pricetag,country,language_name,date,mac_address,longitude,date_time
Africa/Tripoli,db-52.schweizer.com,1984-11-09T23:57:47,873894,15:34:27,-21.4043595,CH,Vernier,"Stauffer, Scheidegger and Schnyder",eaque.css,bem,"$5,133.29",Swaziland,Luxembourgish,2016-09-13,63:ab:35:6f:0e:4e,127.874693,1973-10-11 04:55:22
Europe/Berlin,db-08.berger-scharer.com,2008-06-29T20:02:37,625972704,18:02:37,-10.6469365,CH,Onex,Schumacher Inc,pariatur.wav,ig,$191.99,East Timor,Zulu,2001-05-20,44:6b:02:f3:aa:2b,0.029240,1976-02-14 00:00:05
Europe/Tirane,srv-31.egger.biz,2016-07-31T22:48:27,6671484,21:25:40,-34.1570215,CH,Risch,Graf PLC,nihil.flac,eu,$377.57,Haiti,Malay,2016-03-31,df:da:35:95:c7:ae,73.774203,2013-10-02 11:07:41
Pacific/Guadalcanal,web-96.stalder.biz,2000-01-27T22:05:30,321,06:07:28,-26.260728,CH,Prilly,Roth Group,ad.doc,ca,$3.95,Russia,Tajik,1989-09-02,14:0a:0b:e4:22:45,-2.960535,2018-01-22 01:04:51
America/Managua,laptop-54.bauer.biz,1979-04-27T14:21:32,3,08:32:59,47.716491,CH,Meyrin,Herzog-Huber,voluptatum.txt,sk,"$42,620.29",Indonesia,Guarani,1980-08-23,33:cd:c6:20:4d:84,91.290635,2019-05-04 12:36:03
Africa/Maseru,lt-95.burri-schmid.com,2011-10-12T03:03:41,68,12:20:01,-58.9088385,CH,Glarus,Vogt LLC,vel.mov,pt,"$54,171.82",Nauru,Ganda,1997-06-04,94:0c:9b:04:c3:4f,154.666857,2021-02-16 02:32:32
America/Costa_Rica,web-02.stalder-stadelmann.com,1998-11-20T10:57:55,2343938,11:17:25,38.736883,CH,Pratteln,"Mettler, Vogel and Wagner",quibusdam.bmp,yi,"$23,087.16",Iran,Kannada,2013-01-09,e4:8e:22:93:e9:1c,136.345761,1997-11-29 03:42:19
Asia/Kashgar,lt-36.wirth.net,2008-12-25T15:03:12,4,01:46:47,-8.2405095,CH,Baar,Ferrari PLC,modi.pdf,mni,$7.53,Uganda,Hungarian,2015-12-01,c9:dd:76:a8:cd:a7,33.425895,1973-04-18 04:05:38
Africa/Lusaka,laptop-48.maurer.com,2009-05-20T03:29:42,3869,11:33:11,-87.574230,CH,Worb,Meister Inc,neque.html,eu,$4.45,Chile,Malagasy,1987-11-14,3e:1c:46:70:1a:0a,174.198749,2014-01-29 15:42:44
Asia/Bahrain,email-11.mayer-hofstetter.net,2009-12-31T23:58:14,124255817,20:00:01,-87.784424,CH,Frauenfeld,"Hoffmann, Christen and Braun",tenetur.txt,kn,$39.20,Jordan,Fulah,2018-02-18,4c:12:3a:2f:27:f9,-139.919277,2015-07-28 01:22:32
America/St_Lucia,web-98.egli-wuthrich.net,2010-08-09T14:17:20,4891,19:21:31,6.5749195,CH,Gossau,Bianchi and Sons,quas.avi,an,"$6,696.92",Nauru,Czech,2003-08-31,20:33:0c:b8:2d:52,-50.640311,1981-02-03 11:13:22
Indian/Antananarivo,web-45.hofmann.org,1986-11-08T18:15:04,2,16:16:54,75.853294,CH,Ittigen,"Wettstein, Lüthi and Schoch",officia.key,ayc,"$2,896.97",Laos,Basque,1971-01-25,fa:49:53:c8:11:6f,66.770012,2015-03-29 05:55:25
Africa/Lusaka,db-41.tobler-vogel.com,1986-01-24T13:03:15,6123,11:28:13,-34.7272005,CH,Lutry,Pfister Group,doloremque.wav,ast,$788.28,Nigeria,"Sotho, Southern",2020-10-04,be:70:c8:33:c1:09,104.792893,1990-04-18 20:35:53
Europe/Helsinki,lt-08.stutz.com,2022-12-11T10:20:17,69903,09:52:34,22.4060415,CH,Hinwil,"Widmer, Martin and Herzog",vero.xlsx,mag,$6.41,South Korea,Dutch,2011-12-23,a7:21:02:bf:28:1d,-53.667583,1990-03-10 10:46:09
Europe/Vaduz,email-93.wegmann-walder.com,1986-07-24T11:12:29,16118,12:25:39,48.534056,CH,Arth,Merz Ltd,adipisci.webm,ast,$55.07,Democratic Republic of the Congo,Albanian,1996-11-29,8c:c8:ad:c1:d4:58,117.251387,1993-03-17 18:41:29
America/Barbados,desktop-18.egli.com,1973-06-07T01:43:51,12167369,23:33:07,41.899982,CH,Martigny,Blaser Inc,facilis.jpeg,tig,"$7,529.99",Poland,Bashkir,2004-03-06,3f:56:81:20:45:f8,-138.469282,2018-04-23 22:59:56
Pacific/Galapagos,lt-76.iten.com,1999-12-26T05:26:54,5355339,18:32:19,72.744797,CH,Regensdorf,Bianchi-Vogt,ut.mov,nan,$8.44,France,Vietnamese,1977-09-28,58:11:ec:a6:2c:8c,-93.839094,1989-05-08 03:13:50
Africa/Johannesburg,email-80.schmid-rey.net,1983-12-17T02:30:14,453492,12:29:35,-61.1813205,CH,Aesch,Schärer-Bader,soluta.txt,xh,$223.30,Saint Lucia,Gujarati,2021-10-08,6a:1f:52:5c:ba:ba,171.051776,2005-06-24 04:41:46
Asia/Aqtau,web-16.erni.com,1977-08-06T19:47:27,37004,12:15:14,-22.104709,CH,Kloten,Vogel LLC,sed.avi,mai,$731.35,Poland,Xhosa,1984-09-24,77:c5:19:d4:0b:99,-60.386985,1978-11-18 02:39:25
Europe/Skopje,db-76.forster-aebi.com,1994-03-06T13:51:01,9,20:09:01,20.730247,CH,Binningen,Kälin-Arnold,necessitatibus.wav,raj,"$3,679.95",Russia,Corsican,2020-10-09,47:87:9a:f1:49:dd,71.459616,1985-12-20 02:29:24
Africa/Bissau,desktop-50.wehrli.com,1975-08-11T07:02:04,22173675,22:22:00,88.9323715,CH,Genf,Frei PLC,sed.html,ckb,"$39,064.79",Samoa,Japanese,2021-09-14,35:b9:69:f7:48:14,150.434976,1980-07-08 13:20:30
Asia/Taipei,srv-12.kaufmann-vogt.org,1977-09-29T07:01:47,11,00:54:03,31.0943305,CH,Richterswil,Hermann Inc,deserunt.gif,li,"$9,835.43",Sierra Leone,Russian,1971-07-13,0e:31:15:81:02:aa,-62.389738,1991-05-30 02:24:25
Europe/Simferopol,srv-07.rey-scherrer.com,2009-09-23T20:39:26,473,03:18:45,2.221449,CH,Lugano,"Schärer, Christen and Wirz",inventore.mp4,tk,"$39,554.71",Slovenia,Burmese,1981-03-21,c6:a4:5a:fd:1b:2c,-151.295933,2001-02-14 09:34:27
Asia/Yerevan,db-71.furrer.com,2014-07-18T02:21:33,951,07:27:16,-44.094804,CH,Stäfa,"Wyss, Beck and Marti",repellat.flac,mn,$12.18,Dominican Republic,Italian,1972-10-05,cf:78:d9:f6:34:87,-7.550570,1987-03-11 05:58:06
