date_time,bank_country,language_name,mac_address,date,language_code,country,city,longitude,latitude,random_number,company,timezone,iso8601
2013-07-21 22:24:21,CH,Cree,0d:3e:a5:d7:aa:8b,1970-04-12,mk,Slovenia,Val-de-Ruz,11.165308,10.0901645,27,"Meier, Lustenberger and Steiner",Asia/Bahrain,2016-02-18T16:12:57
2013-03-26 19:25:59,CH,Turkmen,d0:5c:37:dc:a5:bf,1984-09-02,dv,Cuba,Meilen,-105.137348,-35.3060455,93928589,Zürcher Inc,Pacific/Majuro,1987-09-18T12:30:47
2014-12-06 21:27:50,CH,Ukrainian,bf:53:17:cc:52:fe,1974-12-29,zh,United Arab Emirates,Kreuzlingen,-59.744184,-4.748659,322,"Iten, Leu and Stöckli",Africa/Abidjan,2009-05-14T05:50:15
1974-09-18 05:19:14,CH,Bosnian,c6:f0:a9:5c:24:31,2001-05-13,ast,Bangladesh,Münsingen,-44.547369,-21.081004,98,Jost Group,America/Paramaribo,2021-12-12T17:29:21
2017-01-31 18:38:05,CH,Maltese,e5:6c:bc:ee:d8:b4,1989-05-19,af,Czech Republic,Plan-les-Ouates,-174.376040,-40.0266665,41,"Sutter, Gerber and Mäder",America/Tegucigalpa,2005-06-29T15:08:20
2003-02-06 01:28:53,CH,Sango,49:ee:9b:4b:66:2f,2000-12-14,aa,Marshall Islands,Lyss,-55.587322,77.898768,702,Stalder Ltd,Europe/Prague,1979-08-15T16:34:43
2014-10-19 05:01:26,CH,Danish,90:55:ee:8d:d5:b4,2012-12-16,fil,Guyana,Baden,-76.338110,-32.0298965,4,"Kern, Kessler and Rüegg",Africa/Kampala,1973-06-17T09:08:43
1994-02-03 11:10:28,CH,Kongo,69:07:b1:6e:51:93,1983-11-12,he,Barbados,Montreux,174.324292,27.2667105,396684,Bättig-Lüscher,Europe/Monaco,1999-07-03T13:56:45
1986-07-01 14:26:58,CH,Hindi,7d:3c:00:49:e8:0d,2004-04-11,kk,Papua New Guinea,Yverdon-les-Bains,172.074292,45.3444865,84,Erni-Staub,Africa/Nouakchott,2002-08-13T08:07:07
2007-09-28 23:58:03,CH,Corsican,b2:ba:bd:97:2b:56,2021-11-24,gl,United Arab Emirates,Mendrisio,-126.009523,58.1771225,45,Hofstetter-Tanner,Africa/Nairobi,2010-11-16T16:55:25
1975-04-25 17:14:37,CH,Kurdish,c5:bf:c4:4a:9e:29,1978-11-04,ca,Mongolia,Bassersdorf,-107.977377,9.708594,8631969,Beck Group,Europe/Bucharest,2007-11-19T07:27:52
1990-10-26 22:44:12,CH,Herero,55:1e:a9:47:fc:ad,1987-06-12,nb,Pakistan,Vevey,-47.530325,-26.0216365,869,Furrer-Maier,Asia/Phnom_Penh,2004-08-16T06:44:10
2017-03-01 22:34:28,CH,Malay,52:ad:ba:52:d1:58,1975-01-01,fa,South Korea,Herisau,-141.810429,-83.9335685,39006,"Iten, Stalder and Müller",Asia/Tokyo,2014-03-31T00:15:32
2007-11-26 15:06:54,CH,Kashmiri,6e:76:bc:ed:19:cf,1990-10-24,niu,Kiribati,Urdorf,-119.979850,29.6700825,209,Staub-Küng,Asia/Baghdad,2000-09-26T18:44:25
1976-03-16 18:23:21,CH,Shona,e9:ce:82:d1:83:a3,1995-03-06,as,Serbia,Gossau,47.917665,84.588971,307577,"Geiger, Kaufmann and Ziegler",Africa/Blantyre,2005-02-25T23:54:50
2005-09-29 15:13:46,CH,Galician,32:d6:cf:5f:6f:81,2006-08-22,pa,Serbia,Brig-Glis,127.265463,-51.843906,897168,Tobler Ltd,Europe/Berlin,1980-10-05T07:26:43
2018-04-09 15:43:06,CH,Estonian,b5:56:35:51:54:d4,1997-03-01,niu,Comoros,Uzwil,132.404065,69.7291615,355,Scherrer-Stadelmann,Asia/Tehran,2009-01-16T17:02:32
2012-09-17 04:49:33,CH,Tahitian,ae:9a:71:92:d0:36,2000-10-24,bg,Somalia,Affoltern,69.704158,-21.9001145,39739,Hauser and Sons,Africa/Mogadishu,1976-03-25T02:52:49
2004-02-13 21:20:20,CH,Swahili,6f:5c:bf:da:06:d4,1986-09-21,mni,Indonesia,Lancy,-5.044852,83.129621,969975345,Stalder-Marti,Europe/Ljubljana,2013-10-30T03:54:35
2009-07-25 18:06:58,CH,Aragonese,a8:be:1b:8d:c1:28,2020-08-13,as,Suriname,Ecublens,93.685275,-19.0105355,650793455,Kern PLC,America/Caracas,2001-05-07T21:51:54
